act1,act2,experiment,seed,accuracy,precision,recall,f1,best_epoch,stop_epoch
ReLU,GELU,BiLSTM+LSTM,30,90.46,90.44,90.48,90.46,5,8
ReLU,ReLU,BiLSTM+LSTM,30,90.72,90.11,91.48,90.79,4,7
ReLU,Tanh,BiLSTM+LSTM,30,90.47,88.55,92.96,90.7,4,7
LeakyReLU,GELU,BiLSTM+LSTM,30,90.61,90.63,90.58,90.61,5,8
GELU,ELU,BiLSTM+LSTM,30,89.81,87.73,92.56,90.08,5,8
LeakyReLU,Mish,BiLSTM+LSTM,30,90.46,88.62,92.84,90.68,5,8
