act1,act2,experiment,seed,accuracy,precision,recall,f1,best_epoch,stop_epoch
ReLU,ReLU,BiLSTM+LSTM,30,86.5,88.4,84.02,86.16,8,10
ReLU,ELU,BiLSTM+LSTM,30,86.47,87.33,85.32,86.31,7,10
ReLU,LeakyReLU,BiLSTM+LSTM,30,87.03,88.03,85.72,86.86,5,8
ReLU,Tanh,BiLSTM+LSTM,30,86.86,85.58,88.66,87.09,8,10
ReLU,GELU,BiLSTM+LSTM,30,86.85,86.52,87.3,86.91,10,10
ReLU,SiLU,BiLSTM+LSTM,30,87.03,86.98,87.1,87.04,6,9
ReLU,Mish,BiLSTM+LSTM,30,86.08,85.62,86.72,86.17,9,10
ReLU,SELU,BiLSTM+LSTM,30,87.28,88.31,85.94,87.11,6,9
ReLU,PReLU,BiLSTM+LSTM,30,86.87,86.83,86.92,86.88,7,10
ReLU,Hardswish,BiLSTM+LSTM,30,87.13,87.44,86.72,87.08,6,9
ELU,ReLU,BiLSTM+LSTM,30,87.22,86.91,87.64,87.27,6,9
ELU,ELU,BiLSTM+LSTM,30,86.77,86.53,87.1,86.81,9,10
ELU,LeakyReLU,BiLSTM+LSTM,30,86.71,84.53,89.86,87.12,5,8
ELU,Tanh,BiLSTM+LSTM,30,86.55,87.05,85.88,86.46,7,10
ELU,GELU,BiLSTM+LSTM,30,87.0,87.68,86.1,86.88,6,9
ELU,SiLU,BiLSTM+LSTM,30,87.07,86.52,87.82,87.17,9,10
ELU,Mish,BiLSTM+LSTM,30,87.29,86.22,88.76,87.47,6,9
ELU,SELU,BiLSTM+LSTM,30,86.97,87.11,86.78,86.95,5,8
ELU,PReLU,BiLSTM+LSTM,30,86.64,88.01,84.84,86.4,6,9
ELU,Hardswish,BiLSTM+LSTM,30,86.41,87.36,85.14,86.24,7,10
LeakyReLU,ReLU,BiLSTM+LSTM,30,86.43,86.47,86.38,86.42,10,10
LeakyReLU,ELU,BiLSTM+LSTM,30,86.53,84.7,89.16,86.88,7,10
LeakyReLU,LeakyReLU,BiLSTM+LSTM,30,86.51,87.23,85.54,86.38,7,10
LeakyReLU,Tanh,BiLSTM+LSTM,30,86.52,89.03,83.3,86.07,6,9
LeakyReLU,GELU,BiLSTM+LSTM,30,86.26,83.76,89.96,86.75,6,9
LeakyReLU,SiLU,BiLSTM+LSTM,30,86.42,85.43,87.82,86.61,7,10
LeakyReLU,Mish,BiLSTM+LSTM,30,86.91,85.57,88.8,87.15,7,10
LeakyReLU,SELU,BiLSTM+LSTM,30,84.97,82.51,88.76,85.52,9,10
LeakyReLU,PReLU,BiLSTM+LSTM,30,86.85,84.38,90.44,87.31,7,10
LeakyReLU,Hardswish,BiLSTM+LSTM,30,86.36,87.52,84.82,86.15,9,10
Tanh,ReLU,BiLSTM+LSTM,30,86.95,88.08,85.46,86.75,6,9
Tanh,ELU,BiLSTM+LSTM,30,85.82,85.88,85.74,85.81,7,10
Tanh,LeakyReLU,BiLSTM+LSTM,30,86.33,86.05,86.72,86.38,6,9
Tanh,Tanh,BiLSTM+LSTM,30,87.65,87.76,87.5,87.63,7,10
Tanh,GELU,BiLSTM+LSTM,30,86.65,87.09,86.06,86.57,7,10
Tanh,SiLU,BiLSTM+LSTM,30,86.17,88.55,83.08,85.73,6,9
Tanh,Mish,BiLSTM+LSTM,30,87.41,86.31,88.92,87.6,6,9
Tanh,SELU,BiLSTM+LSTM,30,86.81,86.74,86.9,86.82,6,9
Tanh,PReLU,BiLSTM+LSTM,30,87.3,87.49,87.04,87.27,6,9
Tanh,Hardswish,BiLSTM+LSTM,30,86.35,88.26,83.86,86.0,7,10
GELU,ReLU,BiLSTM+LSTM,30,85.44,83.1,88.98,85.94,8,10
GELU,ELU,BiLSTM+LSTM,30,87.65,85.77,90.28,87.97,6,9
GELU,LeakyReLU,BiLSTM+LSTM,30,86.02,86.86,84.88,85.86,7,10
GELU,Tanh,BiLSTM+LSTM,30,86.52,86.83,86.1,86.46,5,8
GELU,GELU,BiLSTM+LSTM,30,87.36,86.23,88.92,87.55,5,8
GELU,SiLU,BiLSTM+LSTM,30,86.98,88.75,84.7,86.68,6,9
GELU,Mish,BiLSTM+LSTM,30,86.23,87.94,83.98,85.91,7,10
GELU,SELU,BiLSTM+LSTM,30,86.64,85.98,87.56,86.76,7,10
GELU,PReLU,BiLSTM+LSTM,30,85.9,87.57,83.68,85.58,6,9
GELU,Hardswish,BiLSTM+LSTM,30,87.02,88.07,85.64,86.84,9,10
SiLU,ReLU,BiLSTM+LSTM,30,86.77,85.03,89.26,87.09,8,10
SiLU,ELU,BiLSTM+LSTM,30,86.99,88.32,85.26,86.76,7,10
SiLU,LeakyReLU,BiLSTM+LSTM,30,86.25,86.1,86.46,86.28,7,10
SiLU,Tanh,BiLSTM+LSTM,30,87.41,85.98,89.4,87.66,6,9
SiLU,GELU,BiLSTM+LSTM,30,86.85,87.84,85.54,86.68,6,9
SiLU,SiLU,BiLSTM+LSTM,30,86.89,85.96,88.18,87.06,7,10
SiLU,Mish,BiLSTM+LSTM,30,87.38,86.65,88.38,87.5,5,8
SiLU,SELU,BiLSTM+LSTM,30,86.0,86.73,85.0,85.86,5,8
SiLU,PReLU,BiLSTM+LSTM,30,86.48,87.92,84.58,86.22,6,9
SiLU,Hardswish,BiLSTM+LSTM,30,86.0,86.22,85.7,85.96,7,10
Mish,ReLU,BiLSTM+LSTM,30,86.8,87.61,85.72,86.66,7,10
Mish,ELU,BiLSTM+LSTM,30,85.82,87.2,83.96,85.55,9,10
Mish,LeakyReLU,BiLSTM+LSTM,30,87.06,88.1,85.7,86.88,7,10
Mish,Tanh,BiLSTM+LSTM,30,86.91,85.44,88.98,87.18,8,10
Mish,GELU,BiLSTM+LSTM,30,87.1,84.92,90.22,87.49,5,8
Mish,SiLU,BiLSTM+LSTM,30,87.46,88.52,86.08,87.28,5,8
Mish,Mish,BiLSTM+LSTM,30,86.69,87.37,85.78,86.57,6,9
Mish,SELU,BiLSTM+LSTM,30,87.11,85.35,89.6,87.42,5,8
Mish,PReLU,BiLSTM+LSTM,30,85.76,87.14,83.9,85.49,6,9
Mish,Hardswish,BiLSTM+LSTM,30,87.61,86.11,89.68,87.86,5,8
SELU,ReLU,BiLSTM+LSTM,30,87.55,87.19,88.04,87.61,6,9
