act1,act2,experiment,n_seeds,acc_mean,acc_std,acc_ci95,acc_min,acc_max,f1_mean,f1_std,prec_mean,rec_mean
Mish,Tanh,BiLSTM+LSTM,5,86.646,0.691,0.859,85.53,87.41,86.78,0.633,85.984,87.64
SELU,GELU,BiLSTM+LSTM,5,86.644,0.647,0.804,85.64,87.35,86.622,0.696,86.762,86.5
Mish,Mish,BiLSTM+LSTM,5,86.642,0.357,0.443,86.17,87.12,86.682,0.76,86.494,87.116
Mish,Hardswish,BiLSTM+LSTM,5,86.638,0.758,0.941,85.65,87.61,86.66,0.902,86.504,86.876
Hardswish,SELU,BiLSTM+LSTM,5,86.638,0.408,0.507,86.17,87.2,86.528,0.588,87.266,85.856
GELU,SELU,BiLSTM+LSTM,5,86.628,0.632,0.784,86.04,87.57,86.654,0.629,86.532,86.856
SELU,Hardswish,BiLSTM+LSTM,5,86.626,0.176,0.218,86.35,86.76,86.606,0.22,86.772,86.524
PReLU,Tanh,BiLSTM+LSTM,5,86.62,0.424,0.526,86.0,87.01,86.512,0.61,87.242,85.88
LeakyReLU,Hardswish,BiLSTM+LSTM,5,86.612,0.517,0.642,86.13,87.27,86.694,0.558,86.198,87.244
ELU,SiLU,BiLSTM+LSTM,5,86.612,0.73,0.907,85.43,87.18,86.718,0.88,86.034,87.464
GELU,PReLU,BiLSTM+LSTM,5,86.612,0.51,0.633,85.9,87.15,86.306,0.576,88.326,84.4
ReLU,SELU,BiLSTM+LSTM,5,86.61,0.788,0.978,85.72,87.28,86.528,1.028,87.018,86.116
GELU,LeakyReLU,BiLSTM+LSTM,5,86.608,0.528,0.656,86.02,87.44,86.346,0.695,88.068,84.756
ReLU,Mish,BiLSTM+LSTM,5,86.602,0.458,0.569,86.08,87.09,86.666,0.66,86.258,87.156
SELU,SiLU,BiLSTM+LSTM,5,86.594,0.561,0.697,85.95,87.17,86.45,0.622,87.38,85.556
Tanh,GELU,BiLSTM+LSTM,5,86.588,0.635,0.788,85.48,87.03,86.556,0.429,86.868,86.312
Tanh,ELU,BiLSTM+LSTM,5,86.584,0.583,0.724,85.82,87.23,86.678,0.617,86.08,87.292
Hardswish,ReLU,BiLSTM+LSTM,5,86.576,0.645,0.801,85.68,87.35,86.52,0.977,86.838,86.304
LeakyReLU,SELU,BiLSTM+LSTM,5,86.568,1.106,1.374,84.97,87.97,86.692,0.958,85.996,87.44
SELU,Tanh,BiLSTM+LSTM,5,86.558,0.415,0.515,85.91,87.06,86.404,0.49,87.49,85.476
SiLU,ELU,BiLSTM+LSTM,5,86.546,0.684,0.849,85.37,86.99,86.454,1.049,87.028,86.008
Mish,SiLU,BiLSTM+LSTM,5,86.54,0.822,1.021,85.53,87.46,86.352,0.796,87.578,85.18
Hardswish,GELU,BiLSTM+LSTM,5,86.526,0.348,0.432,86.13,87.09,86.852,0.345,84.84,89.028
PReLU,Mish,BiLSTM+LSTM,5,86.514,0.808,1.003,85.48,87.36,86.674,0.909,85.688,87.8
SELU,LeakyReLU,BiLSTM+LSTM,5,86.504,0.541,0.671,85.92,87.18,86.25,0.799,87.862,84.764
Hardswish,Hardswish,BiLSTM+LSTM,5,86.502,0.557,0.692,85.64,87.09,86.24,0.726,87.948,84.652
Tanh,Hardswish,BiLSTM+LSTM,5,86.498,0.345,0.428,86.05,86.98,86.344,0.357,87.424,85.396
ELU,PReLU,BiLSTM+LSTM,5,86.486,0.334,0.414,85.91,86.77,86.496,0.281,86.456,86.56
GELU,ReLU,BiLSTM+LSTM,5,86.472,0.72,0.894,85.44,87.15,86.55,0.607,86.176,87.04
ELU,LeakyReLU,BiLSTM+LSTM,5,86.472,0.39,0.484,85.99,86.96,86.362,0.731,87.082,85.76
SELU,ELU,BiLSTM+LSTM,5,86.46,1.22,1.514,84.37,87.57,86.208,1.513,87.77,84.792
LeakyReLU,Tanh,BiLSTM+LSTM,5,86.434,0.73,0.907,85.71,87.57,86.458,0.75,86.348,86.632
SELU,PReLU,BiLSTM+LSTM,5,86.39,0.522,0.648,85.47,86.77,86.19,0.837,87.438,85.052
Hardswish,PReLU,BiLSTM+LSTM,5,86.39,0.843,1.047,85.05,87.36,86.238,0.957,87.226,85.348
PReLU,ELU,BiLSTM+LSTM,5,86.378,1.007,1.25,85.26,87.71,86.352,1.166,86.466,86.268
GELU,Mish,BiLSTM+LSTM,5,86.372,0.292,0.362,86.21,86.89,86.284,0.359,86.852,85.768
Mish,ReLU,BiLSTM+LSTM,5,86.3,0.529,0.657,85.52,86.8,86.294,0.396,86.522,86.276
Tanh,SELU,BiLSTM+LSTM,5,86.298,1.026,1.274,84.61,87.15,86.084,1.459,87.326,84.992
Tanh,ReLU,BiLSTM+LSTM,5,86.278,0.633,0.786,85.23,86.95,86.246,0.801,86.46,86.14
SELU,SELU,BiLSTM+LSTM,5,86.254,0.477,0.592,85.59,86.83,86.192,0.63,86.586,85.84
PReLU,GELU,BiLSTM+LSTM,5,86.252,0.852,1.058,85.34,87.03,86.282,0.701,86.174,86.444
SiLU,PReLU,BiLSTM+LSTM,5,86.25,0.691,0.858,85.37,86.94,85.906,1.08,88.066,83.972
Mish,ELU,BiLSTM+LSTM,5,86.192,0.541,0.672,85.42,86.6,86.1,0.642,86.684,85.576
Hardswish,Tanh,BiLSTM+LSTM,5,86.164,0.17,0.211,86.02,86.41,86.296,0.363,85.512,87.164
SELU,ReLU,BiLSTM+LSTM,5,86.156,1.021,1.268,84.94,87.55,85.966,1.117,87.14,84.844
Mish,PReLU,BiLSTM+LSTM,5,86.138,0.966,1.2,85.13,87.63,86.296,0.856,85.41,87.272
Mish,SELU,BiLSTM+LSTM,5,85.938,1.724,2.14,83.09,87.33,85.636,2.107,87.35,84.12
Hardswish,LeakyReLU,BiLSTM+LSTM,5,82.056,9.274,11.515,65.5,86.85,80.628,12.295,83.914,78.324
