architecture,act1,act2,n_seeds,acc_mean,acc_std,acc_ci95,acc_min,acc_max,f1_mean,f1_std,prec_mean,rec_mean,pr_gap,rank_global,rank_in_arch
BiGRU+BiGRU,ELU,ELU,5,87.584,0.151,0.188,87.36,87.73,87.656,0.216,87.152,88.172,1.02,46,19
BiGRU+BiGRU,SELU,LeakyReLU,5,87.582,0.15,0.186,87.42,87.81,87.756,0.309,86.57,89.044,2.474,48,21
BiGRU+GRU,PReLU,Hardswish,5,87.58,0.338,0.419,87.07,87.95,87.614,0.306,87.376,87.872,0.496,49,28
BiGRU+BiGRU,SiLU,GELU,5,87.578,0.113,0.141,87.45,87.7,87.492,0.483,88.152,86.98,1.172,50,22
BiGRU+GRU,Mish,Mish,5,87.576,0.303,0.376,87.24,87.83,87.484,0.591,88.126,86.924,1.202,51,29
BiGRU+GRU,GELU,GELU,5,87.57,0.396,0.492,86.97,87.96,87.436,0.711,88.372,86.604,1.768,52,30
BiGRU+GRU,Mish,PReLU,5,87.57,0.2,0.249,87.34,87.82,87.444,0.346,88.352,86.592,1.76,52,30
BiGRU+BiGRU,Mish,ELU,5,87.568,0.214,0.266,87.29,87.82,87.738,0.401,86.55,89.016,2.466,54,23
BiGRU+GRU,GELU,PReLU,5,87.566,0.406,0.505,86.89,87.94,87.344,0.617,88.924,85.876,3.048,55,32
BiGRU+BiGRU,LeakyReLU,GELU,5,87.562,0.264,0.328,87.25,87.97,87.474,0.597,88.104,86.956,1.148,56,24
BiGRU+GRU,LeakyReLU,ReLU,5,87.56,0.254,0.316,87.3,87.89,87.522,0.331,87.804,87.284,0.52,57,33
BiGRU+BiGRU,ReLU,ReLU,5,87.558,0.189,0.234,87.35,87.79,87.49,0.514,87.992,87.124,0.868,58,25
BiGRU+BiGRU,LeakyReLU,SiLU,5,87.552,0.322,0.4,87.15,88.04,87.51,0.577,87.806,87.304,0.502,59,26
BiGRU+GRU,Mish,GELU,5,87.55,0.215,0.267,87.25,87.76,87.386,0.391,88.566,86.272,2.294,60,34
BiGRU+BiGRU,Mish,Hardswish,5,87.546,0.197,0.245,87.23,87.75,87.702,0.345,86.612,88.856,2.244,61,27
BiGRU+GRU,SiLU,PReLU,5,87.544,0.503,0.624,87.03,88.05,87.594,0.65,87.26,88.008,0.748,62,35
BiGRU+GRU,SELU,ELU,5,87.544,0.292,0.362,87.09,87.83,87.528,0.402,87.662,87.444,0.218,62,35
BiGRU+BiGRU,GELU,ELU,5,87.54,0.196,0.243,87.26,87.71,87.55,0.576,87.506,87.724,0.218,64,28
BiGRU+BiGRU,Hardswish,Mish,5,87.538,0.135,0.168,87.38,87.7,87.528,0.488,87.636,87.56,0.076,65,29
BiGRU+BiGRU,Mish,LeakyReLU,5,87.538,0.175,0.217,87.3,87.71,87.462,0.305,88.064,86.968,1.096,65,29
BiGRU+GRU,Hardswish,Tanh,5,87.534,0.272,0.338,87.06,87.74,87.388,0.542,88.43,86.456,1.974,67,37
BiGRU+BiGRU,Mish,SiLU,5,87.534,0.326,0.405,87.04,87.85,87.464,0.779,87.976,87.14,0.836,67,31
BiGRU+BiGRU,Hardswish,SiLU,5,87.534,0.192,0.238,87.26,87.73,87.366,0.603,88.608,86.304,2.304,67,31
BiGRU+BiGRU,PReLU,ReLU,5,87.532,0.227,0.282,87.26,87.75,87.442,0.438,88.102,86.856,1.246,70,33
BiGRU+GRU,PReLU,ELU,5,87.532,0.188,0.234,87.25,87.75,87.428,0.303,88.174,86.716,1.458,70,38
BiGRU+GRU,SELU,SiLU,5,87.53,0.316,0.392,86.97,87.71,87.546,0.714,87.436,87.808,0.372,72,39
BiGRU+BiGRU,PReLU,Mish,5,87.53,0.304,0.377,87.26,87.95,87.37,0.606,88.526,86.368,2.158,72,34
BiGRU+BiGRU,SiLU,SiLU,5,87.53,0.305,0.378,87.09,87.83,87.388,0.704,88.406,86.548,1.858,72,34
BiGRU+BiGRU,GELU,Mish,5,87.528,0.294,0.365,87.13,87.83,87.684,0.375,86.6,88.812,2.212,75,36
BiGRU+GRU,Hardswish,Hardswish,5,87.528,0.327,0.406,86.99,87.86,87.368,0.659,88.51,86.352,2.158,75,40
BiGRU+BiGRU,GELU,ReLU,5,87.528,0.299,0.371,87.11,87.87,87.334,0.585,88.724,86.084,2.64,75,36
BiGRU+BiGRU,Mish,Mish,5,87.524,0.205,0.255,87.22,87.79,87.71,0.326,86.43,89.064,2.634,78,38
BiGRU+BiGRU,ReLU,Hardswish,5,87.524,0.337,0.419,87.12,87.9,87.374,0.677,88.434,86.456,1.978,78,38
BiGRU+GRU,GELU,Mish,5,87.524,0.27,0.335,87.26,87.89,87.46,0.463,87.938,87.072,0.866,78,41
BiGRU+GRU,Mish,SiLU,5,87.52,0.286,0.355,87.27,87.92,87.442,0.554,88.0,86.956,1.044,81,42
BiGRU+GRU,SiLU,LeakyReLU,5,87.52,0.175,0.217,87.24,87.72,87.558,0.483,87.326,87.912,0.586,81,42
BiGRU+GRU,ELU,GELU,5,87.518,0.492,0.611,86.64,87.76,87.43,0.849,88.012,86.964,1.048,83,44
BiGRU+BiGRU,Hardswish,LeakyReLU,5,87.518,0.307,0.382,87.12,87.92,87.544,0.337,87.408,87.76,0.352,83,40
BiGRU+BiGRU,Hardswish,GELU,5,87.516,0.263,0.326,87.14,87.85,87.352,0.638,88.536,86.324,2.212,85,41
BiGRU+BiGRU,ReLU,Tanh,5,87.514,0.32,0.397,86.95,87.72,87.62,0.407,86.896,88.412,1.516,86,42
BiGRU+GRU,Mish,ReLU,5,87.514,0.387,0.48,86.86,87.86,87.38,0.666,88.312,86.568,1.744,86,45
BiGRU+BiGRU,ReLU,SiLU,5,87.514,0.249,0.309,87.12,87.81,87.458,0.595,87.884,87.156,0.728,86,42
BiGRU+GRU,ELU,Hardswish,5,87.51,0.499,0.62,86.75,88.0,87.626,0.421,86.87,88.444,1.574,89,46
BiGRU+BiGRU,ELU,GELU,5,87.506,0.172,0.214,87.3,87.69,87.494,0.495,87.594,87.508,0.086,90,44
BiGRU+BiGRU,Tanh,PReLU,5,87.506,0.252,0.313,87.1,87.7,87.39,0.618,88.24,86.692,1.548,90,44
BiGRU+GRU,SiLU,Tanh,5,87.506,0.433,0.538,86.76,87.86,87.258,0.705,89.046,85.644,3.402,90,47
BiGRU+GRU,LeakyReLU,Hardswish,5,87.506,0.126,0.157,87.31,87.64,87.448,0.241,87.872,87.064,0.808,90,47
BiGRU+BiGRU,PReLU,Hardswish,5,87.506,0.219,0.272,87.2,87.72,87.422,0.548,88.012,86.94,1.072,90,44
BiGRU+BiGRU,Tanh,GELU,5,87.504,0.117,0.146,87.35,87.67,87.626,0.348,86.832,88.544,1.712,95,47
