architecture,act1,act2,n_seeds,acc_mean,acc_std,acc_ci95,acc_min,acc_max,f1_mean,f1_std,prec_mean,rec_mean,pr_gap,rank_global,rank_in_arch
BiLSTM+BiLSTM,PReLU,SiLU,5,87.126,0.546,0.678,86.42,87.68,87.188,0.531,86.786,87.62,0.834,202,2
BiGRU+GRU,SELU,LeakyReLU,5,87.124,0.329,0.408,86.73,87.5,87.014,0.348,87.91,86.316,1.594,204,99
BiGRU+GRU,Tanh,ReLU,5,87.116,0.509,0.632,86.25,87.53,87.08,0.966,87.33,87.052,0.278,205,100
BiLSTM+LSTM,LeakyReLU,GELU,5,87.108,0.48,0.596,86.26,87.39,87.27,0.339,86.23,88.372,2.142,206,3
BiLSTM+LSTM,LeakyReLU,ReLU,5,87.07,0.622,0.773,86.43,87.88,86.98,0.576,87.61,86.392,1.218,207,4
BiLSTM+BiLSTM,Hardswish,Tanh,5,87.064,0.346,0.43,86.57,87.38,87.088,0.35,86.96,87.264,0.304,208,4
BiLSTM+LSTM,PReLU,Hardswish,5,87.062,0.231,0.287,86.86,87.44,87.024,0.287,87.266,86.808,0.458,209,5
BiLSTM+LSTM,ReLU,ReLU,5,87.06,0.457,0.568,86.5,87.55,87.06,0.561,87.076,87.092,0.016,210,6
BiLSTM+BiLSTM,GELU,Mish,5,87.056,0.31,0.385,86.61,87.44,86.958,0.548,87.634,86.356,1.278,211,5
BiLSTM+LSTM,PReLU,SELU,5,87.046,0.251,0.312,86.8,87.44,87.122,0.543,86.664,87.736,1.072,212,7
BiLSTM+LSTM,ELU,Mish,5,87.044,0.297,0.369,86.69,87.37,87.232,0.259,85.978,88.528,2.55,213,8
BiLSTM+BiLSTM,ReLU,ReLU,5,87.042,0.237,0.294,86.85,87.41,87.124,0.429,86.574,87.732,1.158,214,6
BiLSTM+BiLSTM,SiLU,ELU,5,87.034,0.659,0.818,85.97,87.67,86.856,1.018,88.02,85.844,2.176,215,7
BiLSTM+BiLSTM,Mish,SiLU,5,87.03,0.402,0.499,86.66,87.64,86.962,0.609,87.41,86.556,0.854,216,8
BiLSTM+LSTM,ReLU,Tanh,5,87.024,0.398,0.494,86.64,87.54,87.194,0.335,86.076,88.36,2.284,217,9
BiLSTM+BiLSTM,ReLU,ELU,5,87.022,0.306,0.38,86.71,87.45,87.084,0.515,86.69,87.56,0.87,218,9
BiLSTM+LSTM,GELU,ELU,5,87.014,0.5,0.621,86.43,87.65,86.982,0.743,87.162,86.852,0.31,219,10
BiLSTM+BiLSTM,PReLU,ELU,5,87.014,0.442,0.549,86.5,87.35,87.028,0.303,86.982,87.112,0.13,219,10
BiLSTM+BiLSTM,ReLU,Tanh,5,87.004,0.633,0.786,86.12,87.82,86.942,0.831,87.312,86.608,0.704,221,11
BiLSTM+BiLSTM,SELU,LeakyReLU,5,87.002,0.433,0.538,86.48,87.58,87.034,0.555,86.85,87.284,0.434,222,12
BiLSTM+BiLSTM,SELU,SiLU,5,87.002,0.378,0.469,86.49,87.46,86.872,0.623,87.732,86.096,1.636,222,12
BiLSTM+BiLSTM,GELU,ELU,5,86.99,0.364,0.452,86.43,87.4,86.926,0.362,87.374,86.508,0.866,224,14
BiLSTM+BiLSTM,GELU,ReLU,5,86.986,0.547,0.679,86.27,87.77,86.91,0.824,87.4,86.52,0.88,225,15
BiLSTM+LSTM,SiLU,Tanh,5,86.984,0.465,0.578,86.23,87.41,87.092,0.544,86.388,87.848,1.46,226,11
BiLSTM+LSTM,Tanh,SiLU,5,86.974,0.537,0.667,86.17,87.5,86.912,0.806,87.272,86.616,0.656,227,12
BiLSTM+BiLSTM,GELU,LeakyReLU,5,86.956,0.18,0.223,86.82,87.24,87.138,0.158,85.968,88.4,2.432,228,16
BiLSTM+BiLSTM,Mish,ELU,5,86.95,0.496,0.615,86.46,87.61,86.92,0.713,87.114,86.796,0.318,229,17
BiLSTM+BiLSTM,LeakyReLU,ReLU,5,86.94,0.67,0.831,86.4,87.71,86.824,0.838,87.596,86.128,1.468,230,18
BiLSTM+LSTM,LeakyReLU,Mish,5,86.936,0.55,0.683,86.22,87.74,87.058,0.606,86.238,87.912,1.674,231,13
BiLSTM+LSTM,GELU,Hardswish,5,86.932,0.249,0.309,86.61,87.29,86.812,0.255,87.63,86.016,1.614,232,14
BiLSTM+LSTM,ELU,Tanh,5,86.93,0.457,0.568,86.55,87.72,87.008,0.539,86.496,87.536,1.04,233,15
BiLSTM+LSTM,SiLU,SiLU,5,86.926,0.187,0.233,86.63,87.13,86.904,0.324,87.062,86.788,0.274,234,16
BiLSTM+BiLSTM,SiLU,Tanh,5,86.92,0.404,0.501,86.48,87.34,86.73,0.456,88.01,85.488,2.522,235,19
BiLSTM+BiLSTM,PReLU,Tanh,5,86.92,0.319,0.395,86.36,87.14,87.048,0.343,86.216,87.9,1.684,235,19
BiLSTM+BiLSTM,GELU,GELU,5,86.912,0.33,0.409,86.41,87.21,86.786,0.43,87.668,85.976,1.692,237,21
BiLSTM+LSTM,ELU,Hardswish,5,86.91,0.551,0.684,86.41,87.81,86.962,0.759,86.622,87.396,0.774,238,17
BiLSTM+LSTM,LeakyReLU,ELU,5,86.908,0.341,0.423,86.53,87.41,86.984,0.418,86.514,87.496,0.982,239,18
BiLSTM+LSTM,PReLU,ReLU,5,86.902,0.447,0.555,86.19,87.38,86.958,0.555,86.582,87.376,0.794,240,19
BiLSTM+LSTM,Hardswish,Mish,5,86.898,0.362,0.449,86.38,87.3,87.014,0.378,86.25,87.82,1.57,241,20
BiLSTM+BiLSTM,Mish,Hardswish,5,86.898,0.493,0.612,86.33,87.47,87.022,0.584,86.242,87.892,1.65,241,22
BiLSTM+BiLSTM,Mish,GELU,5,86.898,0.713,0.885,85.66,87.45,86.92,1.061,86.71,87.228,0.518,241,22
BiLSTM+BiLSTM,ELU,ReLU,5,86.892,0.654,0.812,85.81,87.51,87.028,0.628,86.168,87.948,1.78,244,24
BiLSTM+BiLSTM,Mish,ReLU,5,86.892,0.266,0.331,86.54,87.16,86.7,0.382,87.988,85.464,2.524,244,24
BiLSTM+LSTM,LeakyReLU,LeakyReLU,5,86.892,0.567,0.704,86.23,87.57,86.856,0.778,87.068,86.688,0.38,244,21
BiLSTM+BiLSTM,PReLU,LeakyReLU,5,86.884,0.432,0.537,86.31,87.39,86.608,0.607,88.452,84.872,3.58,247,26
BiLSTM+LSTM,LeakyReLU,PReLU,5,86.874,0.348,0.433,86.48,87.35,87.016,0.425,86.09,88.016,1.926,248,22
BiLSTM+BiLSTM,Tanh,LeakyReLU,5,86.874,0.635,0.788,86.02,87.81,86.848,0.761,86.982,86.732,0.25,248,27
BiLSTM+BiLSTM,Hardswish,GELU,5,86.872,0.752,0.933,85.77,87.79,86.91,0.906,86.644,87.228,0.584,250,28
BiLSTM+BiLSTM,ELU,Mish,5,86.86,0.472,0.586,86.2,87.47,86.644,0.645,88.078,85.308,2.77,251,29
BiLSTM+LSTM,Tanh,PReLU,5,86.86,0.34,0.422,86.47,87.3,86.972,0.41,86.268,87.748,1.48,251,23
BiLSTM+LSTM,ELU,ReLU,5,86.86,0.821,1.02,85.45,87.55,87.002,0.796,86.084,87.944,1.86,251,23
BiLSTM+BiLSTM,ReLU,SiLU,5,86.858,0.724,0.9,85.98,87.66,86.784,0.932,87.29,86.404,0.886,254,30
BiLSTM+BiLSTM,PReLU,ReLU,5,86.858,0.204,0.253,86.61,87.16,86.682,0.469,87.892,85.584,2.308,254,30
BiLSTM+BiLSTM,SELU,Hardswish,5,86.856,0.36,0.447,86.57,87.44,86.982,0.579,86.2,87.896,1.696,256,32
BiLSTM+BiLSTM,SELU,Mish,5,86.854,0.405,0.503,86.32,87.31,86.814,0.604,87.058,86.62,0.438,257,33
BiLSTM+LSTM,SiLU,LeakyReLU,5,86.854,0.469,0.582,86.25,87.46,86.814,0.653,87.062,86.624,0.438,257,25
BiLSTM+BiLSTM,LeakyReLU,ELU,5,86.85,0.595,0.739,86.15,87.52,86.854,0.863,86.794,86.996,0.202,259,34
BiLSTM+BiLSTM,Hardswish,ReLU,5,86.848,0.35,0.435,86.44,87.28,86.928,0.447,86.402,87.496,1.094,260,35
BiLSTM+BiLSTM,PReLU,Mish,5,86.834,0.473,0.587,86.27,87.27,86.662,0.577,87.81,85.576,2.234,261,36
BiLSTM+BiLSTM,ELU,Hardswish,5,86.832,0.48,0.596,86.11,87.38,86.698,0.715,87.566,85.892,1.674,262,37
BiLSTM+BiLSTM,LeakyReLU,PReLU,5,86.826,0.608,0.754,86.23,87.67,86.65,0.836,87.806,85.608,2.198,263,38
BiLSTM+LSTM,GELU,SiLU,5,86.824,0.239,0.296,86.53,87.03,86.622,0.127,88.032,85.32,2.712,264,26
BiLSTM+BiLSTM,Mish,Mish,5,86.818,0.597,0.741,86.15,87.56,86.544,0.778,88.348,84.84,3.508,265,39
BiLSTM+BiLSTM,LeakyReLU,Tanh,5,86.818,0.25,0.31,86.47,87.09,87.058,0.357,85.516,88.712,3.196,265,39
BiLSTM+BiLSTM,SiLU,ReLU,5,86.812,0.22,0.273,86.57,87.16,86.772,0.526,87.066,86.588,0.478,267,41
BiLSTM+LSTM,SiLU,ReLU,5,86.81,0.26,0.323,86.58,87.21,86.98,0.232,85.934,88.132,2.198,268,27
BiLSTM+LSTM,SELU,Mish,5,86.81,0.69,0.857,85.86,87.59,86.838,0.688,86.652,87.04,0.388,268,27
BiLSTM+BiLSTM,Mish,SELU,5,86.808,0.44,0.547,86.2,87.25,86.63,0.707,87.848,85.56,2.288,270,42
BiLSTM+LSTM,SiLU,Hardswish,5,86.808,0.551,0.684,86.0,87.46,86.894,0.665,86.368,87.528,1.16,270,29
BiLSTM+BiLSTM,ReLU,GELU,5,86.806,0.301,0.373,86.39,87.13,86.546,0.518,88.29,84.924,3.366,272,43
BiLSTM+BiLSTM,LeakyReLU,Hardswish,5,86.804,0.666,0.827,85.76,87.44,86.894,0.397,86.408,87.452,1.044,273,44
BiLSTM+BiLSTM,Hardswish,Hardswish,5,86.804,0.549,0.682,86.02,87.4,86.662,0.742,87.594,85.796,1.798,273,44
BiLSTM+LSTM,ReLU,Hardswish,5,86.8,0.272,0.338,86.41,87.13,86.838,0.496,86.602,87.148,0.546,275,30
BiLSTM+LSTM,ReLU,SiLU,5,86.792,0.369,0.458,86.21,87.16,86.79,0.43,86.798,86.796,0.002,276,31
BiLSTM+BiLSTM,Tanh,SELU,5,86.792,0.788,0.978,85.44,87.32,86.604,1.131,87.782,85.536,2.246,276,46
BiLSTM+BiLSTM,ReLU,SELU,5,86.792,0.212,0.264,86.56,87.08,86.742,0.654,87.1,86.552,0.548,276,46
BiLSTM+BiLSTM,Hardswish,SELU,5,86.79,0.515,0.64,86.33,87.58,86.62,0.664,87.734,85.552,2.182,279,48
BiLSTM+BiLSTM,Mish,Tanh,5,86.788,0.717,0.89,85.64,87.55,86.48,1.06,88.478,84.656,3.822,280,49
BiLSTM+BiLSTM,LeakyReLU,GELU,5,86.784,0.391,0.485,86.46,87.34,86.762,0.548,86.944,86.672,0.272,281,50
BiLSTM+BiLSTM,Hardswish,LeakyReLU,5,86.78,0.863,1.072,85.3,87.41,86.748,0.659,87.118,86.536,0.582,282,51
BiLSTM+BiLSTM,LeakyReLU,LeakyReLU,5,86.776,0.38,0.472,86.42,87.37,86.726,0.63,87.07,86.48,0.59,283,52
BiLSTM+LSTM,ReLU,LeakyReLU,5,86.768,0.254,0.315,86.45,87.03,86.684,0.321,87.254,86.168,1.086,284,32
BiLSTM+LSTM,ELU,ELU,5,86.768,0.511,0.635,86.09,87.36,86.842,0.543,86.42,87.38,0.96,284,32
BiLSTM+BiLSTM,ELU,PReLU,5,86.768,0.452,0.561,86.37,87.53,86.772,0.537,86.742,86.832,0.09,284,53
BiLSTM+BiLSTM,GELU,SELU,5,86.766,0.769,0.955,85.48,87.5,86.828,1.084,86.368,87.368,1.0,287,54
BiLSTM+BiLSTM,GELU,SiLU,5,86.764,0.234,0.291,86.46,87.04,86.612,0.421,87.642,85.668,1.974,288,55
BiLSTM+LSTM,ReLU,ELU,5,86.764,0.502,0.623,86.09,87.4,86.812,0.837,86.468,87.252,0.784,288,34
BiLSTM+LSTM,ReLU,PReLU,5,86.762,0.422,0.524,86.23,87.27,86.754,0.477,86.804,86.712,0.092,290,35
BiLSTM+LSTM,LeakyReLU,SiLU,5,86.758,0.541,0.672,86.17,87.54,86.778,0.68,86.62,86.972,0.352,291,36
BiLSTM+LSTM,Hardswish,ELU,5,86.756,0.45,0.559,86.19,87.23,86.696,0.679,87.11,86.412,0.698,292,37
BiLSTM+LSTM,GELU,Tanh,5,86.752,0.554,0.688,86.14,87.46,86.946,0.489,85.724,88.244,2.52,293,38
BiLSTM+BiLSTM,ReLU,LeakyReLU,5,86.744,0.308,0.383,86.4,87.17,86.798,0.306,86.466,87.156,0.69,294,56
BiLSTM+BiLSTM,Tanh,ELU,5,86.742,0.64,0.794,85.88,87.54,86.688,0.508,87.136,86.312,0.824,295,57
BiLSTM+BiLSTM,ELU,SELU,5,86.742,0.483,0.6,85.95,87.09,86.596,0.739,87.564,85.74,1.824,295,57
BiLSTM+BiLSTM,SiLU,Mish,5,86.738,0.509,0.632,86.16,87.48,86.588,0.856,87.57,85.772,1.798,297,59
BiLSTM+LSTM,PReLU,PReLU,5,86.722,0.591,0.734,85.8,87.37,86.704,0.991,86.774,86.756,0.018,298,39
BiLSTM+LSTM,GELU,GELU,5,86.722,0.682,0.847,85.83,87.41,86.598,1.072,87.332,85.996,1.336,298,39
BiLSTM+BiLSTM,SELU,PReLU,5,86.72,0.448,0.556,86.13,87.17,86.636,0.738,87.188,86.184,1.004,300,60
BiLSTM+BiLSTM,ELU,GELU,5,86.718,0.651,0.808,85.75,87.38,86.758,0.783,86.464,87.092,0.628,301,61
BiLSTM+BiLSTM,PReLU,GELU,5,86.716,0.412,0.512,86.15,87.19,86.5,0.447,87.928,85.136,2.792,302,62
BiLSTM+LSTM,SiLU,GELU,5,86.714,0.192,0.238,86.39,86.86,86.812,0.537,86.218,87.544,1.326,303,41
BiLSTM+BiLSTM,SiLU,Hardswish,5,86.71,0.428,0.531,86.21,87.21,86.538,0.776,87.662,85.564,2.098,304,63
BiLSTM+BiLSTM,SiLU,GELU,5,86.706,0.561,0.696,85.86,87.33,86.726,0.559,86.61,86.872,0.262,305,64
BiLSTM+BiLSTM,ELU,ELU,5,86.702,0.446,0.554,86.34,87.36,86.826,0.512,86.036,87.684,1.648,306,65
BiLSTM+LSTM,SiLU,SELU,5,86.7,0.482,0.599,86.0,87.26,86.796,0.554,86.196,87.444,1.248,307,42
BiLSTM+LSTM,PReLU,LeakyReLU,5,86.696,0.449,0.558,86.13,87.36,86.706,0.402,86.668,86.796,0.128,308,43
BiLSTM+BiLSTM,SiLU,SELU,5,86.696,0.441,0.548,86.29,87.23,86.606,0.681,87.182,86.108,1.074,308,66
BiLSTM+BiLSTM,Hardswish,Mish,5,86.69,0.425,0.528,86.2,87.33,86.556,0.465,87.442,85.716,1.726,310,67
BiLSTM+LSTM,Mish,LeakyReLU,5,86.686,0.287,0.356,86.28,87.06,86.568,0.45,87.378,85.836,1.542,311,44
BiLSTM+LSTM,Tanh,Mish,5,86.68,0.539,0.669,86.07,87.41,86.65,0.593,86.85,86.464,0.386,312,45
BiLSTM+LSTM,PReLU,SiLU,5,86.678,0.816,1.014,85.41,87.47,86.532,1.048,87.44,85.696,1.744,313,46
BiLSTM+BiLSTM,SELU,ELU,5,86.676,0.51,0.633,85.78,87.05,86.474,0.603,87.806,85.22,2.586,314,68
BiLSTM+BiLSTM,SELU,ReLU,5,86.676,0.182,0.226,86.58,87.0,86.662,0.326,86.81,86.604,0.206,314,68
BiLSTM+LSTM,ELU,SELU,5,86.674,0.538,0.668,85.73,87.04,86.578,0.38,87.274,85.936,1.338,316,47
BiLSTM+LSTM,SiLU,Mish,5,86.672,0.597,0.741,86.07,87.38,86.456,1.033,87.838,85.3,2.538,317,48
BiLSTM+LSTM,Mish,GELU,5,86.672,0.332,0.413,86.18,87.1,86.76,0.438,86.226,87.368,1.142,317,48
BiLSTM+LSTM,ELU,GELU,5,86.672,0.564,0.7,85.9,87.25,86.704,0.662,86.486,86.952,0.466,317,48
BiLSTM+BiLSTM,Tanh,PReLU,5,86.666,0.317,0.393,86.25,87.06,86.848,0.52,85.73,88.116,2.386,320,70
BiLSTM+BiLSTM,PReLU,PReLU,5,86.662,0.469,0.582,86.06,87.11,86.484,0.758,87.642,85.448,2.194,321,71
BiLSTM+LSTM,Tanh,LeakyReLU,5,86.66,0.624,0.774,85.87,87.44,86.728,0.617,86.284,87.184,0.9,322,51
BiLSTM+BiLSTM,Tanh,SiLU,5,86.66,1.05,1.304,84.84,87.52,86.356,1.484,88.268,84.68,3.588,322,72
BiLSTM+BiLSTM,Tanh,Hardswish,5,86.656,0.502,0.624,86.2,87.5,86.516,0.545,87.46,85.616,1.844,324,73
BiLSTM+BiLSTM,Hardswish,ELU,5,86.656,0.497,0.618,86.32,87.53,86.63,0.603,86.838,86.512,0.326,324,73
BiLSTM+BiLSTM,SiLU,LeakyReLU,5,86.656,0.5,0.621,86.18,87.26,86.446,0.796,87.806,85.212,2.594,324,73
BiLSTM+BiLSTM,Mish,LeakyReLU,5,86.652,0.516,0.641,85.79,87.14,86.73,0.944,86.224,87.412,1.188,327,76
BiLSTM+LSTM,Tanh,Tanh,5,86.648,0.979,1.216,85.36,87.65,86.56,1.203,87.07,86.104,0.966,328,52
BiLSTM+LSTM,Mish,Tanh,5,86.646,0.691,0.859,85.53,87.41,86.78,0.633,85.984,87.64,1.656,329,53
BiLSTM+LSTM,SELU,GELU,5,86.644,0.647,0.804,85.64,87.35,86.622,0.696,86.762,86.5,0.262,330,54
BiLSTM+LSTM,Mish,Mish,5,86.642,0.357,0.443,86.17,87.12,86.682,0.76,86.494,87.116,0.622,331,55
BiLSTM+BiLSTM,SELU,Tanh,5,86.64,0.788,0.979,85.47,87.55,86.59,1.069,86.912,86.42,0.492,332,77
BiLSTM+LSTM,Mish,Hardswish,5,86.638,0.758,0.941,85.65,87.61,86.66,0.902,86.504,86.876,0.372,333,56
BiLSTM+LSTM,Hardswish,SELU,5,86.638,0.408,0.507,86.17,87.2,86.528,0.588,87.266,85.856,1.41,333,56
BiLSTM+LSTM,GELU,SELU,5,86.628,0.632,0.784,86.04,87.57,86.654,0.629,86.532,86.856,0.324,335,58
BiLSTM+LSTM,SELU,Hardswish,5,86.626,0.176,0.218,86.35,86.76,86.606,0.22,86.772,86.524,0.248,336,59
BiLSTM+BiLSTM,Tanh,Mish,5,86.624,0.295,0.367,86.23,86.97,86.23,0.425,88.84,83.792,5.048,337,78
BiLSTM+BiLSTM,ELU,SiLU,5,86.62,0.625,0.776,86.17,87.66,86.532,0.542,87.16,85.936,1.224,338,79
BiLSTM+LSTM,PReLU,Tanh,5,86.62,0.424,0.526,86.0,87.01,86.512,0.61,87.242,85.88,1.362,338,60
BiLSTM+BiLSTM,SiLU,SiLU,5,86.614,0.809,1.004,85.29,87.51,86.484,0.759,87.422,85.66,1.762,340,80
BiLSTM+LSTM,ELU,SiLU,5,86.612,0.73,0.907,85.43,87.18,86.718,0.88,86.034,87.464,1.43,341,61
BiLSTM+LSTM,LeakyReLU,Hardswish,5,86.612,0.517,0.642,86.13,87.27,86.694,0.558,86.198,87.244,1.046,341,61
BiLSTM+LSTM,GELU,PReLU,5,86.612,0.51,0.633,85.9,87.15,86.306,0.576,88.326,84.4,3.926,341,61
BiLSTM+LSTM,ReLU,SELU,5,86.61,0.788,0.978,85.72,87.28,86.528,1.028,87.018,86.116,0.902,344,64
BiLSTM+LSTM,GELU,LeakyReLU,5,86.608,0.528,0.656,86.02,87.44,86.346,0.695,88.068,84.756,3.312,345,65
BiLSTM+LSTM,ReLU,Mish,5,86.602,0.458,0.569,86.08,87.09,86.666,0.66,86.258,87.156,0.898,346,66
BiLSTM+LSTM,SELU,SiLU,5,86.594,0.561,0.697,85.95,87.17,86.45,0.622,87.38,85.556,1.824,347,67
BiLSTM+BiLSTM,Hardswish,SiLU,5,86.59,0.499,0.62,85.88,87.07,86.508,0.87,87.006,86.12,0.886,348,81
BiLSTM+BiLSTM,ReLU,Mish,5,86.588,0.444,0.551,85.95,87.15,86.708,0.498,85.982,87.52,1.538,349,82
BiLSTM+LSTM,Tanh,GELU,5,86.588,0.635,0.788,85.48,87.03,86.556,0.429,86.868,86.312,0.556,349,68
BiLSTM+LSTM,Tanh,ELU,5,86.584,0.583,0.724,85.82,87.23,86.678,0.617,86.08,87.292,1.212,351,69
BiLSTM+BiLSTM,PReLU,SELU,5,86.582,0.47,0.584,85.97,87.19,86.556,0.719,86.696,86.468,0.228,352,83
BiLSTM+BiLSTM,Mish,PReLU,5,86.576,0.27,0.335,86.34,87.0,86.558,0.498,86.668,86.496,0.172,353,84
BiLSTM+LSTM,Hardswish,ReLU,5,86.576,0.645,0.801,85.68,87.35,86.52,0.977,86.838,86.304,0.534,353,70
BiLSTM+LSTM,LeakyReLU,SELU,5,86.568,1.106,1.374,84.97,87.97,86.692,0.958,85.996,87.44,1.444,355,71
BiLSTM+BiLSTM,LeakyReLU,SiLU,5,86.562,0.64,0.795,85.79,87.47,86.506,0.764,86.856,86.208,0.648,356,85
BiLSTM+BiLSTM,Tanh,ReLU,5,86.56,0.337,0.419,86.16,87.09,86.548,0.495,86.676,86.512,0.164,357,86
BiLSTM+LSTM,SELU,Tanh,5,86.558,0.415,0.515,85.91,87.06,86.404,0.49,87.49,85.476,2.014,358,72
BiLSTM+BiLSTM,ELU,Tanh,5,86.552,0.537,0.667,86.14,87.48,86.314,0.833,87.856,84.928,2.928,359,87
BiLSTM+BiLSTM,ELU,LeakyReLU,5,86.548,0.502,0.624,85.65,86.79,86.404,0.728,87.318,85.568,1.75,360,88
BiLSTM+LSTM,SiLU,ELU,5,86.546,0.684,0.849,85.37,86.99,86.454,1.049,87.028,86.008,1.02,361,73
BiLSTM+LSTM,Mish,SiLU,5,86.54,0.822,1.021,85.53,87.46,86.352,0.796,87.578,85.18,2.398,362,74
BiLSTM+LSTM,Hardswish,GELU,5,86.526,0.348,0.432,86.13,87.09,86.852,0.345,84.84,89.028,4.188,363,75
BiLSTM+LSTM,PReLU,Mish,5,86.514,0.808,1.003,85.48,87.36,86.674,0.909,85.688,87.8,2.112,364,76
BiLSTM+LSTM,SELU,LeakyReLU,5,86.504,0.541,0.671,85.92,87.18,86.25,0.799,87.862,84.764,3.098,365,77
BiLSTM+LSTM,Hardswish,Hardswish,5,86.502,0.557,0.692,85.64,87.09,86.24,0.726,87.948,84.652,3.296,366,78
BiLSTM+LSTM,Tanh,Hardswish,5,86.498,0.345,0.428,86.05,86.98,86.344,0.357,87.424,85.396,2.028,367,79
BiLSTM+LSTM,ELU,PReLU,5,86.486,0.334,0.414,85.91,86.77,86.496,0.281,86.456,86.56,0.104,368,80
BiLSTM+BiLSTM,ReLU,PReLU,5,86.484,0.575,0.714,85.53,86.92,86.276,1.015,87.594,85.144,2.45,369,89
BiLSTM+LSTM,ELU,LeakyReLU,5,86.472,0.39,0.484,85.99,86.96,86.362,0.731,87.082,85.76,1.322,370,81
BiLSTM+LSTM,GELU,ReLU,5,86.472,0.72,0.894,85.44,87.15,86.55,0.607,86.176,87.04,0.864,370,81
BiLSTM+BiLSTM,SELU,GELU,5,86.462,0.369,0.459,85.9,86.86,86.344,0.513,87.122,85.64,1.482,372,90
BiLSTM+LSTM,SELU,ELU,5,86.46,1.22,1.514,84.37,87.57,86.208,1.513,87.77,84.792,2.978,373,83
BiLSTM+BiLSTM,Tanh,GELU,5,86.454,0.76,0.943,85.16,87.12,86.43,0.797,86.59,86.284,0.306,374,91
BiLSTM+LSTM,LeakyReLU,Tanh,5,86.434,0.73,0.907,85.71,87.57,86.458,0.75,86.348,86.632,0.284,375,84
BiLSTM+BiLSTM,GELU,PReLU,5,86.416,0.852,1.058,85.37,87.31,86.386,1.108,86.62,86.368,0.252,376,92
BiLSTM+BiLSTM,GELU,Tanh,5,86.416,0.76,0.943,85.37,87.27,86.362,0.807,86.77,86.076,0.694,376,92
BiLSTM+BiLSTM,SiLU,PReLU,5,86.396,0.734,0.911,85.37,87.28,86.194,1.062,87.454,85.1,2.354,378,94
BiLSTM+LSTM,SELU,PReLU,5,86.39,0.522,0.648,85.47,86.77,86.19,0.837,87.438,85.052,2.386,379,85
BiLSTM+LSTM,Hardswish,PReLU,5,86.39,0.843,1.047,85.05,87.36,86.238,0.957,87.226,85.348,1.878,379,85
BiLSTM+BiLSTM,Hardswish,PReLU,5,86.386,0.278,0.346,86.02,86.67,86.132,0.574,87.766,84.628,3.138,381,95
BiLSTM+LSTM,PReLU,ELU,5,86.378,1.007,1.25,85.26,87.71,86.352,1.166,86.466,86.268,0.198,382,87
BiLSTM+LSTM,GELU,Mish,5,86.372,0.292,0.362,86.21,86.89,86.284,0.359,86.852,85.768,1.084,383,88
BiLSTM+BiLSTM,PReLU,Hardswish,5,86.366,0.73,0.906,85.07,86.78,86.08,1.047,87.918,84.46,3.458,384,96
BiLSTM+BiLSTM,SELU,SELU,5,86.358,0.722,0.897,85.52,87.14,86.47,0.781,85.838,87.26,1.422,385,97
BiLSTM+BiLSTM,Tanh,Tanh,5,86.334,0.849,1.055,85.62,87.44,85.762,1.252,89.406,82.52,6.886,386,98
BiLSTM+LSTM,Mish,ReLU,5,86.3,0.529,0.657,85.52,86.8,86.294,0.396,86.522,86.276,0.246,387,89
BiLSTM+LSTM,Tanh,SELU,5,86.298,1.026,1.274,84.61,87.15,86.084,1.459,87.326,84.992,2.334,388,90
BiLSTM+LSTM,Tanh,ReLU,5,86.278,0.633,0.786,85.23,86.95,86.246,0.801,86.46,86.14,0.32,389,91
BiLSTM+LSTM,SELU,SELU,5,86.254,0.477,0.592,85.59,86.83,86.192,0.63,86.586,85.84,0.746,390,92
BiLSTM+LSTM,PReLU,GELU,5,86.252,0.852,1.058,85.34,87.03,86.282,0.701,86.174,86.444,0.27,391,93
BiLSTM+LSTM,SiLU,PReLU,5,86.25,0.691,0.858,85.37,86.94,85.906,1.08,88.066,83.972,4.094,392,94
BiLSTM+LSTM,Mish,ELU,5,86.192,0.541,0.672,85.42,86.6,86.1,0.642,86.684,85.576,1.108,393,95
BiLSTM+LSTM,Hardswish,Tanh,5,86.164,0.17,0.211,86.02,86.41,86.296,0.363,85.512,87.164,1.652,394,96
BiLSTM+LSTM,SELU,ReLU,5,86.156,1.021,1.268,84.94,87.55,85.966,1.117,87.14,84.844,2.296,395,97
BiLSTM+LSTM,Mish,PReLU,5,86.138,0.966,1.2,85.13,87.63,86.296,0.856,85.41,87.272,1.862,396,98
BiLSTM+BiLSTM,GELU,Hardswish,5,86.132,0.828,1.028,85.23,87.21,86.114,0.9,86.22,86.036,0.184,397,99
BiLSTM+BiLSTM,LeakyReLU,SELU,5,86.066,0.926,1.15,85.06,87.43,86.11,1.2,85.894,86.56,0.666,398,100
BiLSTM+LSTM,Mish,SELU,5,85.938,1.724,2.14,83.09,87.33,85.636,2.107,87.35,84.12,3.23,399,99
BiLSTM+LSTM,Hardswish,LeakyReLU,5,82.056,9.274,11.515,65.5,86.85,80.628,12.295,83.914,78.324,5.59,400,100
