architecture,act1,act2,single_seed_acc,multiseed_mean,delta,multiseed_std,ci95,acc_min,acc_max,within_ci,single_rank,multiseed_rank,rank_change,abs_delta,abs_rank_change
BiLSTM+BiLSTM,SELU,LeakyReLU,87.04,87.002,-0.038,0.433,0.538,86.48,87.58,True,36,12,24,0.038,24
BiLSTM+BiLSTM,SELU,SiLU,87.22,87.002,-0.218,0.378,0.469,86.49,87.46,True,22,12,10,0.218,10
BiLSTM+BiLSTM,GELU,ELU,87.01,86.99,-0.02,0.364,0.452,86.43,87.4,True,39,14,25,0.02,25
BiLSTM+BiLSTM,GELU,ReLU,85.59,86.986,1.396,0.547,0.679,86.27,87.77,False,96,15,81,1.396,81
BiLSTM+BiLSTM,GELU,LeakyReLU,86.83,86.956,0.126,0.18,0.223,86.82,87.24,True,51,16,35,0.126,35
BiLSTM+BiLSTM,Mish,ELU,87.38,86.95,-0.43,0.496,0.615,86.46,87.61,True,10,17,-7,0.43,7
BiLSTM+BiLSTM,LeakyReLU,ReLU,87.38,86.94,-0.44,0.67,0.831,86.4,87.71,True,10,18,-8,0.44,8
BiLSTM+BiLSTM,SiLU,Tanh,86.48,86.92,0.44,0.404,0.501,86.48,87.34,True,76,19,57,0.44,57
BiLSTM+BiLSTM,PReLU,Tanh,86.61,86.92,0.31,0.319,0.395,86.36,87.14,True,65,19,46,0.31,46
BiLSTM+BiLSTM,GELU,GELU,85.49,86.912,1.422,0.33,0.409,86.41,87.21,False,99,21,78,1.422,78
BiLSTM+BiLSTM,Mish,Hardswish,87.26,86.898,-0.362,0.493,0.612,86.33,87.47,True,19,22,-3,0.362,3
BiLSTM+BiLSTM,Mish,GELU,86.68,86.898,0.218,0.713,0.885,85.66,87.45,True,61,22,39,0.218,39
BiLSTM+BiLSTM,ELU,ReLU,87.42,86.892,-0.528,0.654,0.812,85.81,87.51,True,7,24,-17,0.528,17
BiLSTM+BiLSTM,Mish,ReLU,87.21,86.892,-0.318,0.266,0.331,86.54,87.16,True,24,24,0,0.318,0
BiLSTM+BiLSTM,PReLU,LeakyReLU,87.13,86.884,-0.246,0.432,0.537,86.31,87.39,True,31,26,5,0.246,5
BiLSTM+BiLSTM,Tanh,LeakyReLU,87.02,86.874,-0.146,0.635,0.788,86.02,87.81,True,38,27,11,0.146,11
BiLSTM+BiLSTM,Hardswish,GELU,85.56,86.872,1.312,0.752,0.933,85.77,87.79,False,98,28,70,1.312,70
BiLSTM+BiLSTM,ELU,Mish,86.47,86.86,0.39,0.472,0.586,86.2,87.47,True,77,29,48,0.39,48
BiLSTM+BiLSTM,ReLU,SiLU,86.3,86.858,0.558,0.724,0.9,85.98,87.66,True,87,30,57,0.558,57
BiLSTM+BiLSTM,PReLU,ReLU,86.98,86.858,-0.122,0.204,0.253,86.61,87.16,True,44,30,14,0.122,14
BiLSTM+BiLSTM,SELU,Hardswish,87.41,86.856,-0.554,0.36,0.447,86.57,87.44,False,8,32,-24,0.554,24
BiLSTM+BiLSTM,SELU,Mish,87.34,86.854,-0.486,0.405,0.503,86.32,87.31,True,15,33,-18,0.486,18
BiLSTM+BiLSTM,LeakyReLU,ELU,86.82,86.85,0.03,0.595,0.739,86.15,87.52,True,52,34,18,0.03,18
BiLSTM+BiLSTM,Hardswish,ReLU,87.14,86.848,-0.292,0.35,0.435,86.44,87.28,True,29,35,-6,0.292,6
BiLSTM+BiLSTM,PReLU,Mish,87.53,86.834,-0.696,0.473,0.587,86.27,87.27,False,2,36,-34,0.696,34
BiLSTM+BiLSTM,ELU,Hardswish,86.39,86.832,0.442,0.48,0.596,86.11,87.38,True,80,37,43,0.442,43
BiLSTM+BiLSTM,LeakyReLU,PReLU,87.51,86.826,-0.684,0.608,0.754,86.23,87.67,True,3,38,-35,0.684,35
BiLSTM+BiLSTM,Mish,Mish,85.95,86.818,0.868,0.597,0.741,86.15,87.56,False,93,39,54,0.868,54
BiLSTM+BiLSTM,LeakyReLU,Tanh,87.35,86.818,-0.532,0.25,0.31,86.47,87.09,False,13,39,-26,0.532,26
BiLSTM+BiLSTM,SiLU,ReLU,86.99,86.812,-0.178,0.22,0.273,86.57,87.16,True,42,41,1,0.178,1
BiLSTM+BiLSTM,Mish,SELU,86.68,86.808,0.128,0.44,0.547,86.2,87.25,True,61,42,19,0.128,19
BiLSTM+BiLSTM,ReLU,GELU,86.15,86.806,0.656,0.301,0.373,86.39,87.13,False,90,43,47,0.656,47
BiLSTM+BiLSTM,LeakyReLU,Hardswish,86.35,86.804,0.454,0.666,0.827,85.76,87.44,True,85,44,41,0.454,41
BiLSTM+BiLSTM,Hardswish,Hardswish,86.88,86.804,-0.076,0.549,0.682,86.02,87.4,True,48,44,4,0.076,4
BiLSTM+BiLSTM,Tanh,SELU,87.05,86.792,-0.258,0.788,0.978,85.44,87.32,True,35,46,-11,0.258,11
BiLSTM+BiLSTM,ReLU,SELU,87.23,86.792,-0.438,0.212,0.264,86.56,87.08,False,21,46,-25,0.438,25
BiLSTM+BiLSTM,Hardswish,SELU,85.69,86.79,1.1,0.515,0.64,86.33,87.58,False,95,48,47,1.1,47
BiLSTM+BiLSTM,Mish,Tanh,86.82,86.788,-0.032,0.717,0.89,85.64,87.55,True,52,49,3,0.032,3
BiLSTM+BiLSTM,LeakyReLU,GELU,87.09,86.784,-0.306,0.391,0.485,86.46,87.34,True,32,50,-18,0.306,18
BiLSTM+BiLSTM,Hardswish,LeakyReLU,87.16,86.78,-0.38,0.863,1.072,85.3,87.41,True,28,51,-23,0.38,23
BiLSTM+BiLSTM,LeakyReLU,LeakyReLU,86.79,86.776,-0.014,0.38,0.472,86.42,87.37,True,54,52,2,0.014,2
BiLSTM+BiLSTM,ELU,PReLU,86.39,86.768,0.378,0.452,0.561,86.37,87.53,True,80,53,27,0.378,27
BiLSTM+BiLSTM,GELU,SELU,87.14,86.766,-0.374,0.769,0.955,85.48,87.5,True,29,54,-25,0.374,25
BiLSTM+BiLSTM,GELU,SiLU,86.07,86.764,0.694,0.234,0.291,86.46,87.04,False,91,55,36,0.694,36
BiLSTM+BiLSTM,ReLU,LeakyReLU,86.59,86.744,0.154,0.308,0.383,86.4,87.17,True,68,56,12,0.154,12
BiLSTM+BiLSTM,ELU,SELU,86.34,86.742,0.402,0.483,0.6,85.95,87.09,True,86,57,29,0.402,29
BiLSTM+BiLSTM,Tanh,ELU,87.33,86.742,-0.588,0.64,0.794,85.88,87.54,True,17,57,-40,0.588,40
BiLSTM+BiLSTM,SiLU,Mish,86.63,86.738,0.108,0.509,0.632,86.16,87.48,True,63,59,4,0.108,4
BiLSTM+BiLSTM,SELU,PReLU,87.17,86.72,-0.45,0.448,0.556,86.13,87.17,True,27,60,-33,0.45,33
BiLSTM+BiLSTM,ELU,GELU,86.99,86.718,-0.272,0.651,0.808,85.75,87.38,True,42,61,-19,0.272,19
BiLSTM+BiLSTM,PReLU,GELU,85.45,86.716,1.266,0.412,0.512,86.15,87.19,False,100,62,38,1.266,38
BiLSTM+BiLSTM,SiLU,Hardswish,86.02,86.71,0.69,0.428,0.531,86.21,87.21,False,92,63,29,0.69,29
BiLSTM+BiLSTM,SiLU,GELU,87.34,86.706,-0.634,0.561,0.696,85.86,87.33,True,15,64,-49,0.634,49
BiLSTM+BiLSTM,ELU,ELU,87.37,86.702,-0.668,0.446,0.554,86.34,87.36,False,12,65,-53,0.668,53
BiLSTM+BiLSTM,SiLU,SELU,86.19,86.696,0.506,0.441,0.548,86.29,87.23,True,89,66,23,0.506,23
BiLSTM+BiLSTM,Hardswish,Mish,87.0,86.69,-0.31,0.425,0.528,86.2,87.33,True,40,67,-27,0.31,27
BiLSTM+BiLSTM,SELU,ELU,86.91,86.676,-0.234,0.51,0.633,85.78,87.05,True,47,68,-21,0.234,21
BiLSTM+BiLSTM,SELU,ReLU,86.39,86.676,0.286,0.182,0.226,86.58,87.0,False,80,68,12,0.286,12
BiLSTM+BiLSTM,Tanh,PReLU,86.61,86.666,0.056,0.317,0.393,86.25,87.06,True,65,70,-5,0.056,5
BiLSTM+BiLSTM,PReLU,PReLU,87.08,86.662,-0.418,0.469,0.582,86.06,87.11,True,33,71,-38,0.418,38
BiLSTM+BiLSTM,Tanh,SiLU,86.88,86.66,-0.22,1.05,1.304,84.84,87.52,True,48,72,-24,0.22,24
BiLSTM+BiLSTM,Hardswish,ELU,87.45,86.656,-0.794,0.497,0.618,86.32,87.53,False,6,73,-67,0.794,67
BiLSTM+BiLSTM,Tanh,Hardswish,85.58,86.656,1.076,0.502,0.624,86.2,87.5,False,97,73,24,1.076,24
BiLSTM+BiLSTM,SiLU,LeakyReLU,86.63,86.656,0.026,0.5,0.621,86.18,87.26,True,63,73,-10,0.026,10
BiLSTM+BiLSTM,Mish,LeakyReLU,87.19,86.652,-0.538,0.516,0.641,85.79,87.14,True,25,76,-51,0.538,51
BiLSTM+BiLSTM,SELU,Tanh,87.5,86.64,-0.86,0.788,0.979,85.47,87.55,True,4,77,-73,0.86,73
BiLSTM+BiLSTM,Tanh,Mish,86.95,86.624,-0.326,0.295,0.367,86.23,86.97,True,45,78,-33,0.326,33
BiLSTM+BiLSTM,ELU,SiLU,86.43,86.62,0.19,0.625,0.776,86.17,87.66,True,79,79,0,0.19,0
BiLSTM+BiLSTM,SiLU,SiLU,87.19,86.614,-0.576,0.809,1.004,85.29,87.51,True,25,80,-55,0.576,55
BiLSTM+BiLSTM,Hardswish,SiLU,86.53,86.59,0.06,0.499,0.62,85.88,87.07,True,71,81,-10,0.06,10
BiLSTM+BiLSTM,ReLU,Mish,87.26,86.588,-0.672,0.444,0.551,85.95,87.15,False,19,82,-63,0.672,63
BiLSTM+BiLSTM,PReLU,SELU,85.84,86.582,0.742,0.47,0.584,85.97,87.19,False,94,83,11,0.742,11
BiLSTM+BiLSTM,Mish,PReLU,87.22,86.576,-0.644,0.27,0.335,86.34,87.0,False,22,84,-62,0.644,62
BiLSTM+BiLSTM,LeakyReLU,SiLU,86.5,86.562,0.062,0.64,0.795,85.79,87.47,True,75,85,-10,0.062,10
BiLSTM+BiLSTM,Tanh,ReLU,86.71,86.56,-0.15,0.337,0.419,86.16,87.09,True,58,86,-28,0.15,28
BiLSTM+BiLSTM,ELU,Tanh,87.07,86.552,-0.518,0.537,0.667,86.14,87.48,True,34,87,-53,0.518,53
BiLSTM+BiLSTM,ELU,LeakyReLU,86.69,86.548,-0.142,0.502,0.624,85.65,86.79,True,59,88,-29,0.142,29
BiLSTM+BiLSTM,ReLU,PReLU,86.51,86.484,-0.026,0.575,0.714,85.53,86.92,True,73,89,-16,0.026,16
BiLSTM+BiLSTM,SELU,GELU,86.39,86.462,0.072,0.369,0.459,85.9,86.86,True,80,90,-10,0.072,10
BiLSTM+BiLSTM,Tanh,GELU,87.82,86.454,-1.366,0.76,0.943,85.16,87.12,False,1,91,-90,1.366,90
BiLSTM+BiLSTM,GELU,PReLU,86.76,86.416,-0.344,0.852,1.058,85.37,87.31,True,56,92,-36,0.344,36
BiLSTM+BiLSTM,GELU,Tanh,87.39,86.416,-0.974,0.76,0.943,85.37,87.27,False,9,92,-83,0.974,83
BiLSTM+BiLSTM,SiLU,PReLU,86.56,86.396,-0.164,0.734,0.911,85.37,87.28,True,69,94,-25,0.164,25
BiLSTM+BiLSTM,Hardswish,PReLU,87.31,86.386,-0.924,0.278,0.346,86.02,86.67,False,18,95,-77,0.924,77
BiLSTM+BiLSTM,PReLU,Hardswish,87.03,86.366,-0.664,0.73,0.906,85.07,86.78,True,37,96,-59,0.664,59
BiLSTM+BiLSTM,SELU,SELU,86.79,86.358,-0.432,0.722,0.897,85.52,87.14,True,54,97,-43,0.432,43
BiLSTM+BiLSTM,Tanh,Tanh,86.76,86.334,-0.426,0.849,1.055,85.62,87.44,True,56,98,-42,0.426,42
BiLSTM+BiLSTM,GELU,Hardswish,87.35,86.132,-1.218,0.828,1.028,85.23,87.21,False,13,99,-86,1.218,86
BiLSTM+BiLSTM,LeakyReLU,SELU,86.45,86.066,-0.384,0.926,1.15,85.06,87.43,True,78,100,-22,0.384,22
BiLSTM+LSTM,Hardswish,SiLU,86.75,87.164,0.414,0.492,0.61,86.4,87.65,True,52,1,51,0.414,51
BiLSTM+LSTM,ReLU,GELU,86.52,87.15,0.63,0.401,0.498,86.68,87.69,False,71,2,69,0.63,69
BiLSTM+LSTM,LeakyReLU,GELU,87.17,87.108,-0.062,0.48,0.596,86.26,87.39,True,16,3,13,0.062,13
BiLSTM+LSTM,LeakyReLU,ReLU,87.03,87.07,0.04,0.622,0.773,86.43,87.88,True,26,4,22,0.04,22
BiLSTM+LSTM,PReLU,Hardswish,86.78,87.062,0.282,0.231,0.287,86.86,87.44,True,50,5,45,0.282,45
BiLSTM+LSTM,ReLU,ReLU,86.59,87.06,0.47,0.457,0.568,86.5,87.55,True,64,6,58,0.47,58
BiLSTM+LSTM,PReLU,SELU,86.86,87.046,0.186,0.251,0.312,86.8,87.44,True,41,7,34,0.186,34
BiLSTM+LSTM,ELU,Mish,86.81,87.044,0.234,0.297,0.369,86.69,87.37,True,47,8,39,0.234,39
BiLSTM+LSTM,ReLU,Tanh,85.56,87.024,1.464,0.398,0.494,86.64,87.54,False,97,9,88,1.464,88
BiLSTM+LSTM,GELU,ELU,86.84,87.014,0.174,0.5,0.621,86.43,87.65,True,42,10,32,0.174,32
BiLSTM+LSTM,SiLU,Tanh,86.97,86.984,0.014,0.465,0.578,86.23,87.41,True,31,11,20,0.014,20
BiLSTM+LSTM,Tanh,SiLU,86.06,86.974,0.914,0.537,0.667,86.17,87.5,False,90,12,78,0.914,78
BiLSTM+LSTM,LeakyReLU,Mish,87.32,86.936,-0.384,0.55,0.683,86.22,87.74,True,9,13,-4,0.384,4
BiLSTM+LSTM,GELU,Hardswish,86.43,86.932,0.502,0.249,0.309,86.61,87.29,False,77,14,63,0.502,63
BiLSTM+LSTM,ELU,Tanh,84.95,86.93,1.98,0.457,0.568,86.55,87.72,False,98,15,83,1.98,83
BiLSTM+LSTM,SiLU,SiLU,87.17,86.926,-0.244,0.187,0.233,86.63,87.13,False,16,16,0,0.244,0
BiLSTM+LSTM,ELU,Hardswish,85.57,86.91,1.34,0.551,0.684,86.41,87.81,False,96,17,79,1.34,79
BiLSTM+LSTM,LeakyReLU,ELU,86.69,86.908,0.218,0.341,0.423,86.53,87.41,True,56,18,38,0.218,38
BiLSTM+LSTM,PReLU,ReLU,86.63,86.902,0.272,0.447,0.555,86.19,87.38,True,61,19,42,0.272,42
BiLSTM+LSTM,Hardswish,Mish,87.61,86.898,-0.712,0.362,0.449,86.38,87.3,False,2,20,-18,0.712,18
BiLSTM+LSTM,LeakyReLU,LeakyReLU,86.34,86.892,0.552,0.567,0.704,86.23,87.57,True,80,21,59,0.552,59
BiLSTM+LSTM,LeakyReLU,PReLU,86.04,86.874,0.834,0.348,0.433,86.48,87.35,False,91,22,69,0.834,69
BiLSTM+LSTM,ELU,ReLU,87.08,86.86,-0.22,0.821,1.02,85.45,87.55,True,24,23,1,0.22,1
BiLSTM+LSTM,Tanh,PReLU,86.43,86.86,0.43,0.34,0.422,86.47,87.3,False,77,23,54,0.43,54
BiLSTM+LSTM,SiLU,LeakyReLU,86.15,86.854,0.704,0.469,0.582,86.25,87.46,False,87,25,62,0.704,62
BiLSTM+LSTM,GELU,SiLU,86.56,86.824,0.264,0.239,0.296,86.53,87.03,True,67,26,41,0.264,41
BiLSTM+LSTM,SELU,Mish,86.55,86.81,0.26,0.69,0.857,85.86,87.59,True,69,27,42,0.26,42
BiLSTM+LSTM,SiLU,ReLU,87.16,86.81,-0.35,0.26,0.323,86.58,87.21,False,18,27,-9,0.35,9
BiLSTM+LSTM,SiLU,Hardswish,86.33,86.808,0.478,0.551,0.684,86.0,87.46,True,81,29,52,0.478,52
BiLSTM+LSTM,ReLU,Hardswish,86.8,86.8,0.0,0.272,0.338,86.41,87.13,True,48,30,18,0.0,18
BiLSTM+LSTM,ReLU,SiLU,86.28,86.792,0.512,0.369,0.458,86.21,87.16,False,83,31,52,0.512,52
BiLSTM+LSTM,ELU,ELU,86.49,86.768,0.278,0.511,0.635,86.09,87.36,True,74,32,42,0.278,42
BiLSTM+LSTM,ReLU,LeakyReLU,87.56,86.768,-0.792,0.254,0.315,86.45,87.03,False,3,32,-29,0.792,29
BiLSTM+LSTM,ReLU,ELU,86.9,86.764,-0.136,0.502,0.623,86.09,87.4,True,38,34,4,0.136,4
BiLSTM+LSTM,ReLU,PReLU,84.9,86.762,1.862,0.422,0.524,86.23,87.27,False,99,35,64,1.862,64
BiLSTM+LSTM,LeakyReLU,SiLU,86.55,86.758,0.208,0.541,0.672,86.17,87.54,True,69,36,33,0.208,33
BiLSTM+LSTM,Hardswish,ELU,86.62,86.756,0.136,0.45,0.559,86.19,87.23,True,62,37,25,0.136,25
BiLSTM+LSTM,GELU,Tanh,86.47,86.752,0.282,0.554,0.688,86.14,87.46,True,75,38,37,0.282,37
BiLSTM+LSTM,GELU,GELU,86.65,86.722,0.072,0.682,0.847,85.83,87.41,True,60,39,21,0.072,21
BiLSTM+LSTM,PReLU,PReLU,86.82,86.722,-0.098,0.591,0.734,85.8,87.37,True,44,39,5,0.098,5
BiLSTM+LSTM,SiLU,GELU,86.56,86.714,0.154,0.192,0.238,86.39,86.86,True,67,41,26,0.154,26
BiLSTM+LSTM,SiLU,SELU,86.42,86.7,0.28,0.482,0.599,86.0,87.26,True,79,42,37,0.28,37
BiLSTM+LSTM,PReLU,LeakyReLU,86.82,86.696,-0.124,0.449,0.558,86.13,87.36,True,44,43,1,0.124,1
BiLSTM+LSTM,Mish,LeakyReLU,86.3,86.686,0.386,0.287,0.356,86.28,87.06,False,82,44,38,0.386,38
BiLSTM+LSTM,Tanh,Mish,86.67,86.68,0.01,0.539,0.669,86.07,87.41,True,59,45,14,0.01,14
BiLSTM+LSTM,PReLU,SiLU,86.84,86.678,-0.162,0.816,1.014,85.41,87.47,True,42,46,-4,0.162,4
BiLSTM+LSTM,ELU,SELU,86.68,86.674,-0.006,0.538,0.668,85.73,87.04,True,57,47,10,0.006,10
BiLSTM+LSTM,ELU,GELU,87.37,86.672,-0.698,0.564,0.7,85.9,87.25,True,8,48,-40,0.698,40
BiLSTM+LSTM,SiLU,Mish,87.45,86.672,-0.778,0.597,0.741,86.07,87.38,False,7,48,-41,0.778,41
BiLSTM+LSTM,Mish,GELU,86.45,86.672,0.222,0.332,0.413,86.18,87.1,True,76,48,28,0.222,28
BiLSTM+LSTM,Tanh,LeakyReLU,87.1,86.66,-0.44,0.624,0.774,85.87,87.44,True,23,51,-28,0.44,28
BiLSTM+LSTM,Tanh,Tanh,87.46,86.648,-0.812,0.979,1.216,85.36,87.65,True,5,52,-47,0.812,47
BiLSTM+LSTM,Mish,Tanh,86.93,86.646,-0.284,0.691,0.859,85.53,87.41,True,35,53,-18,0.284,18
BiLSTM+LSTM,SELU,GELU,86.08,86.644,0.564,0.647,0.804,85.64,87.35,True,89,54,35,0.564,35
BiLSTM+LSTM,Mish,Mish,87.16,86.642,-0.518,0.357,0.443,86.17,87.12,False,18,55,-37,0.518,37
BiLSTM+LSTM,Mish,Hardswish,86.91,86.638,-0.272,0.758,0.941,85.65,87.61,True,37,56,-19,0.272,19
BiLSTM+LSTM,Hardswish,SELU,87.29,86.638,-0.652,0.408,0.507,86.17,87.2,False,11,56,-45,0.652,45
BiLSTM+LSTM,GELU,SELU,86.61,86.628,0.018,0.632,0.784,86.04,87.57,True,63,58,5,0.018,5
BiLSTM+LSTM,SELU,Hardswish,86.9,86.626,-0.274,0.176,0.218,86.35,86.76,False,38,59,-21,0.274,21
BiLSTM+LSTM,PReLU,Tanh,87.2,86.62,-0.58,0.424,0.526,86.0,87.01,False,15,60,-45,0.58,45
BiLSTM+LSTM,LeakyReLU,Hardswish,87.48,86.612,-0.868,0.517,0.642,86.13,87.27,False,4,61,-57,0.868,57
BiLSTM+LSTM,ELU,SiLU,86.82,86.612,-0.208,0.73,0.907,85.43,87.18,True,44,61,-17,0.208,17
BiLSTM+LSTM,GELU,PReLU,87.12,86.612,-0.508,0.51,0.633,85.9,87.15,True,22,61,-39,0.508,39
BiLSTM+LSTM,ReLU,SELU,87.25,86.61,-0.64,0.788,0.978,85.72,87.28,True,12,64,-52,0.64,52
BiLSTM+LSTM,GELU,LeakyReLU,85.92,86.608,0.688,0.528,0.656,86.02,87.44,False,94,65,29,0.688,29
BiLSTM+LSTM,ReLU,Mish,86.68,86.602,-0.078,0.458,0.569,86.08,87.09,True,57,66,-9,0.078,9
BiLSTM+LSTM,SELU,SiLU,86.79,86.594,-0.196,0.561,0.697,85.95,87.17,True,49,67,-18,0.196,18
BiLSTM+LSTM,Tanh,GELU,87.23,86.588,-0.642,0.635,0.788,85.48,87.03,True,13,68,-55,0.642,55
BiLSTM+LSTM,Tanh,ELU,86.95,86.584,-0.366,0.583,0.724,85.82,87.23,True,33,69,-36,0.366,36
BiLSTM+LSTM,Hardswish,ReLU,84.84,86.576,1.736,0.645,0.801,85.68,87.35,False,100,70,30,1.736,30
BiLSTM+LSTM,LeakyReLU,SELU,86.26,86.568,0.308,1.106,1.374,84.97,87.97,True,84,71,13,0.308,13
BiLSTM+LSTM,SELU,Tanh,86.52,86.558,0.038,0.415,0.515,85.91,87.06,True,71,72,-1,0.038,1
BiLSTM+LSTM,SiLU,ELU,86.74,86.546,-0.194,0.684,0.849,85.37,86.99,True,53,73,-20,0.194,20
BiLSTM+LSTM,Mish,SiLU,86.58,86.54,-0.04,0.822,1.021,85.53,87.46,True,65,74,-9,0.04,9
BiLSTM+LSTM,Hardswish,GELU,86.09,86.526,0.436,0.348,0.432,86.13,87.09,False,88,75,13,0.436,13
BiLSTM+LSTM,PReLU,Mish,86.95,86.514,-0.436,0.808,1.003,85.48,87.36,True,33,76,-43,0.436,43
BiLSTM+LSTM,SELU,LeakyReLU,86.71,86.504,-0.206,0.541,0.671,85.92,87.18,True,55,77,-22,0.206,22
BiLSTM+LSTM,Hardswish,Hardswish,86.58,86.502,-0.078,0.557,0.692,85.64,87.09,True,65,78,-13,0.078,13
BiLSTM+LSTM,Tanh,Hardswish,86.99,86.498,-0.492,0.345,0.428,86.05,86.98,False,28,79,-51,0.492,51
BiLSTM+LSTM,ELU,PReLU,86.24,86.486,0.246,0.334,0.414,85.91,86.77,True,86,80,6,0.246,6
BiLSTM+LSTM,GELU,ReLU,86.99,86.472,-0.518,0.72,0.894,85.44,87.15,True,28,81,-53,0.518,53
BiLSTM+LSTM,ELU,LeakyReLU,86.25,86.472,0.222,0.39,0.484,85.99,86.96,True,85,81,4,0.222,4
BiLSTM+LSTM,SELU,ELU,85.86,86.46,0.6,1.22,1.514,84.37,87.57,True,95,83,12,0.6,12
BiLSTM+LSTM,LeakyReLU,Tanh,85.98,86.434,0.454,0.73,0.907,85.71,87.57,True,92,84,8,0.454,8
BiLSTM+LSTM,SELU,PReLU,86.72,86.39,-0.33,0.522,0.648,85.47,86.77,True,54,85,-31,0.33,31
BiLSTM+LSTM,Hardswish,PReLU,86.89,86.39,-0.5,0.843,1.047,85.05,87.36,True,40,85,-45,0.5,45
BiLSTM+LSTM,PReLU,ELU,86.5,86.378,-0.122,1.007,1.25,85.26,87.71,True,73,87,-14,0.122,14
BiLSTM+LSTM,GELU,Mish,86.77,86.372,-0.398,0.292,0.362,86.21,86.89,False,51,88,-37,0.398,37
BiLSTM+LSTM,Mish,ReLU,87.08,86.3,-0.78,0.529,0.657,85.52,86.8,False,24,89,-65,0.78,65
BiLSTM+LSTM,Tanh,SELU,87.13,86.298,-0.832,1.026,1.274,84.61,87.15,True,21,90,-69,0.832,69
BiLSTM+LSTM,Tanh,ReLU,87.46,86.278,-1.182,0.633,0.786,85.23,86.95,False,5,91,-86,1.182,86
BiLSTM+LSTM,SELU,SELU,87.3,86.254,-1.046,0.477,0.592,85.59,86.83,False,10,92,-82,1.046,82
BiLSTM+LSTM,PReLU,GELU,87.22,86.252,-0.968,0.852,1.058,85.34,87.03,True,14,93,-79,0.968,79
BiLSTM+LSTM,SiLU,PReLU,85.95,86.25,0.3,0.691,0.858,85.37,86.94,True,93,94,-1,0.3,1
BiLSTM+LSTM,Mish,ELU,86.96,86.192,-0.768,0.541,0.672,85.42,86.6,False,32,95,-63,0.768,63
BiLSTM+LSTM,Hardswish,Tanh,87.01,86.164,-0.846,0.17,0.211,86.02,86.41,False,27,96,-69,0.846,69
BiLSTM+LSTM,SELU,ReLU,87.16,86.156,-1.004,1.021,1.268,84.94,87.55,True,18,97,-79,1.004,79
BiLSTM+LSTM,Mish,PReLU,87.66,86.138,-1.522,0.966,1.2,85.13,87.63,False,1,98,-97,1.522,97
BiLSTM+LSTM,Mish,SELU,86.98,85.938,-1.042,1.724,2.14,83.09,87.33,True,30,99,-69,1.042,69
BiLSTM+LSTM,Hardswish,LeakyReLU,86.92,82.056,-4.864,9.274,11.515,65.5,86.85,True,36,100,-64,4.864,64
