architecture,act1,act2,single_seed_acc,multiseed_mean,delta,multiseed_std,ci95,acc_min,acc_max,within_ci,single_rank,multiseed_rank,rank_change,abs_delta,abs_rank_change
BiGRU+BiGRU,ELU,PReLU,86.79,87.498,0.708,0.337,0.418,87.1,87.89,False,87,49,38,0.708,38
BiGRU+BiGRU,Mish,PReLU,86.69,87.498,0.808,0.234,0.291,87.18,87.79,False,92,49,43,0.808,43
BiGRU+BiGRU,ReLU,Mish,88.03,87.494,-0.536,0.312,0.388,87.09,87.81,False,2,51,-49,0.536,49
BiGRU+BiGRU,Tanh,Mish,87.06,87.494,0.434,0.3,0.372,87.04,87.87,False,73,51,22,0.434,22
BiGRU+BiGRU,ELU,LeakyReLU,86.4,87.494,1.094,0.318,0.395,87.17,87.96,False,97,51,46,1.094,46
BiGRU+BiGRU,LeakyReLU,Mish,87.53,87.48,-0.05,0.298,0.37,87.05,87.78,True,34,54,-20,0.05,20
BiGRU+BiGRU,Mish,SELU,87.17,87.48,0.31,0.334,0.415,87.1,87.88,True,68,54,14,0.31,14
BiGRU+BiGRU,ReLU,LeakyReLU,87.62,87.474,-0.146,0.478,0.593,86.79,88.11,True,24,56,-32,0.146,32
BiGRU+BiGRU,SiLU,Tanh,87.52,87.472,-0.048,0.36,0.447,86.93,87.79,True,35,57,-22,0.048,22
BiGRU+BiGRU,ELU,Tanh,86.7,87.472,0.772,0.288,0.358,87.14,87.73,False,91,57,34,0.772,34
BiGRU+BiGRU,GELU,PReLU,87.3,87.47,0.17,0.274,0.34,87.01,87.7,True,57,59,-2,0.17,2
BiGRU+BiGRU,SELU,Mish,87.13,87.464,0.334,0.136,0.169,87.24,87.59,False,71,60,11,0.334,11
BiGRU+BiGRU,PReLU,LeakyReLU,87.58,87.462,-0.118,0.477,0.592,86.66,87.88,True,30,61,-31,0.118,31
BiGRU+BiGRU,Hardswish,SELU,87.47,87.456,-0.014,0.248,0.308,87.1,87.8,True,42,62,-20,0.014,20
BiGRU+BiGRU,PReLU,SELU,87.69,87.452,-0.238,0.244,0.303,87.17,87.69,True,14,63,-49,0.238,49
BiGRU+BiGRU,LeakyReLU,LeakyReLU,87.19,87.448,0.258,0.346,0.43,86.88,87.75,True,66,64,2,0.258,2
BiGRU+BiGRU,Hardswish,ELU,87.52,87.43,-0.09,0.345,0.429,86.86,87.77,True,35,65,-30,0.09,30
BiGRU+BiGRU,ELU,Hardswish,87.44,87.428,-0.012,0.276,0.343,87.18,87.86,True,44,66,-22,0.012,22
BiGRU+BiGRU,Mish,ReLU,87.21,87.426,0.216,0.348,0.432,87.04,87.95,True,64,67,-3,0.216,3
BiGRU+BiGRU,PReLU,PReLU,87.21,87.424,0.214,0.39,0.484,86.82,87.85,True,64,68,-4,0.214,4
BiGRU+BiGRU,SELU,PReLU,86.69,87.418,0.728,0.188,0.233,87.09,87.54,False,92,69,23,0.728,23
BiGRU+BiGRU,SiLU,ELU,87.75,87.418,-0.332,0.41,0.509,86.85,87.89,True,13,69,-56,0.332,56
BiGRU+BiGRU,Hardswish,PReLU,86.83,87.414,0.584,0.441,0.548,86.81,87.84,False,83,71,12,0.584,12
BiGRU+BiGRU,SiLU,ReLU,87.39,87.406,0.016,0.355,0.441,86.88,87.75,True,49,72,-23,0.016,23
BiGRU+BiGRU,SELU,Hardswish,87.22,87.406,0.186,0.594,0.737,86.38,87.86,True,63,72,-9,0.186,9
BiGRU+BiGRU,PReLU,GELU,86.64,87.404,0.764,0.331,0.411,86.93,87.82,False,95,74,21,0.764,21
BiGRU+BiGRU,ReLU,ELU,87.59,87.402,-0.188,0.358,0.445,87.02,87.92,True,29,75,-46,0.188,46
BiGRU+BiGRU,PReLU,Tanh,86.99,87.4,0.41,0.285,0.354,87.02,87.74,False,76,76,0,0.41,0
BiGRU+BiGRU,Mish,Tanh,87.62,87.398,-0.222,0.298,0.371,86.97,87.69,True,24,77,-53,0.222,53
BiGRU+BiGRU,LeakyReLU,ReLU,87.61,87.388,-0.222,0.226,0.28,87.01,87.58,True,26,78,-52,0.222,52
BiGRU+BiGRU,SELU,GELU,87.3,87.38,0.08,0.32,0.398,86.94,87.69,True,57,79,-22,0.08,22
BiGRU+BiGRU,LeakyReLU,Tanh,87.35,87.38,0.03,0.158,0.196,87.22,87.57,True,54,79,-25,0.03,25
BiGRU+BiGRU,PReLU,ELU,87.65,87.376,-0.274,0.325,0.404,86.98,87.85,True,20,81,-61,0.274,61
BiGRU+BiGRU,SELU,SELU,87.82,87.37,-0.45,0.212,0.263,87.17,87.72,False,10,82,-72,0.45,72
BiGRU+BiGRU,ELU,ReLU,86.82,87.366,0.546,0.294,0.366,86.99,87.81,False,85,83,2,0.546,2
BiGRU+BiGRU,Tanh,SELU,87.16,87.362,0.202,0.59,0.732,86.37,87.94,True,69,84,-15,0.202,15
BiGRU+BiGRU,Tanh,Hardswish,88.06,87.36,-0.7,0.451,0.56,86.58,87.71,False,1,85,-84,0.7,84
BiGRU+BiGRU,LeakyReLU,PReLU,86.79,87.36,0.57,0.2,0.249,87.05,87.55,False,87,85,2,0.57,2
BiGRU+BiGRU,ELU,SiLU,87.67,87.356,-0.314,0.324,0.403,86.91,87.78,True,16,87,-71,0.314,71
BiGRU+BiGRU,GELU,LeakyReLU,87.64,87.35,-0.29,0.352,0.437,86.98,87.77,True,22,88,-66,0.29,66
BiGRU+BiGRU,GELU,Tanh,86.89,87.332,0.442,0.429,0.532,86.74,87.8,True,80,89,-9,0.442,9
BiGRU+BiGRU,Tanh,SiLU,87.4,87.332,-0.068,0.485,0.602,86.52,87.72,True,48,89,-41,0.068,41
BiGRU+BiGRU,ELU,SELU,87.35,87.32,-0.03,0.27,0.335,86.88,87.52,True,54,91,-37,0.03,37
BiGRU+BiGRU,ReLU,SELU,87.39,87.316,-0.074,0.35,0.434,86.92,87.68,True,49,92,-43,0.074,43
BiGRU+BiGRU,ELU,Mish,87.01,87.298,0.288,0.366,0.455,86.66,87.59,True,74,93,-19,0.288,19
BiGRU+BiGRU,Tanh,Tanh,86.91,87.296,0.386,0.201,0.25,87.01,87.5,False,78,94,-16,0.386,16
BiGRU+BiGRU,LeakyReLU,ELU,86.9,87.268,0.368,0.289,0.358,87.02,87.68,False,79,95,-16,0.368,16
BiGRU+BiGRU,GELU,SELU,87.88,87.266,-0.614,0.351,0.436,86.69,87.63,False,5,96,-91,0.614,91
BiGRU+BiGRU,SELU,SiLU,86.65,87.26,0.61,0.44,0.546,86.48,87.54,False,94,97,-3,0.61,3
BiGRU+BiGRU,Tanh,ELU,87.36,87.212,-0.148,0.276,0.342,86.83,87.47,True,53,98,-45,0.148,45
BiGRU+BiGRU,SELU,ELU,87.8,87.196,-0.604,0.46,0.571,86.47,87.69,False,11,99,-88,0.604,88
BiGRU+BiGRU,SELU,Tanh,87.48,87.142,-0.338,0.313,0.389,86.72,87.5,True,41,100,-59,0.338,59
BiGRU+GRU,ReLU,LeakyReLU,87.81,87.806,-0.004,0.167,0.207,87.52,87.93,True,19,1,18,0.004,18
BiGRU+GRU,PReLU,ReLU,87.73,87.712,-0.018,0.175,0.218,87.48,87.87,True,26,2,24,0.018,24
BiGRU+GRU,Tanh,GELU,87.98,87.712,-0.268,0.288,0.357,87.42,88.1,True,8,2,6,0.268,6
BiGRU+GRU,PReLU,GELU,87.33,87.682,0.352,0.277,0.344,87.21,87.89,False,66,4,62,0.352,62
BiGRU+GRU,SiLU,GELU,87.1,87.682,0.582,0.18,0.223,87.43,87.86,False,85,4,81,0.582,81
BiGRU+GRU,SELU,Tanh,87.29,87.672,0.382,0.305,0.378,87.47,88.21,False,70,6,64,0.382,64
BiGRU+GRU,ReLU,GELU,87.74,87.67,-0.07,0.195,0.242,87.48,87.94,True,25,7,18,0.07,18
BiGRU+GRU,PReLU,SiLU,87.87,87.65,-0.22,0.268,0.333,87.36,88.0,True,16,8,8,0.22,8
BiGRU+GRU,Tanh,LeakyReLU,87.24,87.63,0.39,0.305,0.379,87.13,87.87,False,76,9,67,0.39,67
BiGRU+GRU,Hardswish,GELU,87.08,87.626,0.546,0.297,0.369,87.24,87.87,False,86,10,76,0.546,76
BiGRU+GRU,SiLU,ELU,87.35,87.626,0.276,0.332,0.413,87.34,88.16,True,60,10,50,0.276,50
BiGRU+GRU,Hardswish,Mish,87.4,87.626,0.226,0.171,0.212,87.37,87.81,False,57,10,47,0.226,47
BiGRU+GRU,ELU,SiLU,87.32,87.626,0.306,0.27,0.335,87.38,88.07,True,68,10,58,0.306,58
BiGRU+GRU,Hardswish,ReLU,87.44,87.622,0.182,0.325,0.404,87.09,87.86,True,54,14,40,0.182,40
