act1,act2,experiment,seed,accuracy,precision,recall,f1,best_epoch,stop_epoch
ReLU,GELU,BiLSTM+LSTM,10,89.71,89.32,90.2,89.76,10,10
ReLU,ReLU,BiLSTM+LSTM,10,50.0,0.0,0.0,0.0,1,4
ReLU,Tanh,BiLSTM+LSTM,10,50.0,0.0,0.0,0.0,1,4
LeakyReLU,GELU,BiLSTM+LSTM,10,50.0,0.0,0.0,0.0,1,4
GELU,ELU,BiLSTM+LSTM,10,50.0,0.0,0.0,0.0,1,4
LeakyReLU,Mish,BiLSTM+LSTM,10,50.0,0.0,0.0,0.0,1,4
PReLU,ReLU,BiLSTM+LSTM,10,61.16,70.19,38.8,49.97,10,10
LeakyReLU,ReLU,BiLSTM+LSTM,10,50.0,0.0,0.0,0.0,1,4
PReLU,SiLU,BiLSTM+LSTM,10,50.0,0.0,0.0,0.0,1,4
ReLU,Hardswish,BiLSTM+LSTM,10,71.24,68.8,77.72,72.99,10,10
ReLU,GELU,BiGRU+GRU,10,50.05,58.62,0.34,0.68,10,10
ReLU,ReLU,BiGRU+GRU,10,50.06,50.03,99.86,66.66,4,7
ReLU,Tanh,BiGRU+GRU,10,89.47,88.16,91.18,89.65,10,10
LeakyReLU,GELU,BiGRU+GRU,10,50.02,50.01,99.88,66.65,1,4
GELU,ELU,BiGRU+GRU,10,50.01,50.01,99.8,66.63,1,4
LeakyReLU,Mish,BiGRU+GRU,10,90.02,90.99,88.84,89.9,7,10
PReLU,ReLU,BiGRU+GRU,10,88.52,86.15,91.8,88.88,10,10
LeakyReLU,ReLU,BiGRU+GRU,10,50.01,50.01,99.96,66.66,3,6
PReLU,SiLU,BiGRU+GRU,10,89.66,88.42,91.28,89.82,10,10
ReLU,Hardswish,BiGRU+GRU,10,50.0,50.0,99.82,66.63,1,4
ReLU,GELU,BiLSTM+BiLSTM,10,90.27,90.82,89.6,90.2,4,7
ReLU,ReLU,BiLSTM+BiLSTM,10,89.39,86.55,93.28,89.79,3,6
ReLU,Tanh,BiLSTM+BiLSTM,10,90.43,89.94,91.04,90.49,4,7
LeakyReLU,GELU,BiLSTM+BiLSTM,10,89.76,89.35,90.28,89.81,3,6
GELU,ELU,BiLSTM+BiLSTM,10,89.71,92.86,86.04,89.32,3,6
LeakyReLU,Mish,BiLSTM+BiLSTM,10,90.16,89.87,90.52,90.2,3,6
PReLU,ReLU,BiLSTM+BiLSTM,10,90.3,89.84,90.88,90.36,3,6
LeakyReLU,ReLU,BiLSTM+BiLSTM,10,90.49,91.12,89.72,90.42,3,6
PReLU,SiLU,BiLSTM+BiLSTM,10,89.7,92.09,86.86,89.4,3,6
ReLU,Hardswish,BiLSTM+BiLSTM,10,89.64,90.38,88.72,89.54,3,6
ReLU,GELU,BiGRU+BiGRU,10,90.52,90.31,90.78,90.54,3,6
ReLU,ReLU,BiGRU+BiGRU,10,91.17,91.73,90.5,91.11,3,6
ReLU,Tanh,BiGRU+BiGRU,10,90.64,89.77,91.74,90.74,3,6
LeakyReLU,GELU,BiGRU+BiGRU,10,90.41,89.18,91.98,90.56,3,6
GELU,ELU,BiGRU+BiGRU,10,90.53,90.18,90.96,90.57,3,6
LeakyReLU,Mish,BiGRU+BiGRU,10,90.42,89.23,91.94,90.56,3,6
PReLU,ReLU,BiGRU+BiGRU,10,90.06,88.5,92.08,90.26,2,5
LeakyReLU,ReLU,BiGRU+BiGRU,10,91.33,91.49,91.14,91.31,3,6
PReLU,SiLU,BiGRU+BiGRU,10,90.66,89.88,91.64,90.75,3,6
ReLU,Hardswish,BiGRU+BiGRU,10,90.43,90.07,90.88,90.47,3,6
