act1,act2,experiment,seed,accuracy,precision,recall,f1,best_epoch,stop_epoch
ReLU,GELU,BiLSTM+LSTM,40,50.0,0.0,0.0,0.0,1,4
ReLU,ReLU,BiLSTM+LSTM,40,50.0,0.0,0.0,0.0,1,4
ReLU,Tanh,BiLSTM+LSTM,40,55.94,62.56,29.58,40.17,10,10
LeakyReLU,GELU,BiLSTM+LSTM,40,50.0,0.0,0.0,0.0,1,4
GELU,ELU,BiLSTM+LSTM,40,50.0,0.0,0.0,0.0,4,7
LeakyReLU,Mish,BiLSTM+LSTM,40,50.0,0.0,0.0,0.0,1,4
PReLU,ReLU,BiLSTM+LSTM,40,50.0,0.0,0.0,0.0,1,4
LeakyReLU,ReLU,BiLSTM+LSTM,40,50.0,0.0,0.0,0.0,5,8
PReLU,SiLU,BiLSTM+LSTM,40,50.0,0.0,0.0,0.0,4,7
ReLU,Hardswish,BiLSTM+LSTM,40,84.93,86.06,83.36,84.69,10,10
ReLU,GELU,BiGRU+GRU,40,49.98,0.0,0.0,0.0,2,5
ReLU,ReLU,BiGRU+GRU,40,50.0,0.0,0.0,0.0,2,5
ReLU,Tanh,BiGRU+GRU,40,90.15,89.02,91.6,90.29,10,10
LeakyReLU,GELU,BiGRU+GRU,40,49.94,49.97,99.46,66.52,5,8
GELU,ELU,BiGRU+GRU,40,89.5,90.62,88.12,89.35,7,10
LeakyReLU,Mish,BiGRU+GRU,40,90.25,89.64,91.02,90.32,6,9
PReLU,ReLU,BiGRU+GRU,40,49.98,43.75,0.14,0.28,5,8
LeakyReLU,ReLU,BiGRU+GRU,40,50.0,50.0,0.18,0.36,8,10
PReLU,SiLU,BiGRU+GRU,40,49.99,0.0,0.0,0.0,2,5
ReLU,Hardswish,BiGRU+GRU,40,49.88,49.94,98.98,66.38,3,6
ReLU,GELU,BiLSTM+BiLSTM,40,90.02,93.41,86.12,89.61,3,6
ReLU,ReLU,BiLSTM+BiLSTM,40,90.28,93.22,86.88,89.94,4,7
ReLU,Tanh,BiLSTM+BiLSTM,40,89.94,92.26,87.2,89.66,3,6
LeakyReLU,GELU,BiLSTM+BiLSTM,40,90.32,90.48,90.12,90.3,5,8
GELU,ELU,BiLSTM+BiLSTM,40,90.28,92.19,88.02,90.06,3,6
LeakyReLU,Mish,BiLSTM+BiLSTM,40,90.55,91.78,89.08,90.41,3,6
PReLU,ReLU,BiLSTM+BiLSTM,40,90.1,90.1,90.1,90.1,3,6
LeakyReLU,ReLU,BiLSTM+BiLSTM,40,90.04,92.11,87.58,89.79,3,6
PReLU,SiLU,BiLSTM+BiLSTM,40,90.44,91.42,89.26,90.33,3,6
ReLU,Hardswish,BiLSTM+BiLSTM,40,90.28,90.57,89.92,90.24,3,6
ReLU,GELU,BiGRU+BiGRU,40,90.5,90.1,91.0,90.55,3,6
ReLU,ReLU,BiGRU+BiGRU,40,90.48,89.58,91.62,90.59,3,6
ReLU,Tanh,BiGRU+BiGRU,40,90.37,88.77,92.44,90.57,3,6
LeakyReLU,GELU,BiGRU+BiGRU,40,90.61,90.49,90.76,90.62,3,6
GELU,ELU,BiGRU+BiGRU,40,90.56,89.92,91.36,90.63,3,6
LeakyReLU,Mish,BiGRU+BiGRU,40,90.47,90.85,90.0,90.42,3,6
PReLU,ReLU,BiGRU+BiGRU,40,90.76,90.26,91.38,90.82,3,6
LeakyReLU,ReLU,BiGRU+BiGRU,40,90.68,90.66,90.7,90.68,3,6
PReLU,SiLU,BiGRU+BiGRU,40,90.62,90.75,90.46,90.6,3,6
ReLU,Hardswish,BiGRU+BiGRU,40,90.44,90.21,90.72,90.47,3,6
