act1,act2,experiment,seed,accuracy,precision,recall,f1,best_epoch,stop_epoch
ReLU,ReLU,BiLSTM+BiLSTM,10,87.41,86.47,88.7,87.57,5,8
ReLU,ELU,BiLSTM+BiLSTM,10,86.81,89.34,83.6,86.37,5,8
ReLU,LeakyReLU,BiLSTM+BiLSTM,10,86.68,87.6,85.46,86.52,5,8
ReLU,Tanh,BiLSTM+BiLSTM,10,87.82,86.48,89.66,88.04,6,9
ReLU,GELU,BiLSTM+BiLSTM,10,86.65,87.57,85.42,86.48,4,7
ReLU,SiLU,BiLSTM+BiLSTM,10,87.18,86.07,88.72,87.37,4,7
ReLU,Mish,BiLSTM+BiLSTM,10,87.15,85.96,88.8,87.36,4,7
ReLU,SELU,BiLSTM+BiLSTM,10,87.08,85.57,89.2,87.35,5,8
ReLU,PReLU,BiLSTM+BiLSTM,10,85.53,90.9,78.96,84.51,5,8
ReLU,Hardswish,BiLSTM+BiLSTM,10,87.2,88.38,85.66,87.0,6,9
ELU,ReLU,BiLSTM+BiLSTM,10,87.13,87.42,86.74,87.08,6,9
ELU,ELU,BiLSTM+BiLSTM,10,86.41,87.87,84.48,86.14,4,7
ELU,LeakyReLU,BiLSTM+BiLSTM,10,85.65,88.16,82.36,85.16,4,7
ELU,Tanh,BiLSTM+BiLSTM,10,86.53,88.79,83.62,86.13,5,8
ELU,GELU,BiLSTM+BiLSTM,10,85.75,86.38,84.88,85.62,3,6
ELU,SiLU,BiLSTM+BiLSTM,10,86.17,85.82,86.66,86.24,4,7
ELU,Mish,BiLSTM+BiLSTM,10,87.47,87.02,88.08,87.55,6,9
ELU,SELU,BiLSTM+BiLSTM,10,87.09,89.2,84.4,86.73,5,8
ELU,PReLU,BiLSTM+BiLSTM,10,86.37,87.09,85.4,86.24,4,7
ELU,Hardswish,BiLSTM+BiLSTM,10,87.11,87.36,86.78,87.07,6,9
LeakyReLU,ReLU,BiLSTM+BiLSTM,10,86.4,89.5,82.48,85.85,4,7
LeakyReLU,ELU,BiLSTM+BiLSTM,10,87.4,85.84,89.58,87.67,6,9
LeakyReLU,LeakyReLU,BiLSTM+BiLSTM,10,86.42,89.48,82.54,85.87,4,7
LeakyReLU,Tanh,BiLSTM+BiLSTM,10,86.66,83.67,91.1,87.23,5,8
LeakyReLU,GELU,BiLSTM+BiLSTM,10,87.05,88.76,84.84,86.76,4,7
LeakyReLU,SiLU,BiLSTM+BiLSTM,10,86.23,88.63,83.12,85.79,4,7
LeakyReLU,Mish,BiLSTM+BiLSTM,10,87.59,87.14,88.2,87.67,6,9
LeakyReLU,SELU,BiLSTM+BiLSTM,10,85.38,89.82,79.8,84.52,4,7
LeakyReLU,PReLU,BiLSTM+BiLSTM,10,86.29,89.11,82.68,85.78,4,7
LeakyReLU,Hardswish,BiLSTM+BiLSTM,10,87.26,88.27,85.94,87.09,5,8
Tanh,ReLU,BiLSTM+BiLSTM,10,86.16,84.14,89.12,86.56,4,7
Tanh,ELU,BiLSTM+BiLSTM,10,87.14,89.82,83.78,86.69,6,9
Tanh,LeakyReLU,BiLSTM+BiLSTM,10,86.02,87.21,84.42,85.79,4,7
Tanh,Tanh,BiLSTM+BiLSTM,10,85.79,90.62,79.84,84.89,6,9
Tanh,GELU,BiLSTM+BiLSTM,10,86.82,86.59,87.14,86.86,5,8
Tanh,SiLU,BiLSTM+BiLSTM,10,87.52,89.61,84.88,87.18,6,9
Tanh,Mish,BiLSTM+BiLSTM,10,86.86,89.18,83.9,86.46,5,8
Tanh,SELU,BiLSTM+BiLSTM,10,85.44,89.66,80.12,84.62,4,7
Tanh,PReLU,BiLSTM+BiLSTM,10,86.68,88.97,83.74,86.28,5,8
Tanh,Hardswish,BiLSTM+BiLSTM,10,87.5,88.56,86.12,87.33,6,9
GELU,ReLU,BiLSTM+BiLSTM,10,86.89,86.42,87.54,86.97,4,7
GELU,ELU,BiLSTM+BiLSTM,10,86.43,86.01,87.02,86.51,4,7
GELU,LeakyReLU,BiLSTM+BiLSTM,10,86.82,84.63,89.98,87.22,5,8
GELU,Tanh,BiLSTM+BiLSTM,10,87.27,87.44,87.04,87.24,5,8
GELU,GELU,BiLSTM+BiLSTM,10,86.98,90.07,83.12,86.46,5,8
GELU,SiLU,BiLSTM+BiLSTM,10,87.04,87.78,86.06,86.91,5,8
GELU,Mish,BiLSTM+BiLSTM,10,86.93,87.8,85.78,86.78,7,10
GELU,SELU,BiLSTM+BiLSTM,10,86.87,87.01,86.68,86.85,5,8
GELU,PReLU,BiLSTM+BiLSTM,10,87.31,86.22,88.82,87.5,5,8
GELU,Hardswish,BiLSTM+BiLSTM,10,85.98,87.34,84.16,85.72,5,8
SiLU,ReLU,BiLSTM+BiLSTM,10,87.16,85.0,90.24,87.54,5,8
SiLU,ELU,BiLSTM+BiLSTM,10,85.97,90.41,80.48,85.16,4,7
SiLU,LeakyReLU,BiLSTM+BiLSTM,10,87.26,86.52,88.28,87.39,5,8
SiLU,Tanh,BiLSTM+BiLSTM,10,87.34,88.43,85.92,87.16,6,9
SiLU,GELU,BiLSTM+BiLSTM,10,86.6,86.41,86.86,86.63,5,8
SiLU,SiLU,BiLSTM+BiLSTM,10,87.51,86.67,88.66,87.65,5,8
SiLU,Mish,BiLSTM+BiLSTM,10,86.91,84.14,90.96,87.42,8,10
SiLU,SELU,BiLSTM+BiLSTM,10,87.1,86.5,87.92,87.2,5,8
SiLU,PReLU,BiLSTM+BiLSTM,10,86.89,88.89,84.32,86.54,6,9
SiLU,Hardswish,BiLSTM+BiLSTM,10,87.06,86.99,87.16,87.07,4,7
Mish,ReLU,BiLSTM+BiLSTM,10,87.14,88.02,85.98,86.99,5,8
Mish,ELU,BiLSTM+BiLSTM,10,86.6,88.97,83.56,86.18,5,8
Mish,LeakyReLU,BiLSTM+BiLSTM,10,85.79,89.49,81.1,85.09,4,7
Mish,Tanh,BiLSTM+BiLSTM,10,87.55,87.13,88.12,87.62,6,9
Mish,GELU,BiLSTM+BiLSTM,10,85.66,88.66,81.78,85.08,4,7
Mish,SiLU,BiLSTM+BiLSTM,10,86.66,89.0,83.66,86.25,6,9
Mish,Mish,BiLSTM+BiLSTM,10,86.15,88.3,83.34,85.75,4,7
