Device : cuda
GPU    : NVIDIA GeForce RTX 5080
======================================================================
FULL 5-SEED SWEEP  --  BiLSTM+BiLSTM
  100 cells x 5 seeds [10, 20, 30, 40, 50] = 500 runs
  output: BiLSTM+BiLSTM_5_seed_variance_results/
======================================================================

[1/4] Preparing data cache ...
  cache hit: cache\sweep_data

[2/4] Preflight skipped (--preflight to enable)

[3/4] Launching 5 workers, one per seed ...

Device : cuda
[seed 10]  56/100       SiLU+SiLU      acc= 87.51  ETA  45.3m
[seed 30]  56/100       SiLU+SiLU      acc= 85.29  ETA  45.9m
[seed 20]  52/100       SiLU+ELU       acc= 87.48  ETA  54.0m
[seed 40]  55/100       SiLU+GELU      acc= 87.08  ETA  47.8m
[seed 50]  56/100       SiLU+SiLU      acc= 86.75  ETA  46.0m
[seed 10]  57/100       SiLU+Mish      acc= 86.91  ETA  44.5m
[seed 30]  57/100       SiLU+Mish      acc= 86.39  ETA  44.9m
[seed 40]  56/100       SiLU+SiLU      acc= 86.75  ETA  46.8m
[seed 50]  57/100       SiLU+Mish      acc= 86.75  ETA  45.0m
[seed 20]  53/100       SiLU+LeakyReLU acc= 87.13  ETA  53.0m
[seed 10]  58/100       SiLU+SELU      acc= 87.10  ETA  43.5m
[seed 40]  57/100       SiLU+Mish      acc= 86.16  ETA  45.7m
[seed 30]  58/100       SiLU+SELU      acc= 86.54  ETA  43.9m
[seed 50]  58/100       SiLU+SELU      acc= 87.23  ETA  44.0m
[seed 20]  54/100       SiLU+Tanh      acc= 87.29  ETA  51.9m
[seed 10]  59/100       SiLU+PReLU     acc= 86.89  ETA  42.5m
[seed 40]  58/100       SiLU+SELU      acc= 86.32  ETA  44.5m
[seed 30]  59/100       SiLU+PReLU     acc= 86.30  ETA  42.9m
[seed 50]  59/100       SiLU+PReLU     acc= 86.14  ETA  43.0m
[seed 20]  55/100       SiLU+GELU      acc= 85.86  ETA  50.7m
[seed 10]  60/100       SiLU+Hardswish acc= 87.06  ETA  41.4m
[seed 40]  59/100       SiLU+PReLU     acc= 85.37  ETA  43.4m
[seed 30]  60/100       SiLU+Hardswish acc= 86.21  ETA  41.8m
[seed 50]  60/100       SiLU+Hardswish acc= 86.69  ETA  42.0m
[seed 10]  61/100       Mish+ReLU      acc= 87.14  ETA  40.4m
[seed 20]  56/100       SiLU+SiLU      acc= 86.77  ETA  49.7m
[seed 40]  60/100       SiLU+Hardswish acc= 86.38  ETA  42.2m
[seed 30]  61/100       Mish+ReLU      acc= 87.16  ETA  40.8m
[seed 50]  61/100       Mish+ReLU      acc= 86.54  ETA  41.0m
[seed 40]  61/100       Mish+ReLU      acc= 86.89  ETA  41.1m
[seed 10]  62/100       Mish+ELU       acc= 86.60  ETA  39.4m
[seed 20]  57/100       SiLU+Mish      acc= 87.48  ETA  48.5m
[seed 30]  62/100       Mish+ELU       acc= 87.33  ETA  39.8m
[seed 50]  62/100       Mish+ELU       acc= 86.46  ETA  40.0m
[seed 10]  63/100       Mish+LeakyReLU acc= 85.79  ETA  38.3m
[seed 20]  58/100       SiLU+SELU      acc= 86.29  ETA  47.3m
[seed 40]  62/100       Mish+ELU       acc= 86.75  ETA  40.1m
[seed 30]  63/100       Mish+LeakyReLU acc= 86.82  ETA  38.7m
[seed 50]  63/100       Mish+LeakyReLU acc= 86.89  ETA  38.9m
[seed 10]  64/100       Mish+Tanh      acc= 87.55  ETA  37.4m
[seed 20]  59/100       SiLU+PReLU     acc= 87.28  ETA  46.3m
[seed 40]  63/100       Mish+LeakyReLU acc= 87.14  ETA  39.2m
[seed 30]  64/100       Mish+Tanh      acc= 86.75  ETA  37.7m
[seed 50]  64/100       Mish+Tanh      acc= 86.82  ETA  37.9m
[seed 10]  65/100       Mish+GELU      acc= 85.66  ETA  36.3m
[seed 40]  64/100       Mish+Tanh      acc= 85.64  ETA  38.0m
[seed 20]  60/100       SiLU+Hardswish acc= 87.21  ETA  45.2m
[seed 30]  65/100       Mish+GELU      acc= 87.05  ETA  36.6m
[seed 50]  65/100       Mish+GELU      acc= 87.29  ETA  36.9m
[seed 10]  66/100       Mish+SiLU      acc= 86.66  ETA  35.3m
[seed 40]  65/100       Mish+GELU      acc= 87.04  ETA  37.0m
[seed 30]  66/100       Mish+SiLU      acc= 86.91  ETA  35.6m
[seed 20]  61/100       Mish+ReLU      acc= 86.73  ETA  44.2m
[seed 10]  67/100       Mish+Mish      acc= 86.15  ETA  34.3m
[seed 50]  66/100       Mish+SiLU      acc= 86.73  ETA  35.9m
[seed 40]  66/100       Mish+SiLU      acc= 87.21  ETA  35.9m
[seed 30]  67/100       Mish+Mish      acc= 87.08  ETA  34.6m
[seed 20]  62/100       Mish+ELU       acc= 87.61  ETA  43.1m
[seed 40]  67/100       Mish+Mish      acc= 86.26  ETA  34.8m
[seed 50]  67/100       Mish+Mish      acc= 87.04  ETA  34.9m
[seed 10]  68/100       Mish+SELU      acc= 86.68  ETA  33.4m
[seed 30]  68/100       Mish+SELU      acc= 86.68  ETA  33.5m
