act1,act2,experiment,seed,accuracy,precision,recall,f1,best_epoch,stop_epoch
ReLU,ReLU,BiGRU+GRU,20,87.26,86.82,87.86,87.34,3,6
ReLU,ELU,BiGRU+GRU,20,86.79,86.49,87.2,86.84,3,6
ReLU,LeakyReLU,BiGRU+GRU,20,87.92,87.98,87.84,87.91,3,6
ReLU,Tanh,BiGRU+GRU,20,87.31,90.35,83.54,86.81,4,7
ReLU,GELU,BiGRU+GRU,20,87.61,87.19,88.18,87.68,3,6
ReLU,SiLU,BiGRU+GRU,20,87.61,86.95,88.5,87.72,3,6
ReLU,Mish,BiGRU+GRU,20,87.96,88.19,87.66,87.92,4,7
ReLU,SELU,BiGRU+GRU,20,87.47,86.32,89.06,87.67,3,6
ReLU,PReLU,BiGRU+GRU,20,87.23,89.65,84.18,86.83,4,7
ReLU,Hardswish,BiGRU+GRU,20,87.59,89.02,85.76,87.36,3,6
ELU,ReLU,BiGRU+GRU,20,87.59,86.17,89.56,87.83,3,6
ELU,ELU,BiGRU+GRU,20,87.59,87.78,87.34,87.56,3,6
ELU,LeakyReLU,BiGRU+GRU,20,87.38,86.45,88.66,87.54,3,6
ELU,Tanh,BiGRU+GRU,20,87.14,90.13,83.42,86.64,3,6
ELU,GELU,BiGRU+GRU,20,87.68,87.86,87.44,87.65,3,6
ELU,SiLU,BiGRU+GRU,20,87.65,88.5,86.54,87.51,3,6
ELU,Mish,BiGRU+GRU,20,87.77,87.64,87.94,87.79,3,6
ELU,SELU,BiGRU+GRU,20,87.07,89.61,83.86,86.64,3,6
ELU,PReLU,BiGRU+GRU,20,87.87,87.79,87.98,87.88,4,7
ELU,Hardswish,BiGRU+GRU,20,87.73,89.38,85.64,87.47,3,6
LeakyReLU,ReLU,BiGRU+GRU,20,87.69,87.34,88.16,87.75,3,6
LeakyReLU,ELU,BiGRU+GRU,20,86.92,88.7,84.62,86.61,3,6
LeakyReLU,LeakyReLU,BiGRU+GRU,20,87.4,88.49,85.98,87.22,4,7
LeakyReLU,Tanh,BiGRU+GRU,20,87.13,86.71,87.7,87.2,3,6
LeakyReLU,GELU,BiGRU+GRU,20,87.29,85.68,89.54,87.57,3,6
LeakyReLU,SiLU,BiGRU+GRU,20,87.34,87.3,87.4,87.35,3,6
LeakyReLU,Mish,BiGRU+GRU,20,87.55,88.67,86.1,87.37,3,6
LeakyReLU,SELU,BiGRU+GRU,20,87.18,85.56,89.46,87.47,3,6
LeakyReLU,PReLU,BiGRU+GRU,20,87.69,88.03,87.24,87.63,3,6
LeakyReLU,Hardswish,BiGRU+GRU,20,87.58,88.32,86.62,87.46,3,6
Tanh,ReLU,BiGRU+GRU,20,87.36,89.8,84.3,86.96,3,6
Tanh,ELU,BiGRU+GRU,20,87.35,87.0,87.82,87.41,3,6
Tanh,LeakyReLU,BiGRU+GRU,20,87.74,85.56,90.8,88.1,3,6
Tanh,Tanh,BiGRU+GRU,20,86.95,89.95,83.2,86.44,3,6
Tanh,GELU,BiGRU+GRU,20,87.67,88.32,86.82,87.56,3,6
Tanh,SiLU,BiGRU+GRU,20,87.37,86.12,89.1,87.58,3,6
Tanh,Mish,BiGRU+GRU,20,87.44,88.92,85.54,87.2,3,6
Tanh,SELU,BiGRU+GRU,20,87.49,88.15,86.62,87.38,3,6
Tanh,PReLU,BiGRU+GRU,20,87.12,87.13,87.1,87.12,3,6
Tanh,Hardswish,BiGRU+GRU,20,87.7,87.65,87.76,87.71,3,6
GELU,ReLU,BiGRU+GRU,20,87.44,88.2,86.44,87.31,3,6
GELU,ELU,BiGRU+GRU,20,87.46,88.73,85.82,87.25,3,6
GELU,LeakyReLU,BiGRU+GRU,20,87.12,87.34,86.82,87.08,3,6
GELU,Tanh,BiGRU+GRU,20,87.26,89.89,83.96,86.83,3,6
GELU,GELU,BiGRU+GRU,20,87.76,87.33,88.34,87.83,3,6
GELU,SiLU,BiGRU+GRU,20,87.6,88.34,86.64,87.48,3,6
GELU,Mish,BiGRU+GRU,20,87.26,86.15,88.8,87.45,3,6
GELU,SELU,BiGRU+GRU,20,87.09,89.4,84.16,86.7,3,6
GELU,PReLU,BiGRU+GRU,20,87.63,90.79,83.76,87.13,3,6
GELU,Hardswish,BiGRU+GRU,20,87.61,87.59,87.64,87.61,3,6
SiLU,ReLU,BiGRU+GRU,20,86.76,86.97,86.48,86.72,3,6
SiLU,ELU,BiGRU+GRU,20,87.48,89.35,85.1,87.17,3,6
SiLU,LeakyReLU,BiGRU+GRU,20,87.72,86.21,89.8,87.97,3,6
SiLU,Tanh,BiGRU+GRU,20,87.71,89.49,85.46,87.43,3,6
SiLU,GELU,BiGRU+GRU,20,87.56,87.85,87.18,87.51,3,6
SiLU,SiLU,BiGRU+GRU,20,87.5,89.44,85.04,87.18,3,6
SiLU,Mish,BiGRU+GRU,20,87.41,86.27,88.98,87.6,3,6
SiLU,SELU,BiGRU+GRU,20,87.8,89.23,85.98,87.57,3,6
SiLU,PReLU,BiGRU+GRU,20,88.04,87.71,88.48,88.09,3,6
SiLU,Hardswish,BiGRU+GRU,20,87.9,87.54,88.38,87.96,3,6
Mish,ReLU,BiGRU+GRU,20,87.51,85.96,89.66,87.77,3,6
Mish,ELU,BiGRU+GRU,20,87.05,87.25,86.78,87.01,3,6
Mish,LeakyReLU,BiGRU+GRU,20,87.6,87.48,87.76,87.62,3,6
Mish,Tanh,BiGRU+GRU,20,87.36,89.11,85.12,87.07,3,6
Mish,GELU,BiGRU+GRU,20,87.25,89.17,84.8,86.93,3,6
Mish,SiLU,BiGRU+GRU,20,87.27,88.61,85.54,87.05,3,6
Mish,Mish,BiGRU+GRU,20,87.83,87.55,88.2,87.87,3,6
Mish,SELU,BiGRU+GRU,20,87.08,89.23,84.34,86.72,3,6
Mish,PReLU,BiGRU+GRU,20,87.41,90.08,84.08,86.98,3,6
Mish,Hardswish,BiGRU+GRU,20,87.0,89.73,83.56,86.54,3,6
SELU,ReLU,BiGRU+GRU,20,87.34,88.23,86.18,87.19,3,6
SELU,ELU,BiGRU+GRU,20,87.63,88.74,86.2,87.45,3,6
SELU,LeakyReLU,BiGRU+GRU,20,86.73,86.63,86.86,86.75,3,6
SELU,Tanh,BiGRU+GRU,20,87.56,86.21,89.42,87.79,3,6
SELU,GELU,BiGRU+GRU,20,87.17,87.16,87.18,87.17,3,6
SELU,SiLU,BiGRU+GRU,20,87.69,87.74,87.62,87.68,3,6
SELU,Mish,BiGRU+GRU,20,87.27,86.76,87.96,87.36,3,6
SELU,SELU,BiGRU+GRU,20,87.51,86.94,88.28,87.61,3,6
SELU,PReLU,BiGRU+GRU,20,87.42,90.45,83.68,86.93,3,6
SELU,Hardswish,BiGRU+GRU,20,87.58,88.13,86.86,87.49,3,6
PReLU,ReLU,BiGRU+GRU,20,87.48,86.93,88.22,87.57,3,6
PReLU,ELU,BiGRU+GRU,20,87.25,89.37,84.56,86.9,4,7
PReLU,LeakyReLU,BiGRU+GRU,20,87.68,88.56,86.54,87.54,3,6
