act1,act2,experiment,n_seeds,acc_mean,acc_std,acc_ci95,acc_min,acc_max,f1_mean,f1_std,prec_mean,rec_mean,single,delta,cell
SELU,SiLU,BiGRU+GRU,5,87.53,0.316,0.392,86.97,87.71,87.546,0.714,87.436,87.808,87.24,0.29000000000000625,SELU+SiLU
Hardswish,Hardswish,BiGRU+GRU,5,87.528,0.327,0.406,86.99,87.86,87.368,0.659,88.51,86.352,87.53,-0.001999999999995339,Hardswish+Hardswish
GELU,Mish,BiGRU+GRU,5,87.524,0.27,0.335,87.26,87.89,87.46,0.463,87.938,87.072,87.59,-0.0660000000000025,GELU+Mish
SiLU,LeakyReLU,BiGRU+GRU,5,87.52,0.175,0.217,87.24,87.72,87.558,0.483,87.326,87.912,87.49,0.030000000000001137,SiLU+LeakyReLU
Mish,SiLU,BiGRU+GRU,5,87.52,0.286,0.355,87.27,87.92,87.442,0.554,88.0,86.956,87.62,-0.10000000000000853,Mish+SiLU
ELU,GELU,BiGRU+GRU,5,87.518,0.492,0.611,86.64,87.76,87.43,0.849,88.012,86.964,88.01,-0.49200000000000443,ELU+GELU
Mish,ReLU,BiGRU+GRU,5,87.514,0.387,0.48,86.86,87.86,87.38,0.666,88.312,86.568,87.56,-0.04600000000000648,Mish+ReLU
ELU,Hardswish,BiGRU+GRU,5,87.51,0.499,0.62,86.75,88.0,87.626,0.421,86.87,88.444,87.71,-0.19999999999998863,ELU+Hardswish
LeakyReLU,Hardswish,BiGRU+GRU,5,87.506,0.126,0.157,87.31,87.64,87.448,0.241,87.872,87.064,87.88,-0.3739999999999952,LeakyReLU+Hardswish
SiLU,Tanh,BiGRU+GRU,5,87.506,0.433,0.538,86.76,87.86,87.258,0.705,89.046,85.644,87.76,-0.2540000000000049,SiLU+Tanh
Tanh,Hardswish,BiGRU+GRU,5,87.502,0.313,0.388,87.02,87.84,87.448,0.642,87.834,87.172,87.11,0.3919999999999959,Tanh+Hardswish
GELU,ELU,BiGRU+GRU,5,87.5,0.353,0.438,87.15,88.09,87.46,0.446,87.802,87.224,87.19,0.3100000000000023,GELU+ELU
SELU,GELU,BiGRU+GRU,5,87.492,0.343,0.426,87.17,87.88,87.622,0.449,86.76,88.568,87.73,-0.23799999999999955,SELU+GELU
ReLU,ReLU,BiGRU+GRU,5,87.488,0.31,0.385,87.09,87.86,87.384,0.575,88.124,86.748,87.34,0.14799999999999613,ReLU+ReLU
PReLU,SELU,BiGRU+GRU,5,87.482,0.425,0.528,86.83,88.01,87.41,0.731,87.89,87.016,87.25,0.23199999999999932,PReLU+SELU
ReLU,Hardswish,BiGRU+GRU,5,87.478,0.403,0.5,86.81,87.9,87.352,0.718,88.242,86.604,87.39,0.08799999999999386,ReLU+Hardswish
SELU,SELU,BiGRU+GRU,5,87.478,0.58,0.72,86.62,88.12,87.39,0.901,87.984,86.904,87.5,-0.02200000000000557,SELU+SELU
LeakyReLU,Mish,BiGRU+GRU,5,87.474,0.192,0.238,87.14,87.62,87.484,0.424,87.442,87.604,87.35,0.12400000000000944,LeakyReLU+Mish
Mish,Hardswish,BiGRU+GRU,5,87.472,0.419,0.521,87.0,87.95,87.572,0.663,86.876,88.372,86.53,0.9419999999999931,Mish+Hardswish
LeakyReLU,ELU,BiGRU+GRU,5,87.47,0.421,0.523,86.92,87.98,87.5,0.548,87.286,87.752,87.73,-0.2600000000000051,LeakyReLU+ELU
SELU,Mish,BiGRU+GRU,5,87.462,0.309,0.384,87.08,87.89,87.528,0.583,87.06,88.088,87.19,0.27200000000000557,SELU+Mish
PReLU,Mish,BiGRU+GRU,5,87.462,0.114,0.142,87.29,87.56,87.364,0.247,88.082,86.708,86.99,0.4720000000000084,PReLU+Mish
ELU,ELU,BiGRU+GRU,5,87.46,0.474,0.589,86.66,87.93,87.34,0.712,88.152,86.6,87.35,0.10999999999999943,ELU+ELU
LeakyReLU,PReLU,BiGRU+GRU,5,87.458,0.348,0.432,86.88,87.76,87.364,0.618,88.016,86.792,87.52,-0.06199999999999761,LeakyReLU+PReLU
GELU,SELU,BiGRU+GRU,5,87.452,0.417,0.517,86.99,87.88,87.216,0.607,88.868,85.668,87.76,-0.30800000000000693,GELU+SELU
Tanh,Mish,BiGRU+GRU,5,87.452,0.342,0.425,86.89,87.81,87.276,0.648,88.524,86.136,87.69,-0.23799999999999955,Tanh+Mish
PReLU,Tanh,BiGRU+GRU,5,87.448,0.527,0.654,86.89,88.07,87.338,0.729,88.104,86.684,86.52,0.9279999999999973,PReLU+Tanh
Mish,SELU,BiGRU+GRU,5,87.432,0.508,0.63,86.87,88.18,87.32,0.857,88.09,86.684,87.9,-0.4680000000000035,Mish+SELU
GELU,SiLU,BiGRU+GRU,5,87.432,0.154,0.191,87.25,87.6,87.524,0.204,86.944,88.188,88.03,-0.597999999999999,GELU+SiLU
ELU,Tanh,BiGRU+GRU,5,87.428,0.245,0.305,87.14,87.73,87.156,0.473,89.08,85.356,87.28,0.14799999999999613,ELU+Tanh
Hardswish,PReLU,BiGRU+GRU,5,87.424,0.183,0.227,87.22,87.64,87.46,0.452,87.224,87.76,87.62,-0.19599999999999795,Hardswish+PReLU
Hardswish,SiLU,BiGRU+GRU,5,87.422,0.46,0.571,86.82,87.9,87.166,0.784,88.942,85.548,87.54,-0.11800000000000921,Hardswish+SiLU
Mish,ELU,BiGRU+GRU,5,87.418,0.269,0.334,87.05,87.67,87.486,0.462,87.004,88.016,87.54,-0.12199999999999989,Mish+ELU
Hardswish,SELU,BiGRU+GRU,5,87.416,0.377,0.468,86.76,87.72,87.278,0.753,88.242,86.472,87.68,-0.26400000000001,Hardswish+SELU
PReLU,LeakyReLU,BiGRU+GRU,5,87.408,0.437,0.542,86.66,87.69,87.164,0.65,88.88,85.56,87.0,0.40800000000000125,PReLU+LeakyReLU
LeakyReLU,LeakyReLU,BiGRU+GRU,5,87.404,0.708,0.88,86.18,87.88,87.172,1.038,88.752,85.76,87.46,-0.055999999999997385,LeakyReLU+LeakyReLU
SELU,ReLU,BiGRU+GRU,5,87.402,0.318,0.394,86.95,87.84,87.388,0.414,87.502,87.308,87.38,0.02200000000000557,SELU+ReLU
GELU,LeakyReLU,BiGRU+GRU,5,87.398,0.549,0.681,86.57,87.91,87.274,0.8,88.122,86.504,86.95,0.4479999999999933,GELU+LeakyReLU
LeakyReLU,Tanh,BiGRU+GRU,5,87.388,0.55,0.682,86.7,88.2,87.38,0.803,87.45,87.444,88.05,-0.6619999999999919,LeakyReLU+Tanh
ReLU,Mish,BiGRU+GRU,5,87.388,0.699,0.868,86.17,87.96,87.264,1.031,88.076,86.584,87.94,-0.5519999999999925,ReLU+Mish
GELU,ReLU,BiGRU+GRU,5,87.382,0.187,0.232,87.06,87.55,87.302,0.4,87.876,86.78,87.25,0.132000000000005,GELU+ReLU
Tanh,ELU,BiGRU+GRU,5,87.354,0.144,0.179,87.16,87.53,87.374,0.214,87.25,87.524,87.42,-0.0660000000000025,Tanh+ELU
SiLU,Mish,BiGRU+GRU,5,87.346,0.381,0.473,86.73,87.72,87.616,0.286,85.82,89.552,87.85,-0.5039999999999907,SiLU+Mish
Mish,Tanh,BiGRU+GRU,5,87.342,0.325,0.404,86.82,87.62,87.398,0.434,87.1,87.844,87.32,0.02200000000000557,Mish+Tanh
Tanh,SiLU,BiGRU+GRU,5,87.332,0.446,0.553,86.64,87.78,87.134,0.84,88.506,85.96,87.55,-0.21800000000000352,Tanh+SiLU
Tanh,PReLU,BiGRU+GRU,5,87.326,0.222,0.276,87.06,87.56,87.172,0.353,88.252,86.172,87.56,-0.23400000000000887,Tanh+PReLU
ReLU,ELU,BiGRU+GRU,5,87.322,0.668,0.83,86.45,87.92,87.186,1.043,88.086,86.456,87.45,-0.1280000000000001,ReLU+ELU
ReLU,PReLU,BiGRU+GRU,5,87.31,0.207,0.257,87.13,87.57,87.164,0.547,88.196,86.284,87.35,-0.03999999999999204,ReLU+PReLU
