act1,act2,experiment,seed,accuracy,precision,recall,f1,best_epoch,stop_epoch
SELU,SiLU,BiGRU+GRU,10,87.6,85.15,91.08,88.02,4,7
SELU,Mish,BiGRU+GRU,10,87.89,86.52,89.76,88.11,4,7
SELU,SELU,BiGRU+GRU,10,87.87,87.47,88.4,87.93,4,7
SELU,PReLU,BiGRU+GRU,10,86.89,90.74,82.16,86.24,3,6
SELU,Hardswish,BiGRU+GRU,10,87.97,86.93,89.38,88.14,4,7
PReLU,ReLU,BiGRU+GRU,10,87.84,88.04,87.58,87.81,4,7
PReLU,ELU,BiGRU+GRU,10,87.75,88.26,87.08,87.67,4,7
PReLU,LeakyReLU,BiGRU+GRU,10,86.66,90.39,82.04,86.01,3,6
PReLU,Tanh,BiGRU+GRU,10,87.85,85.65,90.94,88.21,4,7
PReLU,GELU,BiGRU+GRU,10,87.87,86.13,90.28,88.16,4,7
PReLU,SiLU,BiGRU+GRU,10,88.0,87.79,88.28,88.03,4,7
PReLU,Mish,BiGRU+GRU,10,87.53,86.18,89.4,87.76,4,7
PReLU,SELU,BiGRU+GRU,10,88.01,86.33,90.32,88.28,4,7
PReLU,PReLU,BiGRU+GRU,10,87.6,86.56,89.02,87.77,4,7
PReLU,Hardswish,BiGRU+GRU,10,87.95,87.33,88.78,88.05,4,7
Hardswish,ReLU,BiGRU+GRU,10,87.53,86.44,89.02,87.71,4,7
Hardswish,ELU,BiGRU+GRU,10,86.63,90.67,81.66,85.93,3,6
Hardswish,LeakyReLU,BiGRU+GRU,10,87.3,86.65,88.18,87.41,4,7
Hardswish,Tanh,BiGRU+GRU,10,87.74,89.39,85.64,87.48,3,6
Hardswish,GELU,BiGRU+GRU,10,87.87,86.83,89.28,88.04,4,7
Hardswish,SiLU,BiGRU+GRU,10,86.82,90.62,82.14,86.17,3,6
Hardswish,Mish,BiGRU+GRU,10,87.61,86.51,89.12,87.79,4,7
Hardswish,SELU,BiGRU+GRU,10,87.56,89.54,85.06,87.24,3,6
Hardswish,PReLU,BiGRU+GRU,10,87.64,85.92,90.04,87.93,4,7
Hardswish,Hardswish,BiGRU+GRU,10,87.52,89.9,84.54,87.14,3,6
