act1,act2,experiment,seed,accuracy,precision,recall,f1,best_epoch,stop_epoch
ReLU,ReLU,BiGRU+GRU,30,87.57,89.06,85.66,87.33,4,7
ReLU,ELU,BiGRU+GRU,30,87.92,87.72,88.18,87.95,4,7
ReLU,LeakyReLU,BiGRU+GRU,30,87.84,89.5,85.74,87.58,4,7
ReLU,Tanh,BiGRU+GRU,30,87.88,88.02,87.7,87.86,3,6
ReLU,GELU,BiGRU+GRU,30,87.94,88.43,87.3,87.86,3,6
ReLU,SiLU,BiGRU+GRU,30,87.61,88.17,86.88,87.52,3,6
ReLU,Mish,BiGRU+GRU,30,87.67,88.96,86.02,87.46,3,6
ReLU,SELU,BiGRU+GRU,30,85.82,91.32,79.16,84.81,3,6
ReLU,PReLU,BiGRU+GRU,30,87.13,90.67,82.78,86.54,3,6
ReLU,Hardswish,BiGRU+GRU,30,87.9,89.02,86.46,87.72,3,6
ELU,ReLU,BiGRU+GRU,30,86.84,89.84,83.08,86.33,4,7
ELU,ELU,BiGRU+GRU,30,87.54,89.3,85.3,87.25,4,7
ELU,LeakyReLU,BiGRU+GRU,30,86.81,90.26,82.52,86.22,3,6
ELU,Tanh,BiGRU+GRU,30,87.26,90.0,83.84,86.81,3,6
ELU,GELU,BiGRU+GRU,30,86.64,90.77,81.58,85.93,3,6
ELU,SiLU,BiGRU+GRU,30,87.45,89.55,84.8,87.11,3,6
ELU,Mish,BiGRU+GRU,30,87.5,88.61,86.06,87.32,4,7
ELU,SELU,BiGRU+GRU,30,86.7,90.62,81.88,86.03,3,6
ELU,PReLU,BiGRU+GRU,30,86.96,85.69,88.74,87.19,2,5
ELU,Hardswish,BiGRU+GRU,30,86.75,84.73,89.66,87.12,2,5
LeakyReLU,ReLU,BiGRU+GRU,30,87.89,89.33,86.06,87.66,4,7
LeakyReLU,ELU,BiGRU+GRU,30,87.74,86.9,88.88,87.88,4,7
LeakyReLU,LeakyReLU,BiGRU+GRU,30,87.88,88.96,86.5,87.71,4,7
LeakyReLU,Tanh,BiGRU+GRU,30,88.2,89.04,87.12,88.07,4,7
LeakyReLU,GELU,BiGRU+GRU,30,88.03,89.18,86.56,87.85,3,6
LeakyReLU,SiLU,BiGRU+GRU,30,87.72,88.74,86.4,87.56,4,7
LeakyReLU,Mish,BiGRU+GRU,30,87.14,89.0,84.76,86.83,3,6
LeakyReLU,SELU,BiGRU+GRU,30,87.09,88.45,85.32,86.86,3,6
LeakyReLU,PReLU,BiGRU+GRU,30,86.88,90.47,82.44,86.27,4,7
LeakyReLU,Hardswish,BiGRU+GRU,30,87.47,89.84,84.5,87.09,4,7
Tanh,ReLU,BiGRU+GRU,30,86.25,90.58,80.92,85.48,3,6
Tanh,ELU,BiGRU+GRU,30,87.28,88.8,85.32,87.03,4,7
Tanh,LeakyReLU,BiGRU+GRU,30,87.85,89.73,85.48,87.56,4,7
Tanh,Tanh,BiGRU+GRU,30,86.91,89.54,83.58,86.46,3,6
Tanh,GELU,BiGRU+GRU,30,88.1,89.25,86.64,87.92,4,7
Tanh,SiLU,BiGRU+GRU,30,87.22,90.62,83.04,86.66,3,6
Tanh,Mish,BiGRU+GRU,30,86.89,91.02,81.86,86.2,3,6
Tanh,SELU,BiGRU+GRU,30,87.17,90.11,83.5,86.68,4,7
Tanh,PReLU,BiGRU+GRU,30,87.06,89.09,84.46,86.71,4,7
Tanh,Hardswish,BiGRU+GRU,30,87.02,90.45,82.78,86.45,3,6
GELU,ReLU,BiGRU+GRU,30,87.06,89.7,83.74,86.62,3,6
GELU,ELU,BiGRU+GRU,30,87.35,90.4,83.58,86.85,3,6
GELU,LeakyReLU,BiGRU+GRU,30,87.91,88.69,86.9,87.79,4,7
GELU,Tanh,BiGRU+GRU,30,88.01,88.37,87.54,87.95,4,7
GELU,GELU,BiGRU+GRU,30,87.38,89.66,84.5,87.01,4,7
GELU,SiLU,BiGRU+GRU,30,87.4,88.4,86.1,87.23,4,7
GELU,Mish,BiGRU+GRU,30,87.48,90.35,83.92,87.02,3,6
GELU,SELU,BiGRU+GRU,30,87.86,89.67,85.58,87.58,4,7
GELU,PReLU,BiGRU+GRU,30,87.94,88.39,87.36,87.87,4,7
GELU,Hardswish,BiGRU+GRU,30,87.43,90.24,83.94,86.98,3,6
SiLU,ReLU,BiGRU+GRU,30,86.79,90.78,81.9,86.11,3,6
SiLU,ELU,BiGRU+GRU,30,87.73,87.29,88.32,87.8,4,7
SiLU,LeakyReLU,BiGRU+GRU,30,87.52,90.33,84.04,87.07,4,7
SiLU,Tanh,BiGRU+GRU,30,87.86,90.14,85.02,87.51,4,7
SiLU,GELU,BiGRU+GRU,30,87.43,90.33,83.84,86.96,4,7
SiLU,SiLU,BiGRU+GRU,30,87.43,89.57,84.72,87.08,3,6
SiLU,Mish,BiGRU+GRU,30,86.73,84.48,90.0,87.15,2,5
SiLU,SELU,BiGRU+GRU,30,87.66,89.46,85.38,87.37,4,7
SiLU,PReLU,BiGRU+GRU,30,87.03,89.67,83.7,86.58,3,6
SiLU,Hardswish,BiGRU+GRU,30,87.35,90.01,84.02,86.91,4,7
Mish,ReLU,BiGRU+GRU,30,86.86,90.45,82.42,86.25,4,7
Mish,ELU,BiGRU+GRU,30,87.22,88.47,85.6,87.01,4,7
Mish,LeakyReLU,BiGRU+GRU,30,86.4,90.09,81.8,85.74,3,6
Mish,Tanh,BiGRU+GRU,30,87.3,89.73,84.24,86.9,3,6
Mish,GELU,BiGRU+GRU,30,87.76,89.3,85.8,87.52,4,7
Mish,SiLU,BiGRU+GRU,30,87.28,90.03,83.84,86.83,3,6
Mish,Mish,BiGRU+GRU,30,87.24,89.25,84.68,86.9,4,7
Mish,SELU,BiGRU+GRU,30,86.87,90.92,81.92,86.19,4,7
Mish,PReLU,BiGRU+GRU,30,87.71,89.03,86.02,87.5,4,7
Mish,Hardswish,BiGRU+GRU,30,87.06,85.53,89.22,87.33,2,5
SELU,ReLU,BiGRU+GRU,30,87.42,89.21,85.14,87.13,4,7
SELU,ELU,BiGRU+GRU,30,87.44,89.61,84.7,87.09,4,7
SELU,LeakyReLU,BiGRU+GRU,30,87.5,89.91,84.48,87.11,3,6
SELU,Tanh,BiGRU+GRU,30,87.52,90.05,84.36,87.11,4,7
SELU,GELU,BiGRU+GRU,30,87.42,89.01,85.38,87.16,4,7
SELU,SiLU,BiGRU+GRU,30,86.97,91.03,82.02,86.29,3,6
SELU,Mish,BiGRU+GRU,30,87.08,89.92,83.52,86.6,4,7
SELU,SELU,BiGRU+GRU,30,86.62,90.93,81.36,85.88,3,6
SELU,PReLU,BiGRU+GRU,30,86.94,89.57,83.62,86.49,4,7
SELU,Hardswish,BiGRU+GRU,30,86.88,91.03,81.82,86.18,3,6
PReLU,ReLU,BiGRU+GRU,30,87.87,90.04,85.16,87.53,4,7
PReLU,ELU,BiGRU+GRU,30,87.64,88.57,86.44,87.49,4,7
PReLU,LeakyReLU,BiGRU+GRU,30,87.69,89.78,85.06,87.36,4,7
PReLU,Tanh,BiGRU+GRU,30,86.95,90.05,83.08,86.42,3,6
PReLU,GELU,BiGRU+GRU,30,87.21,90.02,83.7,86.74,3,6
PReLU,SiLU,BiGRU+GRU,30,87.36,90.02,84.04,86.93,3,6
PReLU,Mish,BiGRU+GRU,30,87.53,90.26,84.14,87.09,3,6
PReLU,SELU,BiGRU+GRU,30,86.83,90.22,82.62,86.25,3,6
PReLU,PReLU,BiGRU+GRU,30,87.09,89.62,83.9,86.66,3,6
PReLU,Hardswish,BiGRU+GRU,30,87.8,88.94,86.34,87.62,3,6
Hardswish,ReLU,BiGRU+GRU,30,87.09,90.86,82.48,86.47,4,7
Hardswish,ELU,BiGRU+GRU,30,87.54,89.45,85.12,87.23,4,7
Hardswish,LeakyReLU,BiGRU+GRU,30,87.66,88.76,86.24,87.48,4,7
Hardswish,Tanh,BiGRU+GRU,30,87.06,90.62,82.68,86.47,3,6
Hardswish,GELU,BiGRU+GRU,30,87.81,89.13,86.12,87.6,4,7
Hardswish,SiLU,BiGRU+GRU,30,87.14,90.65,82.82,86.56,3,6
Hardswish,Mish,BiGRU+GRU,30,87.37,88.77,85.56,87.14,4,7
Hardswish,SELU,BiGRU+GRU,30,86.76,90.97,81.62,86.04,4,7
Hardswish,PReLU,BiGRU+GRU,30,87.22,89.46,84.38,86.85,4,7
Hardswish,Hardswish,BiGRU+GRU,30,86.99,91.02,82.08,86.32,3,6
