act1,act2,experiment,seed,accuracy,precision,recall,f1,best_epoch,stop_epoch
ReLU,ReLU,BiGRU+GRU,40,87.86,85.78,90.76,88.2,3,6
ReLU,ELU,BiGRU+GRU,40,87.9,86.32,90.08,88.16,3,6
ReLU,LeakyReLU,BiGRU+GRU,40,87.82,86.62,89.46,88.02,3,6
ReLU,Tanh,BiGRU+GRU,40,87.44,86.65,88.52,87.57,3,6
ReLU,GELU,BiGRU+GRU,40,87.8,87.44,88.28,87.86,3,6
ReLU,SiLU,BiGRU+GRU,40,87.53,87.2,87.98,87.59,4,7
ReLU,Mish,BiGRU+GRU,40,87.56,87.65,87.44,87.55,4,7
ReLU,SELU,BiGRU+GRU,40,87.65,87.81,87.44,87.62,4,7
ReLU,PReLU,BiGRU+GRU,40,87.57,87.8,87.26,87.53,4,7
ReLU,Hardswish,BiGRU+GRU,40,87.59,86.04,89.74,87.85,3,6
ELU,ReLU,BiGRU+GRU,40,87.98,87.43,88.72,88.07,4,7
ELU,ELU,BiGRU+GRU,40,87.93,86.68,89.64,88.13,3,6
ELU,LeakyReLU,BiGRU+GRU,40,87.75,87.82,87.66,87.74,4,7
ELU,Tanh,BiGRU+GRU,40,87.73,87.93,87.46,87.7,3,6
ELU,GELU,BiGRU+GRU,40,87.76,86.17,89.96,88.02,3,6
ELU,SiLU,BiGRU+GRU,40,88.07,87.66,88.62,88.14,3,6
ELU,Mish,BiGRU+GRU,40,87.69,87.85,87.48,87.66,3,6
ELU,SELU,BiGRU+GRU,40,87.38,86.5,88.58,87.53,3,6
ELU,PReLU,BiGRU+GRU,40,87.68,86.12,89.84,87.94,3,6
ELU,Hardswish,BiGRU+GRU,40,88.0,86.75,89.7,88.2,3,6
LeakyReLU,ReLU,BiGRU+GRU,40,87.31,89.08,85.04,87.02,4,7
LeakyReLU,ELU,BiGRU+GRU,40,87.98,88.21,87.68,87.94,4,7
LeakyReLU,LeakyReLU,BiGRU+GRU,40,87.79,89.8,85.26,87.47,3,6
LeakyReLU,Tanh,BiGRU+GRU,40,87.46,85.7,89.92,87.76,3,6
LeakyReLU,GELU,BiGRU+GRU,40,87.4,84.88,91.02,87.84,3,6
LeakyReLU,SiLU,BiGRU+GRU,40,88.11,87.95,88.32,88.13,4,7
LeakyReLU,Mish,BiGRU+GRU,40,87.5,85.2,90.76,87.89,3,6
LeakyReLU,SELU,BiGRU+GRU,40,88.08,88.9,87.02,87.95,4,7
LeakyReLU,PReLU,BiGRU+GRU,40,87.76,87.91,87.56,87.74,3,6
