act1,act2,experiment,seed,accuracy,precision,recall,f1,best_epoch,stop_epoch
ReLU,ReLU,BiGRU+GRU,50,87.66,88.81,86.18,87.47,3,6
ReLU,ELU,BiGRU+GRU,50,87.55,88.32,86.54,87.42,3,6
ReLU,LeakyReLU,BiGRU+GRU,50,87.52,87.69,87.3,87.49,3,6
ReLU,Tanh,BiGRU+GRU,50,87.59,86.87,88.56,87.71,3,6
ReLU,GELU,BiGRU+GRU,50,87.48,86.59,88.7,87.63,3,6
ReLU,SiLU,BiGRU+GRU,50,87.44,86.38,88.9,87.62,3,6
ReLU,Mish,BiGRU+GRU,50,87.58,85.51,90.5,87.93,3,6
ReLU,SELU,BiGRU+GRU,50,87.32,87.88,86.58,87.23,4,7
ReLU,PReLU,BiGRU+GRU,50,87.13,87.76,86.3,87.02,3,6
ReLU,Hardswish,BiGRU+GRU,50,87.5,86.22,89.26,87.72,3,6
ELU,ReLU,BiGRU+GRU,50,87.36,85.91,89.38,87.61,3,6
ELU,ELU,BiGRU+GRU,50,87.58,87.72,87.4,87.56,3,6
ELU,LeakyReLU,BiGRU+GRU,50,87.56,87.2,88.04,87.62,3,6
ELU,Tanh,BiGRU+GRU,50,87.62,87.74,87.46,87.6,3,6
ELU,GELU,BiGRU+GRU,50,87.75,87.71,87.8,87.76,3,6
ELU,SiLU,BiGRU+GRU,50,87.58,87.34,87.9,87.62,3,6
ELU,Mish,BiGRU+GRU,50,87.37,87.45,87.26,87.36,3,6
ELU,SELU,BiGRU+GRU,50,87.25,88.43,85.72,87.05,5,8
ELU,PReLU,BiGRU+GRU,50,87.5,87.47,87.54,87.5,3,6
ELU,Hardswish,BiGRU+GRU,50,87.79,87.2,88.58,87.89,3,6
LeakyReLU,ReLU,BiGRU+GRU,50,87.3,86.93,87.8,87.36,3,6
LeakyReLU,ELU,BiGRU+GRU,50,87.2,86.34,88.38,87.35,3,6
LeakyReLU,LeakyReLU,BiGRU+GRU,50,87.77,85.99,90.24,88.06,3,6
LeakyReLU,Tanh,BiGRU+GRU,50,87.45,85.38,90.38,87.81,3,6
LeakyReLU,GELU,BiGRU+GRU,50,87.72,87.42,88.12,87.77,3,6
LeakyReLU,SiLU,BiGRU+GRU,50,87.81,87.71,87.94,87.83,3,6
