arch,act1,act2,acc_mean,acc_std,acc_ci95,f1_mean,prec_mean,rec_mean
BiLSTM+LSTM,GELU,GELU,86.722,0.682,0.847,86.598,87.332,85.996
BiLSTM+BiLSTM,SELU,PReLU,86.72,0.448,0.556,86.636,87.188,86.184
BiLSTM+BiLSTM,ELU,GELU,86.718,0.651,0.808,86.758,86.464,87.092
BiLSTM+BiLSTM,PReLU,GELU,86.716,0.412,0.512,86.5,87.928,85.136
BiLSTM+LSTM,SiLU,GELU,86.714,0.192,0.238,86.812,86.218,87.544
BiLSTM+BiLSTM,SiLU,Hardswish,86.71,0.428,0.531,86.538,87.662,85.564
BiLSTM+BiLSTM,SiLU,GELU,86.706,0.561,0.696,86.726,86.61,86.872
BiLSTM+BiLSTM,ELU,ELU,86.702,0.446,0.554,86.826,86.036,87.684
BiLSTM+LSTM,SiLU,SELU,86.7,0.482,0.599,86.796,86.196,87.444
BiLSTM+LSTM,PReLU,LeakyReLU,86.696,0.449,0.558,86.706,86.668,86.796
BiLSTM+BiLSTM,SiLU,SELU,86.696,0.441,0.548,86.606,87.182,86.108
BiLSTM+BiLSTM,Hardswish,Mish,86.69,0.425,0.528,86.556,87.442,85.716
BiLSTM+LSTM,Mish,LeakyReLU,86.686,0.287,0.356,86.568,87.378,85.836
BiLSTM+LSTM,Tanh,Mish,86.68,0.539,0.669,86.65,86.85,86.464
BiLSTM+LSTM,PReLU,SiLU,86.678,0.816,1.014,86.532,87.44,85.696
BiLSTM+BiLSTM,SELU,ELU,86.676,0.51,0.633,86.474,87.806,85.22
BiLSTM+BiLSTM,SELU,ReLU,86.676,0.182,0.226,86.662,86.81,86.604
BiLSTM+LSTM,ELU,SELU,86.674,0.538,0.668,86.578,87.274,85.936
BiLSTM+LSTM,SiLU,Mish,86.672,0.597,0.741,86.456,87.838,85.3
BiLSTM+LSTM,Mish,GELU,86.672,0.332,0.413,86.76,86.226,87.368
BiLSTM+LSTM,ELU,GELU,86.672,0.564,0.7,86.704,86.486,86.952
BiLSTM+BiLSTM,Tanh,PReLU,86.666,0.317,0.393,86.848,85.73,88.116
BiLSTM+BiLSTM,PReLU,PReLU,86.662,0.469,0.582,86.484,87.642,85.448
BiLSTM+LSTM,Tanh,LeakyReLU,86.66,0.624,0.774,86.728,86.284,87.184
BiLSTM+BiLSTM,Tanh,SiLU,86.66,1.05,1.304,86.356,88.268,84.68
BiLSTM+BiLSTM,Tanh,Hardswish,86.656,0.502,0.624,86.516,87.46,85.616
BiLSTM+BiLSTM,Hardswish,ELU,86.656,0.497,0.618,86.63,86.838,86.512
BiLSTM+BiLSTM,SiLU,LeakyReLU,86.656,0.5,0.621,86.446,87.806,85.212
BiLSTM+BiLSTM,Mish,LeakyReLU,86.652,0.516,0.641,86.73,86.224,87.412
BiLSTM+LSTM,Tanh,Tanh,86.648,0.979,1.216,86.56,87.07,86.104
BiLSTM+LSTM,Mish,Tanh,86.646,0.691,0.859,86.78,85.984,87.64
BiLSTM+LSTM,SELU,GELU,86.644,0.647,0.804,86.622,86.762,86.5
BiLSTM+LSTM,Mish,Mish,86.642,0.357,0.443,86.682,86.494,87.116
BiLSTM+BiLSTM,SELU,Tanh,86.64,0.788,0.979,86.59,86.912,86.42
BiLSTM+LSTM,Mish,Hardswish,86.638,0.758,0.941,86.66,86.504,86.876
BiLSTM+LSTM,Hardswish,SELU,86.638,0.408,0.507,86.528,87.266,85.856
BiLSTM+LSTM,GELU,SELU,86.628,0.632,0.784,86.654,86.532,86.856
BiLSTM+LSTM,SELU,Hardswish,86.626,0.176,0.218,86.606,86.772,86.524
BiLSTM+BiLSTM,Tanh,Mish,86.624,0.295,0.367,86.23,88.84,83.792
BiLSTM+BiLSTM,ELU,SiLU,86.62,0.625,0.776,86.532,87.16,85.936
BiLSTM+LSTM,PReLU,Tanh,86.62,0.424,0.526,86.512,87.242,85.88
BiLSTM+BiLSTM,SiLU,SiLU,86.614,0.809,1.004,86.484,87.422,85.66
BiLSTM+LSTM,ELU,SiLU,86.612,0.73,0.907,86.718,86.034,87.464
BiLSTM+LSTM,LeakyReLU,Hardswish,86.612,0.517,0.642,86.694,86.198,87.244
BiLSTM+LSTM,GELU,PReLU,86.612,0.51,0.633,86.306,88.326,84.4
BiLSTM+LSTM,ReLU,SELU,86.61,0.788,0.978,86.528,87.018,86.116
BiLSTM+LSTM,GELU,LeakyReLU,86.608,0.528,0.656,86.346,88.068,84.756
BiLSTM+LSTM,ReLU,Mish,86.602,0.458,0.569,86.666,86.258,87.156
BiLSTM+LSTM,SELU,SiLU,86.594,0.561,0.697,86.45,87.38,85.556
BiLSTM+BiLSTM,Hardswish,SiLU,86.59,0.499,0.62,86.508,87.006,86.12
BiLSTM+BiLSTM,ReLU,Mish,86.588,0.444,0.551,86.708,85.982,87.52
BiLSTM+LSTM,Tanh,GELU,86.588,0.635,0.788,86.556,86.868,86.312
BiLSTM+LSTM,Tanh,ELU,86.584,0.583,0.724,86.678,86.08,87.292
BiLSTM+BiLSTM,PReLU,SELU,86.582,0.47,0.584,86.556,86.696,86.468
BiLSTM+BiLSTM,Mish,PReLU,86.576,0.27,0.335,86.558,86.668,86.496
BiLSTM+LSTM,Hardswish,ReLU,86.576,0.645,0.801,86.52,86.838,86.304
BiLSTM+LSTM,LeakyReLU,SELU,86.568,1.106,1.374,86.692,85.996,87.44
BiLSTM+BiLSTM,LeakyReLU,SiLU,86.562,0.64,0.795,86.506,86.856,86.208
BiLSTM+BiLSTM,Tanh,ReLU,86.56,0.337,0.419,86.548,86.676,86.512
BiLSTM+LSTM,SELU,Tanh,86.558,0.415,0.515,86.404,87.49,85.476
BiLSTM+BiLSTM,ELU,Tanh,86.552,0.537,0.667,86.314,87.856,84.928
BiLSTM+BiLSTM,ELU,LeakyReLU,86.548,0.502,0.624,86.404,87.318,85.568
BiLSTM+LSTM,SiLU,ELU,86.546,0.684,0.849,86.454,87.028,86.008
BiLSTM+LSTM,Mish,SiLU,86.54,0.822,1.021,86.352,87.578,85.18
BiLSTM+LSTM,Hardswish,GELU,86.526,0.348,0.432,86.852,84.84,89.028
BiLSTM+LSTM,PReLU,Mish,86.514,0.808,1.003,86.674,85.688,87.8
BiLSTM+LSTM,SELU,LeakyReLU,86.504,0.541,0.671,86.25,87.862,84.764
BiLSTM+LSTM,Hardswish,Hardswish,86.502,0.557,0.692,86.24,87.948,84.652
BiLSTM+LSTM,Tanh,Hardswish,86.498,0.345,0.428,86.344,87.424,85.396
BiLSTM+LSTM,ELU,PReLU,86.486,0.334,0.414,86.496,86.456,86.56
BiLSTM+BiLSTM,ReLU,PReLU,86.484,0.575,0.714,86.276,87.594,85.144
BiLSTM+LSTM,ELU,LeakyReLU,86.472,0.39,0.484,86.362,87.082,85.76
BiLSTM+LSTM,GELU,ReLU,86.472,0.72,0.894,86.55,86.176,87.04
BiLSTM+BiLSTM,SELU,GELU,86.462,0.369,0.459,86.344,87.122,85.64
BiLSTM+LSTM,SELU,ELU,86.46,1.22,1.514,86.208,87.77,84.792
BiLSTM+BiLSTM,Tanh,GELU,86.454,0.76,0.943,86.43,86.59,86.284
BiLSTM+LSTM,LeakyReLU,Tanh,86.434,0.73,0.907,86.458,86.348,86.632
BiLSTM+BiLSTM,GELU,PReLU,86.416,0.852,1.058,86.386,86.62,86.368
BiLSTM+BiLSTM,GELU,Tanh,86.416,0.76,0.943,86.362,86.77,86.076
BiLSTM+BiLSTM,SiLU,PReLU,86.396,0.734,0.911,86.194,87.454,85.1
BiLSTM+LSTM,SELU,PReLU,86.39,0.522,0.648,86.19,87.438,85.052
BiLSTM+LSTM,Hardswish,PReLU,86.39,0.843,1.047,86.238,87.226,85.348
BiLSTM+BiLSTM,Hardswish,PReLU,86.386,0.278,0.346,86.132,87.766,84.628
BiLSTM+LSTM,PReLU,ELU,86.378,1.007,1.25,86.352,86.466,86.268
BiLSTM+LSTM,GELU,Mish,86.372,0.292,0.362,86.284,86.852,85.768
BiLSTM+BiLSTM,PReLU,Hardswish,86.366,0.73,0.906,86.08,87.918,84.46
BiLSTM+BiLSTM,SELU,SELU,86.358,0.722,0.897,86.47,85.838,87.26
BiLSTM+BiLSTM,Tanh,Tanh,86.334,0.849,1.055,85.762,89.406,82.52
BiLSTM+LSTM,Mish,ReLU,86.3,0.529,0.657,86.294,86.522,86.276
BiLSTM+LSTM,Tanh,SELU,86.298,1.026,1.274,86.084,87.326,84.992
BiLSTM+LSTM,Tanh,ReLU,86.278,0.633,0.786,86.246,86.46,86.14
BiLSTM+LSTM,SELU,SELU,86.254,0.477,0.592,86.192,86.586,85.84
BiLSTM+LSTM,PReLU,GELU,86.252,0.852,1.058,86.282,86.174,86.444
BiLSTM+LSTM,SiLU,PReLU,86.25,0.691,0.858,85.906,88.066,83.972
BiLSTM+LSTM,Mish,ELU,86.192,0.541,0.672,86.1,86.684,85.576
BiLSTM+LSTM,Hardswish,Tanh,86.164,0.17,0.211,86.296,85.512,87.164
BiLSTM+LSTM,SELU,ReLU,86.156,1.021,1.268,85.966,87.14,84.844
BiLSTM+LSTM,Mish,PReLU,86.138,0.966,1.2,86.296,85.41,87.272
BiLSTM+BiLSTM,GELU,Hardswish,86.132,0.828,1.028,86.114,86.22,86.036
BiLSTM+BiLSTM,LeakyReLU,SELU,86.066,0.926,1.15,86.11,85.894,86.56
BiLSTM+LSTM,Mish,SELU,85.938,1.724,2.14,85.636,87.35,84.12
BiLSTM+LSTM,Hardswish,LeakyReLU,82.056,9.274,11.515,80.628,83.914,78.324
