af,loss,acc,sd
SiLU,0.5656,71.42,2.5695
Mish,0.5751,70.884,5.9558
Hardswish,0.5687,70.292,7.8186
PReLU,0.5774,69.486,9.1553
ELU,0.6287,65.014,5.7203
Tanh,0.6459,62.396,7.6735
ReLU,0.6495,61.906,7.4449
GELU,0.6459,61.26,10.3855
LeakyReLU,0.6636,59.484,4.6674
SELU,0.6698,58.782,3.3895
