act1,act2,experiment,seed,accuracy,precision,recall,f1,best_epoch,stop_epoch
SELU,ELU,BiGRU+BiGRU,10,87.08,87.78,86.16,86.96,2,5
SELU,LeakyReLU,BiGRU+BiGRU,10,87.62,89.43,85.32,87.33,3,6
SELU,Tanh,BiGRU+BiGRU,10,87.16,88.76,85.1,86.89,2,5
SELU,GELU,BiGRU+BiGRU,10,87.18,90.73,82.82,86.6,3,6
SELU,SiLU,BiGRU+BiGRU,10,87.54,88.51,86.28,87.38,2,5
SELU,Mish,BiGRU+BiGRU,10,87.53,87.3,87.84,87.57,2,5
SELU,SELU,BiGRU+BiGRU,10,87.17,86.84,87.62,87.23,2,5
SELU,PReLU,BiGRU+BiGRU,10,87.54,89.17,85.46,87.28,3,6
SELU,Hardswish,BiGRU+BiGRU,10,87.43,87.68,87.1,87.39,2,5
PReLU,ReLU,BiGRU+BiGRU,10,87.34,89.31,84.84,87.02,2,5
PReLU,ELU,BiGRU+BiGRU,10,86.98,88.68,84.78,86.69,2,5
PReLU,LeakyReLU,BiGRU+BiGRU,10,86.66,90.9,81.48,85.93,3,6
PReLU,Tanh,BiGRU+BiGRU,10,87.37,90.82,83.14,86.81,3,6
PReLU,GELU,BiGRU+BiGRU,10,87.38,90.26,83.8,86.91,3,6
PReLU,SiLU,BiGRU+BiGRU,10,87.21,90.74,82.88,86.63,3,6
PReLU,Mish,BiGRU+BiGRU,10,87.31,91.05,82.76,86.71,3,6
PReLU,SELU,BiGRU+BiGRU,10,87.21,89.28,84.58,86.86,2,5
PReLU,PReLU,BiGRU+BiGRU,10,87.49,89.86,84.52,87.11,3,6
PReLU,Hardswish,BiGRU+BiGRU,10,87.5,87.65,87.3,87.47,2,5
Hardswish,ReLU,BiGRU+BiGRU,10,87.23,90.09,83.66,86.76,3,6
Hardswish,ELU,BiGRU+BiGRU,10,87.42,88.06,86.58,87.31,2,5
Hardswish,LeakyReLU,BiGRU+BiGRU,10,87.71,90.16,84.66,87.32,3,6
Hardswish,Tanh,BiGRU+BiGRU,10,87.29,87.78,86.64,87.21,2,5
Hardswish,GELU,BiGRU+BiGRU,10,87.41,90.06,84.1,86.98,3,6
Hardswish,SiLU,BiGRU+BiGRU,10,87.44,90.24,83.96,86.99,3,6
Hardswish,Mish,BiGRU+BiGRU,10,87.64,88.14,86.98,87.56,2,5
Hardswish,SELU,BiGRU+BiGRU,10,87.47,88.1,86.64,87.37,2,5
Hardswish,PReLU,BiGRU+BiGRU,10,87.74,87.54,88.0,87.77,2,5
Hardswish,Hardswish,BiGRU+BiGRU,10,87.4,89.8,84.38,87.01,3,6
ReLU,ReLU,BiGRU+BiGRU,20,87.4,89.2,85.1,87.1,3,6
ReLU,ELU,BiGRU+BiGRU,20,87.6,86.79,88.7,87.73,3,6
ReLU,LeakyReLU,BiGRU+BiGRU,20,87.38,88.3,86.18,87.23,3,6
ReLU,Tanh,BiGRU+BiGRU,20,87.72,87.1,88.56,87.82,3,6
ReLU,GELU,BiGRU+BiGRU,20,87.26,88.29,85.92,87.09,3,6
ReLU,SiLU,BiGRU+BiGRU,20,87.54,87.35,87.8,87.57,3,6
ReLU,Mish,BiGRU+BiGRU,20,87.4,86.77,88.26,87.51,3,6
ReLU,SELU,BiGRU+BiGRU,20,87.44,87.41,87.48,87.45,3,6
ReLU,PReLU,BiGRU+BiGRU,20,87.41,87.52,87.26,87.39,3,6
ReLU,Hardswish,BiGRU+BiGRU,20,87.29,88.34,85.92,87.11,3,6
ELU,ReLU,BiGRU+BiGRU,20,87.32,88.81,85.4,87.07,3,6
ELU,ELU,BiGRU+BiGRU,20,87.73,86.85,88.92,87.87,3,6
ELU,LeakyReLU,BiGRU+BiGRU,20,87.67,88.37,86.76,87.56,3,6
ELU,Tanh,BiGRU+BiGRU,20,87.57,86.97,88.38,87.67,3,6
ELU,GELU,BiGRU+BiGRU,20,87.53,88.37,86.44,87.39,3,6
ELU,SiLU,BiGRU+BiGRU,20,87.36,86.9,87.98,87.44,3,6
ELU,Mish,BiGRU+BiGRU,20,87.36,86.98,87.88,87.43,3,6
ELU,SELU,BiGRU+BiGRU,20,87.47,85.21,90.68,87.86,3,6
ELU,PReLU,BiGRU+BiGRU,20,87.29,87.83,86.58,87.2,3,6
ELU,Hardswish,BiGRU+BiGRU,20,87.29,85.9,89.22,87.53,3,6
LeakyReLU,ReLU,BiGRU+BiGRU,20,87.54,87.6,87.46,87.53,3,6
LeakyReLU,ELU,BiGRU+BiGRU,20,87.06,88.35,85.38,86.84,3,6
LeakyReLU,LeakyReLU,BiGRU+BiGRU,20,87.48,88.83,85.74,87.26,3,6
LeakyReLU,Tanh,BiGRU+BiGRU,20,87.22,86.39,88.36,87.36,3,6
LeakyReLU,GELU,BiGRU+BiGRU,20,87.61,87.14,88.24,87.69,3,6
LeakyReLU,SiLU,BiGRU+BiGRU,20,87.5,86.52,88.84,87.67,3,6
LeakyReLU,Mish,BiGRU+BiGRU,20,87.05,86.92,87.22,87.07,3,6
LeakyReLU,SELU,BiGRU+BiGRU,20,87.84,87.14,88.78,87.95,3,6
LeakyReLU,PReLU,BiGRU+BiGRU,20,87.55,88.72,86.04,87.36,3,6
LeakyReLU,Hardswish,BiGRU+BiGRU,20,87.57,86.53,89.0,87.75,3,6
Tanh,ReLU,BiGRU+BiGRU,20,87.49,88.44,86.26,87.33,3,6
Tanh,ELU,BiGRU+BiGRU,20,87.47,87.18,87.86,87.52,3,6
Tanh,LeakyReLU,BiGRU+BiGRU,20,87.58,88.76,86.06,87.39,3,6
Tanh,Tanh,BiGRU+BiGRU,20,87.5,86.71,88.58,87.63,3,6
Tanh,GELU,BiGRU+BiGRU,20,87.35,85.85,89.44,87.61,3,6
Tanh,SiLU,BiGRU+BiGRU,20,87.72,86.62,89.22,87.9,3,6
Tanh,Mish,BiGRU+BiGRU,20,87.87,87.62,88.2,87.91,3,6
Tanh,SELU,BiGRU+BiGRU,20,87.59,88.35,86.6,87.47,3,6
Tanh,PReLU,BiGRU+BiGRU,20,87.42,87.27,87.62,87.45,3,6
Tanh,Hardswish,BiGRU+BiGRU,20,87.62,87.76,87.44,87.6,3,6
GELU,ReLU,BiGRU+BiGRU,20,87.11,88.79,84.94,86.82,3,6
GELU,ELU,BiGRU+BiGRU,20,87.65,86.95,88.6,87.77,3,6
GELU,LeakyReLU,BiGRU+BiGRU,20,86.98,89.02,84.36,86.63,3,6
GELU,Tanh,BiGRU+BiGRU,20,87.49,86.18,89.3,87.71,3,6
GELU,GELU,BiGRU+BiGRU,20,87.79,87.96,87.56,87.76,3,6
GELU,SiLU,BiGRU+BiGRU,20,87.5,87.06,88.1,87.57,3,6
GELU,Mish,BiGRU+BiGRU,20,87.57,87.41,87.78,87.6,3,6
GELU,SELU,BiGRU+BiGRU,20,87.35,86.31,88.78,87.53,3,6
GELU,PReLU,BiGRU+BiGRU,20,87.01,89.33,84.06,86.62,3,6
GELU,Hardswish,BiGRU+BiGRU,20,87.6,86.5,89.1,87.78,3,6
SiLU,ReLU,BiGRU+BiGRU,20,86.88,89.71,83.32,86.4,3,6
SiLU,ELU,BiGRU+BiGRU,20,87.25,87.06,87.5,87.28,3,6
SiLU,LeakyReLU,BiGRU+BiGRU,20,87.37,89.36,84.84,87.04,3,6
SiLU,Tanh,BiGRU+BiGRU,20,87.68,87.28,88.22,87.75,3,6
SiLU,GELU,BiGRU+BiGRU,20,87.48,87.2,87.86,87.53,3,6
SiLU,SiLU,BiGRU+BiGRU,20,87.39,87.49,87.26,87.37,3,6
SiLU,Mish,BiGRU+BiGRU,20,87.74,87.34,88.28,87.81,3,6
SiLU,SELU,BiGRU+BiGRU,20,87.51,86.58,88.78,87.67,3,6
SiLU,PReLU,BiGRU+BiGRU,20,87.35,89.26,84.92,87.03,4,7
SiLU,Hardswish,BiGRU+BiGRU,20,87.62,86.77,88.78,87.76,3,6
Mish,ReLU,BiGRU+BiGRU,20,87.21,89.68,84.1,86.8,3,6
Mish,ELU,BiGRU+BiGRU,20,87.44,85.82,89.7,87.72,3,6
Mish,LeakyReLU,BiGRU+BiGRU,20,87.3,88.11,86.24,87.16,3,6
Mish,Tanh,BiGRU+BiGRU,20,87.69,86.83,88.86,87.83,3,6
Mish,GELU,BiGRU+BiGRU,20,87.27,87.22,87.34,87.28,3,6
Mish,SiLU,BiGRU+BiGRU,20,87.39,87.68,87.0,87.34,3,6
Mish,Mish,BiGRU+BiGRU,20,87.48,87.2,87.86,87.53,3,6
Mish,SELU,BiGRU+BiGRU,20,87.78,87.54,88.1,87.82,3,6
Mish,PReLU,BiGRU+BiGRU,20,87.18,88.08,86.0,87.03,3,6
Mish,Hardswish,BiGRU+BiGRU,20,87.57,86.19,89.48,87.8,3,6
SELU,ReLU,BiGRU+BiGRU,20,87.31,87.99,86.42,87.2,3,6
SELU,ELU,BiGRU+BiGRU,20,87.69,88.66,86.44,87.53,3,6
SELU,LeakyReLU,BiGRU+BiGRU,20,87.42,86.51,88.66,87.57,3,6
SELU,Tanh,BiGRU+BiGRU,20,86.96,89.12,84.2,86.59,3,6
SELU,GELU,BiGRU+BiGRU,20,87.69,87.47,87.98,87.73,3,6
SELU,SiLU,BiGRU+BiGRU,20,87.42,88.51,86.0,87.24,3,6
SELU,Mish,BiGRU+BiGRU,20,87.52,88.18,86.66,87.41,3,6
SELU,SELU,BiGRU+BiGRU,20,87.29,88.55,85.66,87.08,3,6
SELU,PReLU,BiGRU+BiGRU,20,87.46,87.75,87.08,87.41,3,6
SELU,Hardswish,BiGRU+BiGRU,20,87.68,87.12,88.44,87.77,3,6
PReLU,ReLU,BiGRU+BiGRU,20,87.26,89.2,84.78,86.94,3,6
PReLU,ELU,BiGRU+BiGRU,20,87.35,86.61,88.36,87.48,3,6
PReLU,LeakyReLU,BiGRU+BiGRU,20,87.5,88.25,86.52,87.38,3,6
PReLU,Tanh,BiGRU+BiGRU,20,87.26,86.56,88.22,87.38,3,6
PReLU,GELU,BiGRU+BiGRU,20,87.31,87.96,86.46,87.2,3,6
PReLU,SiLU,BiGRU+BiGRU,20,87.37,87.48,87.22,87.35,3,6
PReLU,Mish,BiGRU+BiGRU,20,87.26,86.63,88.12,87.37,3,6
PReLU,SELU,BiGRU+BiGRU,20,87.69,85.6,90.62,88.04,3,6
PReLU,PReLU,BiGRU+BiGRU,20,87.32,88.13,86.26,87.18,3,6
PReLU,Hardswish,BiGRU+BiGRU,20,87.4,87.85,86.8,87.32,3,6
Hardswish,ReLU,BiGRU+BiGRU,20,87.58,88.61,86.24,87.41,4,7
Hardswish,ELU,BiGRU+BiGRU,20,87.49,86.21,89.26,87.71,3,6
Hardswish,LeakyReLU,BiGRU+BiGRU,20,87.92,87.49,88.5,87.99,3,6
Hardswish,Tanh,BiGRU+BiGRU,20,87.35,86.8,88.1,87.44,3,6
Hardswish,GELU,BiGRU+BiGRU,20,87.61,86.2,89.56,87.85,3,6
Hardswish,SiLU,BiGRU+BiGRU,20,87.55,86.91,88.42,87.66,3,6
Hardswish,Mish,BiGRU+BiGRU,20,87.43,86.76,88.34,87.54,3,6
Hardswish,SELU,BiGRU+BiGRU,20,87.43,87.86,86.86,87.36,3,6
Hardswish,PReLU,BiGRU+BiGRU,20,87.1,88.63,85.12,86.84,3,6
Hardswish,Hardswish,BiGRU+BiGRU,20,87.45,87.2,87.78,87.49,3,6
ReLU,ReLU,BiGRU+BiGRU,30,87.55,85.09,91.06,87.97,3,6
ReLU,ELU,BiGRU+BiGRU,30,87.19,84.05,91.8,87.75,3,6
ReLU,LeakyReLU,BiGRU+BiGRU,30,88.11,87.61,88.78,88.19,3,6
ReLU,Tanh,BiGRU+BiGRU,30,87.57,85.2,90.94,87.98,3,6
ReLU,GELU,BiGRU+BiGRU,30,87.9,86.68,89.56,88.1,3,6
ReLU,SiLU,BiGRU+BiGRU,30,87.81,85.61,90.9,88.18,3,6
ReLU,Mish,BiGRU+BiGRU,30,87.81,86.79,89.2,87.98,3,6
ReLU,SELU,BiGRU+BiGRU,30,86.97,85.35,89.26,87.26,3,6
ReLU,PReLU,BiGRU+BiGRU,30,87.77,86.54,89.46,87.97,3,6
ReLU,Hardswish,BiGRU+BiGRU,30,87.9,85.61,91.12,88.28,3,6
ELU,ReLU,BiGRU+BiGRU,30,87.41,86.06,89.28,87.64,3,6
ELU,ELU,BiGRU+BiGRU,30,87.56,86.32,89.26,87.77,3,6
ELU,LeakyReLU,BiGRU+BiGRU,30,87.31,85.49,89.88,87.63,3,6
ELU,Tanh,BiGRU+BiGRU,30,87.73,86.26,89.76,87.97,3,6
ELU,GELU,BiGRU+BiGRU,30,87.69,85.36,90.98,88.08,3,6
ELU,SiLU,BiGRU+BiGRU,30,87.51,85.14,90.88,87.92,3,6
ELU,Mish,BiGRU+BiGRU,30,87.42,85.72,89.8,87.71,3,6
ELU,SELU,BiGRU+BiGRU,30,87.49,86.46,88.9,87.66,3,6
ELU,PReLU,BiGRU+BiGRU,30,87.8,86.67,89.34,87.99,3,6
ELU,Hardswish,BiGRU+BiGRU,30,87.54,85.31,90.7,87.92,3,6
LeakyReLU,ReLU,BiGRU+BiGRU,30,87.39,84.42,91.7,87.91,3,6
LeakyReLU,ELU,BiGRU+BiGRU,30,87.46,85.7,89.92,87.76,3,6
LeakyReLU,LeakyReLU,BiGRU+BiGRU,30,87.7,85.5,90.8,88.07,3,6
LeakyReLU,Tanh,BiGRU+BiGRU,30,87.49,87.48,87.5,87.49,4,7
LeakyReLU,GELU,BiGRU+BiGRU,30,87.97,86.05,90.64,88.28,3,6
LeakyReLU,SiLU,BiGRU+BiGRU,30,88.04,86.16,90.64,88.34,3,6
LeakyReLU,Mish,BiGRU+BiGRU,30,87.78,86.54,89.48,87.98,3,6
LeakyReLU,SELU,BiGRU+BiGRU,30,87.64,87.79,87.44,87.62,4,7
LeakyReLU,PReLU,BiGRU+BiGRU,30,87.52,85.69,90.08,87.83,3,6
LeakyReLU,Hardswish,BiGRU+BiGRU,30,87.73,86.57,89.32,87.92,3,6
Tanh,ReLU,BiGRU+BiGRU,30,87.74,86.05,90.08,88.02,3,6
Tanh,ELU,BiGRU+BiGRU,30,87.29,85.66,89.58,87.57,3,6
Tanh,LeakyReLU,BiGRU+BiGRU,30,87.19,84.4,91.24,87.69,3,6
Tanh,Tanh,BiGRU+BiGRU,30,87.46,86.19,89.22,87.68,3,6
Tanh,GELU,BiGRU+BiGRU,30,87.47,85.09,90.86,87.88,3,6
Tanh,SiLU,BiGRU+BiGRU,30,87.45,84.93,91.06,87.89,3,6
Tanh,Mish,BiGRU+BiGRU,30,87.49,86.08,89.44,87.73,3,6
Tanh,SELU,BiGRU+BiGRU,30,87.41,86.05,89.3,87.64,3,6
Tanh,PReLU,BiGRU+BiGRU,30,87.7,87.09,88.52,87.8,3,6
Tanh,Hardswish,BiGRU+BiGRU,30,87.47,85.45,90.32,87.82,3,6
GELU,ReLU,BiGRU+BiGRU,30,87.87,85.87,90.66,88.2,3,6
GELU,ELU,BiGRU+BiGRU,30,87.67,85.53,90.68,88.03,3,6
GELU,LeakyReLU,BiGRU+BiGRU,30,87.62,85.3,90.9,88.01,3,6
GELU,Tanh,BiGRU+BiGRU,30,87.58,85.72,90.18,87.89,3,6
GELU,GELU,BiGRU+BiGRU,30,87.9,85.81,90.82,88.24,3,6
GELU,SiLU,BiGRU+BiGRU,30,87.75,85.89,90.34,88.06,3,6
GELU,Mish,BiGRU+BiGRU,30,87.83,85.76,90.72,88.17,3,6
GELU,SELU,BiGRU+BiGRU,30,86.69,89.63,82.98,86.18,4,7
GELU,PReLU,BiGRU+BiGRU,30,87.7,85.93,90.16,88.0,3,6
GELU,Hardswish,BiGRU+BiGRU,30,87.65,85.82,90.2,87.96,3,6
SiLU,ReLU,BiGRU+BiGRU,30,87.67,86.33,89.52,87.89,3,6
SiLU,ELU,BiGRU+BiGRU,30,87.73,86.09,90.0,88.0,3,6
SiLU,LeakyReLU,BiGRU+BiGRU,30,87.71,86.73,89.04,87.87,3,6
SiLU,Tanh,BiGRU+BiGRU,30,87.79,85.6,90.86,88.15,3,6
SiLU,GELU,BiGRU+BiGRU,30,87.7,85.84,90.3,88.01,3,6
SiLU,SiLU,BiGRU+BiGRU,30,87.79,85.94,90.36,88.1,3,6
SiLU,Mish,BiGRU+BiGRU,30,87.86,85.88,90.62,88.19,3,6
SiLU,SELU,BiGRU+BiGRU,30,87.07,84.0,91.58,87.63,3,6
SiLU,PReLU,BiGRU+BiGRU,30,87.67,86.98,88.6,87.78,3,6
SiLU,Hardswish,BiGRU+BiGRU,30,87.84,86.16,90.16,88.12,3,6
Mish,ReLU,BiGRU+BiGRU,30,87.39,84.81,91.1,87.84,3,6
Mish,ELU,BiGRU+BiGRU,30,87.56,85.19,90.92,87.96,3,6
Mish,LeakyReLU,BiGRU+BiGRU,30,87.41,84.8,91.16,87.87,3,6
Mish,Tanh,BiGRU+BiGRU,30,87.66,86.3,89.54,87.89,3,6
Mish,GELU,BiGRU+BiGRU,30,87.73,85.67,90.62,88.07,3,6
Mish,SiLU,BiGRU+BiGRU,30,87.85,86.14,90.22,88.13,3,6
Mish,Mish,BiGRU+BiGRU,30,87.79,85.85,90.5,88.11,3,6
Mish,SELU,BiGRU+BiGRU,30,87.34,84.48,91.48,87.84,3,6
Mish,PReLU,BiGRU+BiGRU,30,87.65,86.35,89.44,87.87,3,6
Mish,Hardswish,BiGRU+BiGRU,30,87.66,85.3,91.0,88.06,3,6
SELU,ReLU,BiGRU+BiGRU,30,87.53,84.87,91.34,87.99,3,6
SELU,ELU,BiGRU+BiGRU,30,87.4,85.23,90.48,87.78,3,6
SELU,LeakyReLU,BiGRU+BiGRU,30,87.48,85.32,90.54,87.85,3,6
SELU,Tanh,BiGRU+BiGRU,30,87.37,86.92,87.98,87.45,3,6
SELU,GELU,BiGRU+BiGRU,30,87.43,85.22,90.56,87.81,3,6
SELU,SiLU,BiGRU+BiGRU,30,87.39,86.06,89.24,87.62,3,6
SELU,Mish,BiGRU+BiGRU,30,87.44,85.37,90.36,87.8,3,6
SELU,SELU,BiGRU+BiGRU,30,87.4,85.44,90.16,87.74,3,6
SELU,PReLU,BiGRU+BiGRU,30,87.46,87.24,87.76,87.5,3,6
SELU,Hardswish,BiGRU+BiGRU,30,87.68,85.45,90.82,88.06,3,6
PReLU,ReLU,BiGRU+BiGRU,30,87.56,85.68,90.2,87.88,3,6
PReLU,ELU,BiGRU+BiGRU,30,87.49,85.92,89.68,87.76,3,6
PReLU,LeakyReLU,BiGRU+BiGRU,30,87.51,84.58,91.74,88.02,3,6
PReLU,Tanh,BiGRU+BiGRU,30,87.61,86.07,89.74,87.87,3,6
PReLU,GELU,BiGRU+BiGRU,30,87.82,85.73,90.74,88.17,3,6
PReLU,SiLU,BiGRU+BiGRU,30,87.83,86.38,89.82,88.07,3,6
PReLU,Mish,BiGRU+BiGRU,30,87.95,86.22,90.34,88.23,3,6
PReLU,SELU,BiGRU+BiGRU,30,87.56,85.79,90.04,87.86,3,6
PReLU,PReLU,BiGRU+BiGRU,30,87.85,86.0,90.42,88.15,3,6
PReLU,Hardswish,BiGRU+BiGRU,30,87.72,86.12,89.94,87.99,3,6
Hardswish,ReLU,BiGRU+BiGRU,30,88.02,87.25,89.06,88.14,3,6
Hardswish,ELU,BiGRU+BiGRU,30,87.61,85.25,90.96,88.01,3,6
Hardswish,LeakyReLU,BiGRU+BiGRU,30,87.39,84.99,90.82,87.81,3,6
Hardswish,Tanh,BiGRU+BiGRU,30,87.66,85.54,90.64,88.02,3,6
Hardswish,GELU,BiGRU+BiGRU,30,87.85,86.98,89.02,87.99,3,6
Hardswish,SiLU,BiGRU+BiGRU,30,87.73,86.36,89.62,87.96,3,6
Hardswish,Mish,BiGRU+BiGRU,30,87.54,85.67,90.16,87.86,3,6
Hardswish,SELU,BiGRU+BiGRU,30,87.48,87.72,87.16,87.44,4,7
Hardswish,PReLU,BiGRU+BiGRU,30,87.58,86.0,89.78,87.85,3,6
Hardswish,Hardswish,BiGRU+BiGRU,30,87.65,86.49,89.24,87.84,3,6
ReLU,ReLU,BiGRU+BiGRU,40,87.35,90.82,83.1,86.79,3,6
ReLU,ELU,BiGRU+BiGRU,40,87.02,86.67,87.5,87.08,2,5
ReLU,LeakyReLU,BiGRU+BiGRU,40,86.79,90.91,81.76,86.09,3,6
ReLU,Tanh,BiGRU+BiGRU,40,86.95,86.59,87.44,87.01,2,5
ReLU,GELU,BiGRU+BiGRU,40,87.74,89.48,85.54,87.46,3,6
ReLU,SiLU,BiGRU+BiGRU,40,87.52,90.22,84.16,87.09,3,6
ReLU,Mish,BiGRU+BiGRU,40,87.09,90.64,82.72,86.5,3,6
ReLU,SELU,BiGRU+BiGRU,40,87.68,89.61,85.24,87.37,3,6
ReLU,PReLU,BiGRU+BiGRU,40,87.69,89.01,86.0,87.48,3,6
ReLU,Hardswish,BiGRU+BiGRU,40,87.48,89.94,84.4,87.08,3,6
ELU,ReLU,BiGRU+BiGRU,40,86.99,91.09,82.0,86.31,3,6
ELU,ELU,BiGRU+BiGRU,40,87.72,87.64,87.82,87.73,4,7
ELU,LeakyReLU,BiGRU+BiGRU,40,87.17,90.24,83.36,86.66,3,6
ELU,Tanh,BiGRU+BiGRU,40,87.19,85.86,89.04,87.42,2,5
ELU,GELU,BiGRU+BiGRU,40,87.3,87.53,87.0,87.26,2,5
ELU,SiLU,BiGRU+BiGRU,40,86.91,86.29,87.76,87.02,2,5
