act1,act2,experiment,seed,accuracy,precision,recall,f1,best_epoch,stop_epoch
SELU,ELU,BiGRU+BiGRU,40,86.47,91.99,79.9,85.52,3,6
SELU,LeakyReLU,BiGRU+BiGRU,40,87.81,85.96,90.38,88.12,4,7
SELU,Tanh,BiGRU+BiGRU,40,86.72,91.88,80.56,85.85,3,6
SELU,GELU,BiGRU+BiGRU,40,86.94,91.77,81.16,86.14,3,6
SELU,SiLU,BiGRU+BiGRU,40,86.48,91.87,80.04,85.55,3,6
SELU,Mish,BiGRU+BiGRU,40,87.24,91.01,82.64,86.62,3,6
SELU,SELU,BiGRU+BiGRU,40,87.27,89.96,83.9,86.83,3,6
SELU,PReLU,BiGRU+BiGRU,40,87.09,90.45,82.94,86.53,3,6
SELU,Hardswish,BiGRU+BiGRU,40,86.38,91.95,79.74,85.41,3,6
PReLU,ReLU,BiGRU+BiGRU,40,87.75,88.86,86.32,87.57,3,6
PReLU,ELU,BiGRU+BiGRU,40,87.21,86.56,88.1,87.32,2,5
PReLU,LeakyReLU,BiGRU+BiGRU,40,87.76,87.59,87.98,87.79,3,6
PReLU,Tanh,BiGRU+BiGRU,40,87.02,86.67,87.5,87.08,2,5
PReLU,GELU,BiGRU+BiGRU,40,86.93,87.54,86.12,86.82,2,5
PReLU,SiLU,BiGRU+BiGRU,40,87.72,90.4,84.4,87.3,3,6
PReLU,Mish,BiGRU+BiGRU,40,87.38,90.31,83.74,86.9,3,6
PReLU,SELU,BiGRU+BiGRU,40,87.17,85.61,89.36,87.44,2,5
PReLU,PReLU,BiGRU+BiGRU,40,86.82,91.84,80.82,85.98,3,6
PReLU,Hardswish,BiGRU+BiGRU,40,87.2,91.13,82.42,86.56,3,6
Hardswish,ReLU,BiGRU+BiGRU,40,87.59,90.87,83.58,87.07,3,6
Hardswish,ELU,BiGRU+BiGRU,40,86.86,92.06,80.68,85.99,3,6
Hardswish,LeakyReLU,BiGRU+BiGRU,40,87.12,86.59,87.84,87.21,2,5
Hardswish,Tanh,BiGRU+BiGRU,40,88.02,87.52,88.68,88.1,4,7
Hardswish,GELU,BiGRU+BiGRU,40,87.14,91.38,82.02,86.45,3,6
Hardswish,SiLU,BiGRU+BiGRU,40,87.26,92.0,81.62,86.5,3,6
Hardswish,Mish,BiGRU+BiGRU,40,87.38,91.5,82.42,86.72,3,6
Hardswish,SELU,BiGRU+BiGRU,40,87.1,91.63,81.66,86.36,3,6
Hardswish,PReLU,BiGRU+BiGRU,40,86.81,91.88,80.76,85.96,3,6
Hardswish,Hardswish,BiGRU+BiGRU,40,87.62,91.16,83.32,87.06,3,6
