act1,act2,experiment,seed,accuracy,precision,recall,f1,best_epoch,stop_epoch
ReLU,ReLU,BiGRU+BiGRU,50,87.7,87.08,88.54,87.8,3,6
ReLU,ELU,BiGRU+BiGRU,50,87.92,87.21,88.88,88.03,3,6
ReLU,LeakyReLU,BiGRU+BiGRU,50,87.65,86.99,88.54,87.76,3,6
ReLU,Tanh,BiGRU+BiGRU,50,87.68,86.4,89.44,87.89,3,6
ReLU,GELU,BiGRU+BiGRU,50,87.53,87.17,88.02,87.59,3,6
ReLU,SiLU,BiGRU+BiGRU,50,87.58,86.36,89.26,87.79,3,6
ReLU,Mish,BiGRU+BiGRU,50,87.81,88.09,87.44,87.76,3,6
ReLU,SELU,BiGRU+BiGRU,50,87.57,87.41,87.78,87.6,3,6
ReLU,PReLU,BiGRU+BiGRU,50,87.65,87.31,88.1,87.71,3,6
ReLU,Hardswish,BiGRU+BiGRU,50,87.83,87.84,87.82,87.83,3,6
ELU,ReLU,BiGRU+BiGRU,50,87.81,87.05,88.84,87.93,3,6
ELU,ELU,BiGRU+BiGRU,50,87.55,87.27,87.92,87.6,3,6
ELU,LeakyReLU,BiGRU+BiGRU,50,87.96,87.11,89.1,88.1,4,7
ELU,Tanh,BiGRU+BiGRU,50,87.73,86.93,88.82,87.86,3,6
ELU,GELU,BiGRU+BiGRU,50,87.65,86.21,89.64,87.89,3,6
ELU,SiLU,BiGRU+BiGRU,50,87.78,86.69,89.26,87.96,3,6
ELU,Mish,BiGRU+BiGRU,50,87.59,85.7,90.24,87.91,3,6
ELU,SELU,BiGRU+BiGRU,50,87.52,86.81,88.48,87.64,3,6
ELU,PReLU,BiGRU+BiGRU,50,87.89,86.11,90.36,88.18,3,6
ELU,Hardswish,BiGRU+BiGRU,50,87.86,87.37,88.52,87.94,4,7
LeakyReLU,ReLU,BiGRU+BiGRU,50,87.58,87.67,87.46,87.57,3,6
LeakyReLU,ELU,BiGRU+BiGRU,50,87.68,86.51,89.28,87.87,3,6
LeakyReLU,LeakyReLU,BiGRU+BiGRU,50,87.43,89.19,85.18,87.14,3,6
LeakyReLU,Tanh,BiGRU+BiGRU,50,87.57,85.04,91.18,88.0,3,6
LeakyReLU,GELU,BiGRU+BiGRU,50,87.53,87.36,87.76,87.56,3,6
LeakyReLU,SiLU,BiGRU+BiGRU,50,87.46,87.09,87.96,87.52,3,6
LeakyReLU,Mish,BiGRU+BiGRU,50,87.73,86.3,89.7,87.97,3,6
LeakyReLU,SELU,BiGRU+BiGRU,50,87.59,86.59,88.96,87.76,3,6
LeakyReLU,PReLU,BiGRU+BiGRU,50,87.31,87.79,86.68,87.23,3,6
LeakyReLU,Hardswish,BiGRU+BiGRU,50,87.8,88.1,87.4,87.75,3,6
Tanh,ReLU,BiGRU+BiGRU,50,87.57,87.23,88.02,87.63,3,6
Tanh,ELU,BiGRU+BiGRU,50,87.44,87.14,87.84,87.49,3,6
Tanh,LeakyReLU,BiGRU+BiGRU,50,87.91,87.92,87.9,87.91,3,6
Tanh,Tanh,BiGRU+BiGRU,50,87.32,87.47,87.12,87.29,3,6
Tanh,GELU,BiGRU+BiGRU,50,87.55,85.28,90.76,87.94,3,6
Tanh,SiLU,BiGRU+BiGRU,50,87.67,86.06,89.9,87.94,3,6
Tanh,Mish,BiGRU+BiGRU,50,87.6,85.07,91.2,88.03,3,6
Tanh,SELU,BiGRU+BiGRU,50,87.5,85.88,89.76,87.78,4,7
Tanh,PReLU,BiGRU+BiGRU,50,87.64,85.78,90.24,87.95,3,6
Tanh,Hardswish,BiGRU+BiGRU,50,87.71,88.44,86.76,87.59,4,7
GELU,ReLU,BiGRU+BiGRU,50,87.71,88.22,87.04,87.63,3,6
GELU,ELU,BiGRU+BiGRU,50,87.71,86.09,89.96,87.98,3,6
GELU,LeakyReLU,BiGRU+BiGRU,50,87.77,87.08,88.7,87.88,3,6
GELU,Tanh,BiGRU+BiGRU,50,87.8,86.9,89.02,87.95,3,6
GELU,GELU,BiGRU+BiGRU,50,87.74,87.15,88.54,87.84,3,6
GELU,SiLU,BiGRU+BiGRU,50,88.13,87.03,89.62,88.3,3,6
GELU,Mish,BiGRU+BiGRU,50,87.77,86.55,89.44,87.97,3,6
GELU,SELU,BiGRU+BiGRU,50,87.63,88.06,87.06,87.56,3,6
GELU,PReLU,BiGRU+BiGRU,50,87.64,85.92,90.04,87.93,3,6
GELU,Hardswish,BiGRU+BiGRU,50,87.86,86.31,90.0,88.11,3,6
SiLU,ReLU,BiGRU+BiGRU,50,87.5,87.79,87.12,87.45,3,6
SiLU,ELU,BiGRU+BiGRU,50,87.89,87.54,88.36,87.95,4,7
SiLU,LeakyReLU,BiGRU+BiGRU,50,87.6,86.55,89.04,87.78,3,6
SiLU,Tanh,BiGRU+BiGRU,50,87.68,86.9,88.74,87.81,3,6
SiLU,GELU,BiGRU+BiGRU,50,87.68,86.43,89.4,87.89,3,6
SiLU,SiLU,BiGRU+BiGRU,50,87.83,86.97,89.0,87.97,3,6
SiLU,Mish,BiGRU+BiGRU,50,87.85,87.09,88.88,87.97,3,6
SiLU,SELU,BiGRU+BiGRU,50,87.78,87.83,87.72,87.77,3,6
SiLU,PReLU,BiGRU+BiGRU,50,87.72,86.58,89.28,87.91,3,6
SiLU,Hardswish,BiGRU+BiGRU,50,87.75,85.43,91.02,88.14,3,6
Mish,ReLU,BiGRU+BiGRU,50,87.95,86.75,89.58,88.14,3,6
Mish,ELU,BiGRU+BiGRU,50,87.73,86.44,89.5,87.94,3,6
Mish,LeakyReLU,BiGRU+BiGRU,50,87.65,87.55,87.78,87.67,3,6
