act1,act2,experiment,n_seeds,acc_mean,acc_std,acc_ci95,acc_min,acc_max,f1_mean,f1_std,prec_mean,rec_mean
ELU,LeakyReLU,BiGRU+BiGRU,5,87.494,0.318,0.395,87.17,87.96,87.422,0.541,87.948,86.988
LeakyReLU,Mish,BiGRU+BiGRU,5,87.48,0.298,0.37,87.05,87.78,87.48,0.483,87.506,87.54
Mish,SELU,BiGRU+BiGRU,5,87.48,0.334,0.415,87.1,87.88,87.678,0.312,86.348,89.092
ReLU,LeakyReLU,BiGRU+BiGRU,5,87.474,0.478,0.593,86.79,88.11,87.306,0.786,88.468,86.256
SiLU,Tanh,BiGRU+BiGRU,5,87.472,0.36,0.447,86.93,87.79,87.326,0.817,88.362,86.5
ELU,Tanh,BiGRU+BiGRU,5,87.472,0.288,0.358,87.14,87.73,87.584,0.387,86.79,88.42
GELU,PReLU,BiGRU+BiGRU,5,87.47,0.274,0.34,87.01,87.7,87.42,0.593,87.806,87.168
SELU,Mish,BiGRU+BiGRU,5,87.464,0.136,0.169,87.24,87.59,87.424,0.474,87.732,87.232
PReLU,LeakyReLU,BiGRU+BiGRU,5,87.462,0.477,0.592,86.66,87.88,87.412,0.864,87.768,87.216
Hardswish,SELU,BiGRU+BiGRU,5,87.456,0.248,0.308,87.1,87.8,87.302,0.586,88.404,86.32
PReLU,SELU,BiGRU+BiGRU,5,87.452,0.244,0.303,87.17,87.69,87.568,0.456,86.766,88.468
LeakyReLU,LeakyReLU,BiGRU+BiGRU,5,87.448,0.346,0.43,86.88,87.75,87.218,0.682,88.848,85.768
Hardswish,ELU,BiGRU+BiGRU,5,87.43,0.345,0.429,86.86,87.77,87.392,0.83,87.668,87.324
ELU,Hardswish,BiGRU+BiGRU,5,87.428,0.276,0.343,87.18,87.86,87.488,0.49,87.102,87.98
Mish,ReLU,BiGRU+BiGRU,5,87.426,0.348,0.432,87.04,87.95,87.42,0.555,87.518,87.472
PReLU,PReLU,BiGRU+BiGRU,5,87.424,0.39,0.484,86.82,87.85,87.218,0.809,88.662,85.976
SELU,PReLU,BiGRU+BiGRU,5,87.418,0.188,0.233,87.09,87.54,87.226,0.397,88.592,85.944
SiLU,ELU,BiGRU+BiGRU,5,87.418,0.41,0.509,86.85,87.89,87.54,0.408,86.706,88.408
Hardswish,PReLU,BiGRU+BiGRU,5,87.414,0.441,0.548,86.81,87.84,87.268,0.853,88.276,86.436
SiLU,ReLU,BiGRU+BiGRU,5,87.406,0.355,0.441,86.88,87.75,87.186,0.612,88.736,85.772
SELU,Hardswish,BiGRU+BiGRU,5,87.406,0.594,0.737,86.38,87.86,87.324,1.101,87.846,87.016
PReLU,GELU,BiGRU+BiGRU,5,87.404,0.331,0.411,86.93,87.82,87.374,0.579,87.586,87.252
ReLU,ELU,BiGRU+BiGRU,5,87.402,0.358,0.445,87.02,87.92,87.514,0.459,86.762,88.368
PReLU,Tanh,BiGRU+BiGRU,5,87.4,0.285,0.354,87.02,87.74,87.43,0.51,87.252,87.712
Mish,Tanh,BiGRU+BiGRU,5,87.398,0.298,0.371,86.97,87.69,87.406,0.654,87.362,87.576
LeakyReLU,ReLU,BiGRU+BiGRU,5,87.388,0.226,0.28,87.01,87.58,87.306,0.606,87.918,86.86
SELU,GELU,BiGRU+BiGRU,5,87.38,0.32,0.398,86.94,87.69,87.22,0.794,88.374,86.304
LeakyReLU,Tanh,BiGRU+BiGRU,5,87.38,0.158,0.196,87.22,87.57,87.36,0.429,87.528,87.304
PReLU,ELU,BiGRU+BiGRU,5,87.376,0.325,0.404,86.98,87.85,87.462,0.515,86.862,88.112
SELU,SELU,BiGRU+BiGRU,5,87.37,0.212,0.263,87.17,87.72,87.34,0.427,87.586,87.168
ELU,ReLU,BiGRU+BiGRU,5,87.366,0.294,0.366,86.99,87.81,87.15,0.649,88.68,85.8
Tanh,SELU,BiGRU+BiGRU,5,87.362,0.59,0.732,86.37,87.94,87.214,1.045,88.228,86.424
Tanh,Hardswish,BiGRU+BiGRU,5,87.36,0.451,0.56,86.58,87.71,87.202,0.874,88.3,86.292
LeakyReLU,PReLU,BiGRU+BiGRU,5,87.36,0.2,0.249,87.05,87.55,87.166,0.532,88.548,85.936
ELU,SiLU,BiGRU+BiGRU,5,87.356,0.324,0.403,86.91,87.78,87.408,0.552,87.074,87.844
GELU,LeakyReLU,BiGRU+BiGRU,5,87.35,0.352,0.437,86.98,87.77,87.146,0.747,88.57,85.932
GELU,Tanh,BiGRU+BiGRU,5,87.332,0.429,0.532,86.74,87.8,87.174,0.945,88.274,86.332
Tanh,SiLU,BiGRU+BiGRU,5,87.332,0.485,0.602,86.52,87.72,87.218,1.022,88.014,86.708
ELU,SELU,BiGRU+BiGRU,5,87.32,0.27,0.335,86.88,87.52,87.424,0.443,86.706,88.188
ReLU,SELU,BiGRU+BiGRU,5,87.316,0.35,0.434,86.92,87.68,87.22,0.464,87.93,86.596
ELU,Mish,BiGRU+BiGRU,5,87.298,0.366,0.455,86.66,87.59,87.256,0.849,87.548,87.16
Tanh,Tanh,BiGRU+BiGRU,5,87.296,0.201,0.25,87.01,87.5,87.094,0.632,88.53,85.864
LeakyReLU,ELU,BiGRU+BiGRU,5,87.268,0.289,0.358,87.02,87.68,87.308,0.489,87.038,87.64
GELU,SELU,BiGRU+BiGRU,5,87.266,0.351,0.436,86.69,87.63,87.11,0.571,88.208,86.112
SELU,SiLU,BiGRU+BiGRU,5,87.26,0.44,0.546,86.48,87.54,87.134,0.918,88.014,86.476
Tanh,ELU,BiGRU+BiGRU,5,87.212,0.276,0.342,86.83,87.47,87.322,0.295,86.57,88.1
SELU,ELU,BiGRU+BiGRU,5,87.196,0.46,0.571,86.47,87.69,86.982,0.879,88.46,85.728
SELU,Tanh,BiGRU+BiGRU,5,87.142,0.313,0.389,86.72,87.5,86.858,0.683,88.822,85.088
